t,B00_z_0000_00,B00_z_0001_00
0.98,(0.5907788065060529+0.25952670587279736j),(0.4592486920832651+0.050453915314744635j)
0.99,(0.5842312339497592+0.2533942467605912j),(0.45801390012458504+0.044251909241941265j)
1.0,(0.5778318066764269+0.24724875955456413j),(0.45694006318125013+0.03803145685410088j)
1.01,(0.5715864710633255+0.24110391738300038j),(0.4560284297157282+0.03180855521323173j)
1.02,(0.565500286712892+0.23497354622597982j),(0.45527947354627896+0.025599218476942364j)
1.03,(0.5595774263169769+0.22887155580629023j),(0.4546928957690938+0.019419415123505222j)
1.04,(0.5538211825353035+0.22281187121921722j),(0.4542676328849063+0.013285005414475418j)
1.05,(0.5482339814414728+0.216808365607462j),(0.45400187101199324+0.007211679237611019j)
1.06,(0.5428174020575192+0.2108747941367948j),(0.453893066021706+0.001214894475593184j)
1.07,(0.537572201473797+0.20502472948324343j),(0.4539379693872012-0.004690183946627752j)
1.08,(0.5324983450336443+0.19927149900447585j),(0.45413265949059645-0.01048874417165246j)
1.09,(0.5275950410506971+0.19362812373703076j),(0.454472578088225-0.01616638649772214j)
1.1,(0.5228607795198859+0.18810725933723327j),(0.4549525715880326-0.02170918124908135j)
1.11,(0.5182933742801888+0.18272113906674986j),(0.4555669367476674-0.027103725214155085j)
1.12,(0.513890008087467+0.17748151891325656j),(0.4563094703568833-0.03233719641837446j)
1.1300000000000001,(0.5096472800587115+0.17239962493184185j),(0.4571735224241353-0.037397406980703166j)
1.1400000000000001,(0.5055612549545248+0.16748610289264615j),(0.45815205234550377-0.04227285378720215j)
1.1500000000000001,(0.5016275137745485+0.16275097032380537j),(0.4592376874953427-0.04695276670241842j)
1.16,(0.4978412051509328+0.15820357104496188j),(0.4604227836434108-0.051427154030965004j)
1.17,(0.49419709703800047+0.15385253229435022j),(0.461699486573949-0.05568684493819835j)
1.18,(0.49068962821230283+0.14970572456073827j),(0.46305979425944754-0.05972352854102531j)
1.19,(0.4873129591165999+0.14577022423934285j),(0.4644956189269436-0.06352978938800319j)
1.2,(0.4840610216042929+0.14205227923743124j),(0.4659988483487394-0.06709913906219504j)
1.21,(0.4809275671677525+0.1385572776599384j),(0.467561405693425-0.07042604366065248j)
1.22,(0.4779062132650675+0.1352897197075456j),(0.46917530728779966-0.07350594693059406j)
1.23,(0.47499048739507854+0.1322531929188693j),(0.4708327176662123-0.07633528887380375j)
1.24,(0.4721738686101432+0.12945035088448362j),(0.4725260013211656-0.07891151966674423j)
1.25,(0.46944982619972403+0.12688289555336082j),(0.4742477706175827-0.08123310878347005j)
1.26,(0.466811855325261+0.12455156324204682j),(0.4759909293923748-0.08329954925060942j)
1.27,(0.4642535094373906+0.12245611444369993j),(0.4777487118299681-0.08511135700736291j)
1.28,(0.4617684293597508+0.1205953275183404j),(0.4795147162819866-0.08667006538751655j)
1.29,(0.45935036897858184+0.11896699632771206j),(0.48128293378375925-0.08797821478378527j)
1.3,(0.45699321753319516+0.11756793185854118j),(0.48304777110989333-0.0890393375963448j)
1.31,(0.4546910185581516+0.11639396785724335j),(0.48480406830377465-0.08985793860625688j)
1.32,(0.4524379855826281+0.11543997047783758j),(0.4865471107093556-0.09043947094983104j)
1.33,(0.4502285147449089+0.11469985192355397j),(0.488272635625755-0.09079030790118033j)
1.34,(0.44805719452916376+0.11416658804189969j),(0.48997683379383444-0.09091771069683913j)
1.35,(0.44591881287669427+0.11383223981327298j),(0.4916563460069737-0.09082979265805294j)
1.36,(0.44380836196371976+0.11368797865500792j),(0.4933082552138505-0.09053547988310633j)
1.37,(0.4417210409717376+0.11372411544632856j),(0.49493007454751264-0.09004446879389356j)
1.3800000000000001,(0.4396522572038433+0.11393013316533111j),(0.496519731771064-0.08936718082806089j)
1.3900000000000001,(0.4375976259205924+0.11429472301692416j),(0.498075550674859-0.08851471457079835j)
1.4000000000000001,(0.43555296928163173+0.11480582392066098j),(0.49959622999254477-0.08749879561916853j)
1.41,(0.43351431478417235+0.11545066521950005j),(0.5010808204232743-0.08633172446724587j)
1.42,(0.43147789358632227+0.11621581246452892j),(0.5025287003549541-0.0850263226928675j)
1.43,(0.42944013909237555+0.11708721612627973j),(0.5039395508787883-0.08359587771706167j)
1.44,(0.4273976861585369+0.11805026308007105j),(0.5053133306692331-0.08205408639581106j)
1.45,(0.425347371251538+0.11908983071036876j),(0.506650251276589-0.08041499769131608j)
1.46,(0.42328623385956493+0.12019034347696535j),(0.5079507533428356-0.07869295465688574j)
1.47,(0.42121151941536966+0.12133583178330053j),(0.5092154842060818-0.0769025359565037j)
1.48,(0.4191206839459689+0.12250999298394945j),(0.5104452773064102-0.0750584971274359j)
1.49,(0.41701140061262404+0.12369625436367519j),(0.5116411337471842-0.07317571178233809j)
1.5,(0.41488156824960243+0.12487783791401785j),(0.5128042063023892-0.07126911293648645j)
1.51,(0.41272932195139744+0.12603782672477779j),(0.5139357860935541-0.06935363463622482j)
1.52,(0.4105530456965571+0.12715923279665703j),(0.5150372920905-0.06744415405664604j)
1.53,(0.40835138693305617+0.1282250660675704j),(0.5161102635197988-0.06555543422998715j)
1.54,(0.40612327298634626+0.12921840442868976j),(0.5171563551945242-0.06370206756122193j)
1.55,(0.4038679290880064+0.13012246448725082j),(0.518177335709749-0.06189842028382763j)
1.56,(0.4015848977615516+0.13092067281179898j),(0.5191750883812897-0.06015857800656738j)
1.57,(0.39927405924374204+0.13159673737231442j),(0.520151614741414-0.05849629250120009j)
1.58,(0.3969356525660298+0.13213471886311856j),(0.521109040345519-0.056924929881091484j)
1.59,(0.3945702968729308+0.1325191015713713j),(0.5220496225890241-0.0554574203215101j)
1.6,(0.39217901251346676+0.13273486342918142j),(0.5229757601847296-0.054106209473679535j)
1.61,(0.38976324140964036+0.13276754486385778j),(0.5238900039084172-0.05288321172613143j)
1.62,(0.3873248661833569+0.13260331603967615j),(0.5247950681852198-0.05179976546827605j)
1.6300000000000001,(0.3848662275112658+0.1322290420668271j),(0.5256938430618808-0.05086659051208095j)
1.6400000000000001,(0.38239013917645676+0.13163234574003982j),(0.52658940609099-0.05009374782805079j)
1.6500000000000001,(0.3798999002973111+0.13080166736179585j),(0.5274850336430442-0.04949060175106757j)
1.6600000000000001,(0.3773993042372986+0.12972632120401462j),(0.5283842111610321-0.049065784809850355j)
1.67,(0.3748926437349824+0.12839654816842358j),(0.5292906418803295-0.04882716533063056j)
1.68,(0.3723847118404724+0.12680356422014608j),(0.5302082535539966-0.04878181796094655j)
1.69,(0.3698807983021894+0.12493960419174978j),(0.5311412027498928-0.04893599725312951j)
1.7,(0.367386681114858+0.12279796058622591j),(0.5320938763209923-0.04929511443901166j)
1.71,(0.3649086130146131+0.12037301704695923j),(0.5330708896933086-0.04986371751761646j)
1.72,(0.36245330278816146+0.1176602762102302j),(0.5340770816661755-0.050645474766127865j)
1.73,(0.36002789134806484+0.11465638171040232j),(0.5351175054763302-0.05164316177136446j)
1.74,(0.35763992261323246+0.11135913416860954j),(0.5361974159392482-0.0528586520644439j)
1.75,(0.35529730932040254+0.10776750106115111j),(0.5373222525472447-0.054292911425502j)
1.76,(0.35300829397655703+0.10388162043235108j),(0.5384976184727143-0.05594599590845579j)
1.77,(0.3507814052417676+0.09970279848662672j),(0.5397292554951463-0.05781705361814656j)
1.78,(0.3486254101050418+0.09523350116407787j),(0.541023014940897-0.05990433025406238j)
1.79,(0.34654926228070726+0.09047733987118617j),(0.5423848247937536-0.06220517841653798j)
1.8,(0.34456204730846257+0.08543905160135129j),(0.5438206532008646-0.06471607065319328j)
1.81,(0.3426729248855245+0.08012447373725264j),(0.5453364686614603-0.06743261620571236j)
1.82,(0.3408910689937772+0.07454051387686388j),(0.546938197243968-0.07034958140018653j)
1.83,(0.3392256064083528+0.06869511506604838j),(0.5486316772297782-0.07346091360839713j)
1.84,(0.33768555418686436+0.06259721685202384j),(0.5504226116284135-0.0767597686928095j)
1.85,(0.33627975674115007+0.0562567125929177j),(0.5523165190487117-0.0802385418348204j)
1.86,(0.33501682308670766+0.0496844034688338j),(0.5543186834436061-0.08388890163400374j)
1.87,(0.3339050648500923+0.04289194963935432j),(0.5564341032720653-0.08770182735569983j)
1.8800000000000001,(0.3329524355926444+0.035891818981620756j),(0.5586674406408145-0.09166764919516375j)
1.8900000000000001,(0.33216647198134347+0.028697233822810416j),(0.561022971000794-0.09577609141840056j)
1.9000000000000001,(0.33155423730570516+0.02132211605199101j),(0.5635045339792186-0.1000163182324507j)
1.9100000000000001,(0.33112226780477266+0.013781030960291426j),(0.5661154859279267-0.10437698223085787j)
1.92,(0.330876522231637+0.006089130116567304j),(0.5688586547628479-0.10884627525288273j)
1.93,(0.3308223350456587-0.0017379064600902628j),(0.5717362976582282-0.11341198148722764j)
1.94,(0.3309643735855846-0.00968392861781623j),(0.5747500621430621-0.11806153264208524j)
1.95,(0.33130659954080766-0.0177323747149585j),(0.5779009511262458-0.12278206499273381j)
1.96,(0.3318522350036376-0.02586633047169698j),(0.5811892923514326-0.12756047810522303j)
1.97,(0.3326037333529572-0.03406858795810876j),(0.5846147127525151-0.1323834950195887j)
1.98,(0.3335627551891446-0.04232170468677888j),(0.5881761181460053-0.1372377236582782j)
1.99,(0.3347301495115567-0.050608062812510984j),(0.5918716786572085-0.14210971920501134j)
2.0,(0.33610594030290963-0.058909928469092265j),(0.5956988202327482-0.14698604717628364j)
