t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.47000000000000003,(-0.1610429330347669-0.1009970853824391j),(-1.1512906740267685+1.0770748576905087j),(2.105848997712813+1.7178925361814132j),(-1.8711017883968821+1.7261107218163478j),(-0.5991115669616325+0.0030374839364498817j),(-0.6154019768675878-0.0035691081768284595j)
0.48,(-0.1545852891043556-0.09788686866874735j),(-1.192358696488373+1.0993943199581497j),(2.254999923951567+1.6451119060262565j),(-1.87690787071405+1.7593489675112166j),(-0.599196838694005-0.003536838945660424j),(-0.614729489487729-0.01924595124273123j)
0.49,(-0.14875878024283362-0.09480814575472382j),(-1.236503126276492+1.1204634929869384j),(2.405550297328503+1.557416337659841j),(-1.8823648510669944+1.7939457257975924j),(-0.5995323226001017-0.010295248629534084j),(-0.6131325961695664-0.034893090955812146j)
0.5,(-0.14344483708769756-0.0917816895349293j),(-1.2835320702964406+1.1402196031918648j),(2.5559131680070246+1.4532313370049288j),(-1.887464949584324+1.8297193699168917j),(-0.6000065904575138-0.01715743911012073j),(-0.6106110574776519-0.05048602979649122j)
0.51,(-0.13845122526937684-0.08877999138399291j),(-1.3341519583091617+1.1589035198515276j),(2.7040710252335787+1.3312949819743283j),(-1.8922925646514621+1.866755341872476j),(-0.6004191756361069-0.02424572220150173j),(-0.6071645418293704-0.06599975835634282j)
0.52,(-0.13375410050760228-0.08576946926355414j),(-1.3887603708042695+1.17674887761795j),(2.8476192156271445+1.1905208099588274j),(-1.896872300679321+1.9051235387055054j),(-0.6007237515630689-0.03144640642645206j),(-0.6027926867072207-0.0814085330216904j)
0.53,(-0.12944642187141997-0.0827796762810133j),(-1.4462295519804877+1.1930534638412256j),(2.983593928085481+1.030205452834927j),(-1.9008824283681935+1.944473240674215j),(-0.6010301924270559-0.038440534702627246j),(-0.5974951854351018-0.0966856461850065j)
0.54,(-0.12545775678936238-0.07981493837588904j),(-1.506379996383749+1.207336266387754j),(3.1088071537158983+0.850396146737908j),(-1.9040287605042314+1.9849389394626726j),(-0.60128877730859-0.04523369833262638j),(-0.5912718983430915-0.11180320674360553j)
0.55,(-0.12165283674149212-0.0768198013851016j),(-1.5709196999743333+1.2198856615343976j),(3.2200950501851753+0.6516894336751065j),(-1.906406477638064+2.0274648049134054j),(-0.6013251999388267-0.05200345215525289j),(-0.584122988917734-0.1267319279288827j)
0.56,(-0.11803512330140993-0.07378129770558768j),(-1.6405059426234279+1.2300002103651355j),(3.314083808193508+0.43518455428941444j),(-1.9079176881690152+2.0728354958900788j),(-0.6011150313483862-0.05867698996960017j),(-0.5760490857218938-0.14144092362050753j)
0.5700000000000001,(-0.11469387020897974-0.07077045822027907j),(-1.711854497735715+1.2354080263718494j),(3.3871350469972206+0.20296082192189252j),(-1.9073964075758065+2.1206546997330777j),(-0.6008251428003287-0.06499153411102587j),(-0.5670514694759757-0.1558975165823191j)
0.58,(-0.11155382162060694-0.06776749510184445j),(-1.7844217149688697+1.2354680031174168j),(3.4361981697590323-0.04215767048760996j),(-1.9041431661085173+2.171814421263281j),(-0.6003904249392467-0.07104540333503234j),(-0.5571322829473568-0.1700670656981637j)
0.59,(-0.10852371852042275-0.06469373863524437j),(-1.8615004051165944+1.2293703248115402j),(3.4587662096420617-0.2970412284601668j),(-1.8984733084664904+2.228522157547008j),(-0.5996111484981331-0.07701454355862218j),(-0.5462947763285322-0.1839127951389622j)
0.6,(-0.10563363248846999-0.06156007382122239j),(-1.942258025525988+1.2135825758135363j),(3.452583435995192-0.5576576613609705j),(-1.8897007920636477+2.291229193084276j),(-0.5985026555542218-0.08280686413352907j),(-0.5345435803170324-0.19739564699263185j)
