t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00,B01_z_0001_00
1.16,(1.0002680678112508-0.0001341898690653073j),(0.6614922122874721-2.414872190339835j),(-0.8101398934250048+0.39337446061513004j),(2.199958371483808-0.04916259092870706j),(1.980733472104842-3.7079072290309045j),(0.437511609432543-0.306799043897072j),(-3.462323598217193+3.196693508556779j),(-1.2714432365129529+0.3698836880353711j),(-0.6549364444269703-0.7974338211250163j),(1.0002680678112508-0.0001341898690653073j),(0.6614922122874721-2.414872190339835j)
1.17,(1.000271402882317-0.0001327389629043845j),(0.685457082695917-2.497255297137434j),(-0.8026650567094119+0.3863047740372592j),(2.2014907862886304-0.015149127259352899j),(2.0990153167276926-3.820615599348146j),(0.4424341518314289-0.3159700950978486j),(-3.2657982359778917+3.2152044863445446j),(-1.2587472729619982+0.3786698481329039j),(-0.6685358631857731-0.8123029891201345j),(1.000271402882317-0.0001327389629043845j),(0.685457082695917-2.497255297137434j)
1.18,(1.0002746298427128-0.00013133165178565346j),(0.7102954023032971-2.582077757963417j),(-0.7955995822441975+0.37922712710248885j),(2.201426401515753+0.01788461745162516j),(2.220990028798081-3.9306930823415542j),(0.4474303486794016-0.32493044764513623j),(-3.0761106249735963+3.2218984910101227j),(-1.246169190627869+0.3867590606038647j),(-0.6824996854392081-0.8267838481195787j),(1.0002746298427128-0.00013133165178565346j),(0.7102954023032971-2.582077757963417j)
1.19,(1.0002777490701433-0.000129976340202186j),(0.7359834115716886-2.66925392159465j),(-0.7889309409145192+0.37216052236966j),(2.199892400475785+0.04981516748122227j),(2.3458480810188815-4.037397140579762j),(0.4524888973578966-0.3336710227637127j),(-2.894356455356449+3.2181258576299303j),(-1.2337507350433081+0.39418239513490344j),(-0.6968056222797685-0.8408473532541941j),(1.0002777490701433-0.000129976340202186j),(0.7359834115716886-2.66925392159465j)
1.2,(1.0002807614148992-0.00012868100417202358j),(0.7624852664190324-2.758671400240033j),(-0.7826459757352896+0.3651223097742617j),(2.1970233045988294+0.08053827656470894j),(2.472725942287847-4.140087995736138j),(0.45759841143031843-0.34218362659166657j),(-2.7213613451525847+3.2052920471591624j),(-1.2215289287342879+0.4009728320761231j),(-0.7114293170344791-0.8544659206267381j),(1.0002807614148992-0.00012868100417202358j),(0.7624852664190324-2.758671400240033j)
1.21,(1.0002836681612928-0.00012745313706185015j),(0.7897519792489239-2.850189691449665j),(-0.7767310327139759+0.3581282044818541j),(2.192957913848253+0.10996899977341779j),(2.6007429354532374-4.238249408050763j),(0.46274751066330544-0.350461002984921j),(-2.5576825264484153+3.1848034389446327j),(-1.2095361277583883+0.40716467460802674j),(-0.7263445519818092-0.8676137055731972j),(1.0002836681612928-0.00012745313706185015j),(0.7897519792489239-2.850189691449665j)
1.22,(1.000286470987975-0.00012629970060302779j),(0.8177206425937129-2.9436394909040713j),(-0.7711720798123252+0.3511923128889323j),(2.1878364479026073+0.1380413024312433j),(2.729036152861891-4.331499004137832j),(0.4679249132483526-0.3584968825518192j),(-2.4036247009118497+3.1580193849300446j),(-1.1978001379369838+0.4127930114003103j),(-0.7415234978250689-0.8802668686415993j),(1.000286470987975-0.00012629970060302779j),(0.8177206425937129-2.9436394909040713j)
1.23,(1.0002891719279685-0.00012522708128291153j),(0.8463140430850496-3.0388228776578945j),(-0.7659548143317412+0.34432716536791846j),(2.1817979556134235+0.16470728005763777j),(2.856790446970452-4.419588621141468j),(0.47311952917428907-0.3662860272245819j),(-2.2592677491394877+3.1262137606965323j),(-1.1863443791381691+0.41789323324539634j),(-0.7569370037706807-0.8924038230440571j),(1.0002891719279685-0.00012522708128291153j),(0.8463140430850496-3.0388228776578945j)
1.24,(1.0002917733292087-0.000124241052210824j),(0.8754407706990552-3.135514532708033j),(-0.7610647591764409+0.3375437545346682j),(2.174978039160909+0.18993606915075295j),(2.983261787183358-4.502396428559058j),(0.47832055364326104-0.3738242697267022j),(-2.1245012917866424+3.0905475360282537j),(-1.1751880867009148+0.4225006051310387j),(-0.7725549248343894-0.9040054574833313j),(1.0002917733292087-0.000124241052210824j),(0.8754407706990552-3.135514532708033j)
1.25,(1.0002942778163264-0.0001233467404874551j),(0.9049959135468016-3.233464108949194j),(-0.7564873485453624+0.33085157798860965j),(2.16750691934954+0.21371252921746736j),(3.107792837553637-4.579912818189619j),(0.48351755938576496-0.3811085473643236j),(-1.999061872534472+3.052052187321813j),(-1.1643465400586939+0.42664989354035476j),(-0.7883464818114323-0.9150553286246151j),(1.0002942778163264-0.0001233467404874551j),(0.9049959135468016-3.233464108949194j)
1.26,(1.0002966882543254-0.00012254860004143j),(0.9348624003935145-3.3323998051649437j),(-0.752208003673182+0.3242586846343798j),(2.159507850683874+0.23603577274978613j),(3.2298211659313916-4.652222637703885j),(0.4887005867164102-0.3881369296527002j),(-1.882570187847107+3.011622880758212j),(-1.153831309733699+0.4303750474286584j),(-0.8042806482524224-0.9255398180713258j),(1.0002966882543254-0.00012254860004143j),(0.9348624003935145-3.3323998051649437j)
