t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
0.63,(0.006003765095620946+0.36265471418840445j),(-0.6680298969182252+1.333819023943568j),(1.6842288404317025+2.081730414100631j),(0.736754962096346+0.3467308397663137j),(0.14190711938287212-0.2881078072802181j),(-0.402149752163908-0.4403668366969228j),(0.07502864173606594-0.5849170427357323j),(-1.3063774329874591-1.0556521424274568j),(0.4614656458354745+0.9924869830186387j),(-0.6188780153028832-0.18101620437621177j),(0.9356321684611187+0.4847644639200534j)
0.64,(0.007804146109338286+0.36491850315169955j),(-0.6680624921811926+1.3339516260115967j),(1.6842495826676684+2.081742851877393j),(0.7359750873356472+0.3477089494236359j),(0.14242476269791732-0.2951188659866479j),(-0.40082664317750927-0.44149724502184073j),(0.07280873664655399-0.5822441989233378j),(-1.3062136572748129-1.055653630788298j),(0.46136103121050404+0.9924816735004091j),(-0.6171802304893433-0.18283022967407037j),(0.9359076145297424+0.48434855353828415j)
0.65,(0.009545503075383953+0.367087194861953j),(-0.6680933424070202+1.334081028456073j),(1.6842690096411799+2.0817541201745198j),(0.7351915849526287+0.3487002022275071j),(0.1428882969192589-0.302151974971442j),(-0.39950164845861-0.44257840607668764j),(0.07063264496862938-0.5797156882791683j),(-1.3060531536774358-1.0556518019966754j),(0.46126400715786875+0.9924738689469648j),(-0.615497183243082-0.1846570076621781j),(0.9361412001880939+0.4839167403758303j)
0.66,(0.011226281069731017+0.3691753196759553j),(-0.6681228901924864+1.334208171797235j),(1.6842874888575379+2.0817641173661703j),(0.7344074758712715+0.3497002920762307j),(0.14327280434030024-0.309217899466215j),(-0.39816881557359346-0.443614084803388j),(0.06850892803424145-0.5773514317194605j),(-1.3058953007303544-1.0556471745229548j),(0.46117608046295255+0.9924649135772671j),(-0.6138343536272964-0.18650563787465313j),(0.9363349582808117+0.4834700123140744j)
0.67,(0.012844404185901756+0.37120118208185243j),(-0.6681517125614411+1.3343342380381633j),(1.684305471973944+2.0817727227506735j),(0.7336260454680661+0.3507039543531007j),(0.14355153594949444-0.3163287155279686j),(-0.3968216393882073-0.4446093269021661j),(0.06644657531457668-0.5751718149627296j),(-1.3057393365843848-1.055640382120218j),(0.4610991261576171+0.9924563337947874j),(-0.612197385519737-0.18838660726290032j),(0.936491469750278+0.4830094189308583j)
0.68,(0.014397275534967759+0.37318686069914586j),(-0.6681805209648066+1.3344606506647818j),(1.6843234947995007+2.081779796550529j),(0.7328508435720126+0.35170496592640127j),(0.14369591143034444-0.32349781003909184j),(-0.39545306206756414-0.4455704588315462j),(0.06445500442005864-0.5731976885297708j),(-1.3055843590061318-1.0556321738242624j),(0.4610353875202015+0.9924498381875069j),(-0.6105920866127065-0.19031179019561092j),(0.9366138636366195+0.48253607150048333j)
0.6900000000000001,(0.015881777245549858+0.37515820827869245j),(-0.6682101612805773+1.3345890746458569j),(1.6843421772952103+2.0817851799124067j),(0.7320856844646206+0.3526961451494073j),(0.1436755191614028-0.33073988070736116j),(-0.39405547307614097-0.44650508780835263j),(0.062544061100348-0.5714503677436578j),(-1.3054293253779894-1.0556234139536014j),(0.46098747607552265+0.9924473175279168j),(-0.6090244284130606-0.19229444845876276j),(0.9367058170777068+0.48205114299371016j)
0.7000000000000001,(0.017296275515662148+0.3771119511105095j),(-0.6682411903550463+1.3347187001418253j),(1.6843615312303708+2.081789249505176j),(0.7313375790704618+0.35367152718990563j),(0.14347546265083455-0.3380597383816516j),(-0.39262577701628204-0.44740445621349373j),(0.06069617682555507-0.569926214695621j),(-1.3052738338967542-1.0556137855005383j),(0.46095486173200806+0.9924497251466919j),(-0.6074953397802912-0.19433033871057873j),(0.9367645329292332+0.48155823853274343j)
0.71,(0.01863324095539472+0.3790110691263845j),(-0.6682744878765099+1.3348453644481038j),(1.6843806868525815+2.0817932952030405j),(0.7306197997569789+0.35463659787439833j),(0.14310363476165264-0.3454531344736193j),(-0.39115827092936367-0.4482372678447094j),(0.058861317507852264-0.5685851722730899j),(-1.3051175299049096-1.0556007754331036j),(0.46093228345935544+0.9924574789420412j),(-0.6059946641192332-0.19639852445804543j),(0.936785389037492+0.4810663350407431j)
0.72,(0.01987897904037836+0.3808545432622278j),(-0.6683117196817236+1.3349676464950175j),(1.6843994454976758+2.0817981402206147j),(0.7299429811163554+0.35559926779849765j),(0.14255280265265305-0.352929898751048j),(-0.38963838835294357-0.44898998569316795j),(0.05702043726970162-0.5674116246116664j),(-1.3049588977317284-1.0555828719195977j),(0.46091767595967+0.992472490345521j),(-0.6045151280008798-0.19850005346510002j),(0.9367749702962809+0.4805831142438537j)
0.73,(0.021021614386457263+0.3826415301997746j),(-0.6683543311166406+1.3350843190879185j),(1.6844176561657034+2.0818044969682137j),(0.729315736559506+0.35656504731954175j),(0.14181642959158053-0.36050021027388535j),(-0.38805433091272595-0.44965083800374656j),(0.05515769394684446-0.5663939481391433j),(-1.3047966797734312-1.0555587897986387j),(0.4609091415843768+0.9924964982477785j),(-0.6030507682517328-0.20063494783206814j),(0.936739621828715+0.48011544510398374j)
