t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010
0.32,(0.30279384608360627-0.3025791989405332j),(-0.0002827507987112303+7.578639909814504e-05j),(1.2822869034980035e-06-2.4266914699965286e-06j),(0.0056799457386019145-0.05773446820126299j),(-0.04977059642731492-0.48729197845667893j),(0.01508468005461163-0.05510522486415887j),(-0.011034982777083082-0.007189421569011106j),(-5.074545809282458e-05-3.4688855248784997e-06j),(0.007302117494861738-0.004281289913860375j),(-0.02452065759301232-0.02880733341350213j),(0.014349563009785685+0.013423442966579754j)
0.33,(0.2893281271933019-0.30614673443795454j),(-0.0002809460236807385+9.153500482867173e-05j),(1.1547674496183145e-06-2.5384073791324818e-06j),(0.0012948549940494727-0.058532589219503425j),(-0.06451517182401074-0.4927677260288894j),(0.013074655240587405-0.05840109668189097j),(-0.012100149283662041-0.007092590662031918j),(-5.217101195400651e-05-1.174789049597629e-06j),(0.007028695714216024-0.004807490013972508j),(-0.026472295480542224-0.02852689227481544j),(0.015279221776540751+0.012519640334480216j)
0.34,(0.2756657227618871-0.30906477159996987j),(-0.00027796551919391467+0.00010755298244002235j),(1.0163515957989113e-06-2.6427578716344337e-06j),(-0.0031381925113153917-0.058982867987108535j),(-0.07937762949939145-0.4973955401771844j),(0.010671621214351314-0.061619382734664864j),(-0.013229493842668917-0.006919470221062787j),(-5.3458289401221136e-05+1.2934130600824973e-06j),(0.00671457935312931-0.005317452111613517j),(-0.028456700524727006-0.02803802083161165j),(0.016131320389022888+0.011552157705820812j)
0.35000000000000003,(0.26184408276670856-0.3113500371120314j),(-0.0002738326523440466+0.00012370274493440418j),(8.67971868347772e-07-2.739018951532808e-06j),(-0.007600925080573889-0.0591028577192212j),(-0.09431181718662468-0.5011966276296344j),(0.007879917355646908-0.06472495333956832j),(-0.014423290083266836-0.006663679998599981j),(-5.459705276198794e-05+3.918987446080622e-06j),(0.006363781852890036-0.0058081809837270855j),(-0.030456386252130555-0.027342445442516405j),(0.016910729267390786+0.010533022556834946j)
0.36,(0.2479018915627001-0.31302319507847015j),(-0.0002685358771631676+0.00013985846441336646j),(7.105056373190272e-07-2.8261038427390503e-06j),(-0.012064052751553235-0.05889670972741653j),(-0.10928174803687722-0.5041933479943022j),(0.004715134977710802-0.06768081124628184j),(-0.015677095309187997-0.00632039328171221j),(-5.557116797422437e-05+6.686326023016694e-06j),(0.005978312042901116-0.006276648321573875j),(-0.03245502284237759-0.026444096385035403j),(0.017616681789143017+0.009467902316678076j)
0.37,(0.2338767979662362-0.3141042746958125j),(-0.0002620739151977951+0.0001559001852299235j),(5.448592778264117e-07-2.903058860879671e-06j),(-0.016499818489303816-0.058369965191021354j),(-0.12425206206788972-0.506408134406413j),(0.0011944374851389963-0.07045258528157351j),(-0.01698731743617023-0.005884294981301106j),(-5.636676132687535e-05+9.579548561661256e-06j),(0.005560297775719948-0.006720067674439389j),(-0.034436923151136604-0.025347693465004168j),(0.01824855188446717+0.008362524395154225j)
0.38,(0.21980538743064462-0.31461264570564174j),(-0.00025445594023479833+0.00017171381646808315j),(3.7196831203283696e-07-2.969065571917891e-06j),(-0.02088206952839473-0.057529624676917336j),(-0.13918800705625795-0.5078634784054856j),(-0.002663464308526802-0.07300855147834064j),(-0.018351234655516063-0.005349575289799789j),(-5.6972250561522305e-05+1.2582497433124003e-05j),(0.005111995094412452-0.007135896983605336j),(-0.03638704294327669-0.024058744176057432j),(0.01880588735891528+0.007222699583634121j)
0.39,(0.205723182046206-0.3145670183945986j),(-0.00024570157830139844+0.00018719113194284737j),(1.927974091503851e-07-3.0234407921536436e-06j),(-0.025186257372913884-0.05638414813954095j),(-0.15405543853743317-0.5085819299353322j),(-0.006838312180799291-0.07531963307560981j),(-0.019766995434092754-0.0047099296811728445j),(-5.73783448723832e-05+1.567873760885384e-05j),(0.004635788232553055-0.007521838582349647j),(-0.0382909808928676-0.022583543699629137j),(0.019288409893403857+0.006054322055055184j)
0.4,(0.19166464054015375-0.31398544359438074j),(-0.0002358409076651682+0.00020222977020021172j),(8.340385440311285e-09-3.065636588223574e-06j),(-0.029389437796467924-0.05494345492088352j),(-0.16882081980572206-0.508586097344059j),(-0.011308300500245484-0.07735940051853683j),(-0.021233618514332274-0.003958558910916338j),(-5.7578044906312484e-05+1.885155666063886e-05j),(0.0041341896142247005-0.007875839195946465j),(-0.04013497858317978-0.020929174904952427j),(0.01969601504421388+0.004863369363921528j)
0.41000000000000003,(0.1776631582766745-0.3128853126817431j),(-0.00022491445883403218+0.0002167332345171659j),(-1.8037979578695616e-07-3.09524027710104e-06j),(-0.03347027084218231-0.053218923750491164j),(-0.18345122191428667-0.5078986473840654j),(-0.01605007622648678-0.07910407145840681j),(-0.022750992914231327-0.003088169016057807j),(-5.756664276280113e-05+2.2083964760606353e-05j),(0.0036098398540188414-0.008196089941666146j),(-0.04190592050668425-0.019103508349059654j),(0.020028772242990784+0.003655902446303951j)
0.42,(0.16375106725690763-0.3112833575784977j),(-0.00021297321455626678+0.00023061089290169325j),(-3.7231102417181617e-07-3.1119744260961097e-06j),(-0.03740902082270124-0.05122339274546487j),(-0.1979143236751444-0.5065423052120447j),(-0.021038738910198904-0.0805325107526341j),(-0.02431987792735131-0.0020909713151562688j),(-5.7341721993976654e-05+2.535869468122278e-05j),(0.003065507757035453-0.008481026328775261j),(-0.04359133406505273-0.017115202276782395j),(0.02028692479674448+0.002438065619839957j)
0.43,(0.14995963611894542-0.3091956507515137j),(-0.0002000786098205+0.00024377797809277117j),(-5.66372042305497e-07-3.115696852855564e-06j),(-0.041187556320187745-0.04897115941046039j),(-0.21217841165916823-0.5045398543889836j),(-0.02624784069311202-0.08162623046476224j),(-0.025941903122818383-0.0009586824083021956j),(-5.6903157604603034e-05+2.865820179529386e-05j),(0.0025040903188830047-0.008729328258536603j),(-0.045179389569157596-0.014973702620751385j),(0.020470889887849352+0.001216086583733721j)
