t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.67,(-0.0973783475768465-0.0482357982297821j),(-0.5871391649811218-1.2363105746307494j),(0.9432701537501036-1.1774659048945786j),(-0.4230992646566624+2.0735907793928763j),(0.6279211160538709-0.6093483345291564j),(-0.0973783475768465-0.0482357982297821j)
0.68,(-0.10159669799187204+0.03630888503587802j),(-0.7024472851820799-1.1723462688165946j),(0.8537210420788317-1.2418375530470822j),(-0.2537964222200692+2.1028296302886127j),(0.565020486156242-0.6652291898061541j),(-0.10159669799187204+0.03630888503587802j)
0.6900000000000001,(-0.052774600973198686+0.10394801207660744j),(-0.8128916455274298-1.0963680982419466j),(0.7583166372958162-1.3002112470936562j),(-0.08481846800325954+2.118188157692474j),(0.4952828598594416-0.715750996016942j),(-0.052774600973198686+0.10394801207660744j)
0.7000000000000001,(0.0237383709228878+0.12712376282249965j),(-0.9170211459998084-1.008627844338875j),(0.6573078544095319-1.3520271632540561j),(0.08272473036629513+2.1200485087602656j),(0.41885197533268836-0.7600557346316303j),(0.0237383709228878+0.12712376282249965j)
0.71,(0.09559155828647611+0.10304306348648125j),(-1.0133380289401244-0.9095415868186845j),(0.5509844549325906-1.396710417128951j),(0.2478214357964813+2.108877331908685j),(0.3360288161505536-0.7971396985757143j),(0.09559155828647611+0.10304306348648125j)
0.72,(0.13993622569568231+0.04571198891465482j),(-1.1003970273341508-0.7997588203958319j),(0.4397257225699718-1.4336559770447521j),(0.4095580417305491+2.085225776815322j),(0.2472205442669015-0.8259473453534569j),(0.13993622569568231+0.04571198891465482j)
0.73,(0.14597485432510618-0.02506828785229022j),(-1.1766468457268113-0.6803536028310098j),(0.3239890517720755-1.4621728090192025j),(0.5671190721471033+2.049729494418661j),(0.15305680844651803-0.8453963330146447j),(0.14597485432510618-0.02506828785229022j)
0.74,(0.11240079047401641-0.08857419505006572j),(-1.240718665236653-0.552585393191303j),(0.20432122247186385-1.4815990203961074j),(0.7197640618049475+2.003029196970117j),(0.05439090170938826-0.8543774383060518j),(0.11240079047401641-0.08857419505006572j)
0.75,(0.04692285616515983-0.12444085127407692j),(-1.2914830687350112-0.4178616540854312j),(0.08136637898722265-1.4913205453197333j),(0.8668015119076753+1.9457256487783738j),(-0.04770023866930295-0.8517545566714395j),(0.04692285616515983-0.12444085127407692j)
0.76,(-0.031318472913799064-0.11606648202998439j),(-1.3280500408460088-0.27773785166374854j),(-0.0441339699790384-1.4907711447348104j),(1.0076236175192428+1.8784902254144669j),(-0.15191577715817264-0.8363669553467338j),(-0.031318472913799064-0.11606648202998439j)
0.77,(-0.09181811340370907-0.05990914194461715j),(-1.349768967946558-0.13391745561824342j),(-0.1713409513391858-1.4794324063865303j),(1.1416917682466479+1.801990032258361j),(-0.2566270910963444-0.8072307261939148j),(-0.09181811340370907-0.05990914194461715j)
0.78,(-0.10464918448550188+0.023672542744076777j),(-1.356228638166359+0.011748060817460715j),(-0.299318327620562-1.4568337448205473j),(1.268536409497771+1.716887345848662j),(-0.3597373071079002-0.7636122282307389j),(-0.10464918448550188+0.023672542744076777j)
0.79,(-0.06271028625843886+0.09618155202297088j),(-1.347248807976479+0.1573298979919831j),(-0.42703249696558565-1.4225524013829784j),(1.3877570424813745+1.6238396138826137j),(-0.45892648121153823-0.7051417756890691j),(-0.06271028625843886+0.09618155202297088j)
0.8,(0.011780631601151073+0.12681848373076976j),(-1.3230018522877303+0.300859235288496j),(-0.5533787938733962-1.3762647622250546j),(1.4990222242071043+1.523499455216101j),(-0.5516943212377272-0.631910633611666j),(0.011780631601151073+0.12681848373076976j)
