t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.88,(-0.0003737398106672114+0.0002776198788125144j),(0.022997415242020133+0.0359069377817172j),(4.602001733129938e-05+0.0001613317759803057j),(1.475772156873292e-07-4.5918117510381935e-08j),(-3.1122463646725726e-05+0.0005050226717825755j),(-0.00046619185452813485+0.00016539464146663022j)
0.89,(-0.00013383897863936519+0.00035404984858832027j),(0.0352784004287818+0.02039310057387975j),(7.725999866889084e-05+9.84951350774592e-05j),(9.46207458367048e-08-2.6742667499139304e-08j),(0.0002419621323612942+0.0003822558388177152j),(-0.00024898415068478334+0.00031905102420358455j)
0.9,(6.434689629631044e-05+0.00029899182009360405j),(0.03869044154754074+0.0017337466560485774j),(7.981956971104782e-05+4.596980191694675e-05j),(5.989141022119644e-08-1.3742564098534436e-08j),(0.00037477333636249164+0.00014819184854693708j),(-3.0740533002661396e-05+0.0003278205519074375j)
0.91,(0.00017413152874850963+0.0001732301905700543j),(0.03316752462133271-0.015492903056875269j),(6.612849121687675e-05+9.600189334478908e-06j),(3.729646764828004e-08-5.662839676703367e-09j),(0.0003459534251582707-9.097066920635943e-05j),(0.00012302055402823496+0.0002360728484295696j)
0.92,(0.000191991741492476+3.981712492542546e-05j),(0.02081189957279138-0.027403077375345874j),(4.6537401691796706e-05-1.0838840730834672e-05j),(2.2727071466675865e-08-1.1259393816644244e-09j),(0.00019808863649083328-0.0002467011293707565j),(0.00018606211773807983+0.00010557115391352371j)
0.93,(0.0001447404041925879-5.7105329053897346e-05j),(0.005210554863821486-0.03173995768639133j),(2.7871976322550266e-05-1.8897480360815814e-05j),(1.3447180624173828e-08+1.0692242368759233e-09j),(1.0126905878758404e-05-0.0002786869847091942j),(0.00017061318697097555-1.067902488149336e-05j)
0.9400000000000001,(7.063795975864941e-05-0.00010039749824018778j),(-0.00959545470255385-0.028317215334311117j),(1.3485755458543103e-05-1.910436699170853e-05j),(7.642291428158689e-09+1.847457530757288e-09j),(-0.0001396624046852419-0.00020127459551615216j),(0.00010874815555859236-8.113757311897356e-05j)
0.9500000000000001,(2.891541768919789e-06-9.625294205583662e-05j),(-0.02018471677765626-0.018880602420696037j),(4.140241667141207e-06-1.5454991082940767e-05j),(4.106034469069652e-09+1.8603422207439964e-09j),(-0.0002037032083609239-6.726101572786028e-05j),(3.6563775498176386e-05-0.00010077153913322098j)
0.96,(-3.951106299153123e-05-6.388988161265056e-05j),(-0.024572972989664335-0.006466760226269975j),(-8.950366664185826e-07-1.0747873073638919e-05j),(2.0322736651736452e-09+1.5301557531144398e-09j),(-0.00017726464211645007+6.0371228991307085e-05j),(-1.938367440958765e-05-8.179572843534263e-05j)
0.97,(-5.291449357085257e-05-2.4440582929549503e-05j),(-0.022568392061224192+0.005522697949947483j),(-2.9142364530926124e-06-6.542056667045738e-06j),(8.808046219715686e-10+1.10635435915744e-09j),(-9.120840994837642e-05+0.0001350753182317395j),(-4.788048858322142e-05-4.496121517286448e-05j)
