t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00,B01_z_0001_00,B01_z_0002_00,B01_z_0003_00,B01_z_0004_00,B02_z_0000_00
1.73,(-0.19467246223648307-0.6913975407367644j),(-0.1266818990040276-0.7670197274968108j),(-0.2227175853864093-0.7382048359115392j),(-0.8226029793242798-1.2102397582535476j),(-0.24328895922411264-0.9352730022944195j),(-0.5497586674686707-1.4724307326880146j),(-0.023502120206351965-1.4490776270719887j),(-0.20254216402427358-1.3477348607223725j),(-0.22463493153228603-1.3446650246589065j),(-0.19467246223648307-0.6913975407367644j),(-0.08515796285391382-1.65103823712269j),(-0.2774209214279379-1.1422978849788987j),(-0.17780496342722885-1.1314714295994823j),(-0.06081438363504199-1.1821577466582331j),(-0.19467246223648307-0.6913975407367644j)
1.74,(-0.19431291827638225-0.6938493839790617j),(-0.12768356258590224-0.7690151354551391j),(-0.22194280753460582-0.7406224384774317j),(-0.8185171759646481-1.2143188205744089j),(-0.24269726911495004-0.9372127932726947j),(-0.5486317325837855-1.4741429849780066j),(-0.027403443718867798-1.4503514660674803j),(-0.20406654608372027-1.3488944606989426j),(-0.22591382623393202-1.3458343286024244j),(-0.19431291827638225-0.6938493839790617j),(-0.08906116398962063-1.6520951293416393j),(-0.2771899890942845-1.1438866345037495j),(-0.17879926508155236-1.1328753415576853j),(-0.06352420764193405-1.1835403914783231j),(-0.19431291827638225-0.6938493839790617j)
1.75,(-0.1938429953282471-0.6964000916550261j),(-0.12859636083961495-0.7710873009639028j),(-0.22104785933558277-0.7431430855504247j),(-0.8142194543406567-1.2185590502374928j),(-0.24200271685417912-0.9392325661614414j),(-0.5473492467630547-1.4759525492867167j),(-0.03125138561999037-1.4516592750746904j),(-0.20550392771096748-1.3501091497913043j),(-0.22709758802010063-1.3470631300069387j),(-0.1938429953282471-0.6964000916550261j),(-0.09290063258827491-1.6531869146837164j),(-0.2768459346016812-1.1455526483433058j),(-0.17970784617184876-1.1343407415298408j),(-0.06617259009986834-1.1849686679520377j),(-0.1938429953282471-0.6964000916550261j)
1.76,(-0.19326715661027566-0.6990467290805652j),(-0.1294201581095806-0.7732366452133257j),(-0.22003945554431203-0.7457623031333296j),(-0.8097126252543462-1.2229562012961332j),(-0.24120851127740664-0.9413307817065j),(-0.5459148565787818-1.4778571334420476j),(-0.03504451734308553-1.4530014992229356j),(-0.20685389173194701-1.3513794817138152j),(-0.22818485518275639-1.3483525502185754j),(-0.19326715661027566-0.6990467290805652j),(-0.09667578471095457-1.6543139947996865j),(-0.27639275464576185-1.1472941056974746j),(-0.18053108044552055-1.1358678057492688j),(-0.06875841478987281-1.1864429296460262j),(-0.19326715661027566-0.6990467290805652j)
1.77,(-0.19259002578142606-0.7017861916748944j),(-0.1301549818075079-0.775463356612277j),(-0.21892400977332835-0.7484758529014782j),(-0.8050005453016423-1.2275051544591074j),(-0.24031810919142987-0.9435056984445996j),(-0.5443326102876024-1.4798542245978703j),(-0.03878157576003943-1.4543784285932844j),(-0.20811621528257804-1.3527058574274904j),(-0.22917440346913376-1.3497035988842376j),(-0.19259002578142606-0.7017861916748944j),(-0.10038617014164425-1.6554766250845376j),(-0.2758346196258462-1.1491090417386218j),(-0.18126961962572324-1.1374564965763847j),(-0.07128079613574058-1.1879633459090564j),(-0.19259002578142606-0.7017861916748944j)
1.78,(-0.19181638694141637-0.7046152049605381j),(-0.1308010224123995-0.7777673907882712j),(-0.21770798702133962-0.7512794177413719j),(-0.8000881168723556-1.2321999170906348j),(-0.23933521537423671-0.9457553727033573j),(-0.5426069578304855-1.4819410892340243j),(-0.04246146318125858-1.455790198218555j),(-0.20929086980876715-1.3540885251400034j),(-0.23006514608173728-1.3511171739516075j),(-0.19181638694141637-0.7046152049605381j),(-0.10403147238723529-1.656674914677478j),(-0.27517587364494006-1.150995347611571j),(-0.18192439341136538-1.1391065624986976j),(-0.07373907920402989-1.1895299018720134j),(-0.19181638694141637-0.7046152049605381j)
1.79,(-0.19095118463072452-0.7075303245633288j),(-0.13135863347055185-0.780148470587468j),(-0.216397903673227-0.7541686017506812j),(-0.7949812881501814-1.2370336232103791j),(-0.2382637825750056-0.9480776586012781j),(-0.5407427508327328-1.4841147731563178j),(-0.04608324735566981-1.4572367880833181j),(-0.2103780210664086-1.355527580305685j),(-0.2308562171144845-1.3525940196089294j),(-0.19095118463072452-0.7075303245633288j),(-0.10761150867752578-1.6579088264619384j),(-0.27442103450973515-1.1529507704336046j),(-0.1824966094771085-1.1408175381308117j),(-0.07613283970406406-1.1911423984479j),(-0.19095118463072452-0.7075303245633288j)
1.8,(-0.18999952383058846-0.710527936212407j),(-0.13182833159555554-0.7826060860746722j),(-0.2150003275000449-0.7571389302382462j),(-0.7896870531127-1.241998533493447j),(-0.23710801151410546-0.9504702080477555j),(-0.5387452426039788-1.4863721014965272j),(-0.04964616147072018-1.4587180231238945j),(-0.21137802912138387-1.3570229656255237j),(-0.231553341911979-1.354131485177682j),(-0.18999952383058846-0.710527936212407j),(-0.11112622996522062-1.6591781770655711j),(-0.27357479373060917-1.154972913294463j),(-0.18298775347336718-1.1425887442144254j),(-0.0784618839879317-1.1928004523318365j),(-0.18999952383058846-0.710527936212407j)
1.81,(-0.18896666996300604-0.7136042557402219j),(-0.13221079646829487-0.7851394945333341j),(-0.2135218776590209-0.7601858497240759j),(-0.7842134515313766-1.2470860352703879j),(-0.23587235088309588-0.952930470743071j),(-0.536620088138191-1.4887096787123975j),(-0.053149604152377156-1.4602335732283567j),(-0.21229144834956215-1.358574471047166j),(-0.2321631503315574-1.3557263241530715j),(-0.18896666996300604-0.7136042557402219j),(-0.11457572092593143-1.6604826368602503j),(-0.2726420165216259-1.1570592352563445j),(-0.183399589026309-1.1444192876183314j),(-0.08072624905048643-1.1945034960010614j),(-0.18896666996300604-0.7136042557402219j)
1.82,(-0.1878580488907351-0.7167553290825311j),(-0.13250687083694807-0.7877477204655494j),(-0.2119692246935558-0.7633047279393486j),(-0.7785695689715612-1.252286642527195j),(-0.2345614973447269-0.955455694178394j),(-0.5343733441136694-1.4911238885876419j),(-0.05659313946512845-1.4617829532365278j),(-0.21311902743679983-1.3601817337649162j),(-0.23268959609738296-1.3573765647992533j),(-0.1878580488907351-0.7167553290825311j),(-0.11796019995817661-1.6618217299620714j),(-0.27162774180053495-1.1592070513539063j),(-0.18373415773785456-1.1463080613384171j),(-0.08292620252934708-1.19625077771493j),(-0.1878580488907351-0.7167553290825311j)
