t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.6,(0.287976826435066-0.5175135219227718j),(-0.048429340821237774-0.8028972500719531j),(-0.4729453907642048-0.30098567958473654j),(-1.5413499637307164-0.6836977637549044j),(-0.9846652639981079-0.5177674944055939j),(0.287976826435066-0.5175135219227718j)
0.61,(0.29449997496659075-0.5220472441845866j),(-0.04569296615419241-0.8130557279607504j),(-0.4716792756928371-0.31089760194879873j),(-1.5600213581588944-0.6639010203352668j),(-0.9919086989412166-0.5174838814362503j),(0.29449997496659075-0.5220472441845866j)
0.62,(0.30109191874130004-0.5268181934253147j),(-0.04309613765642353-0.8236299825512369j),(-0.4704612290411211-0.3209659106869195j),(-1.5787338690391084-0.6430952104167388j),(-0.9994539522404896-0.5170429876718219j),(0.30109191874130004-0.5268181934253147j)
0.63,(0.30776052590266556-0.5318491615138452j),(-0.040649697365709135-0.8346589543119862j),(-0.4693030173660623-0.3312058057777799j),(-1.5974578536424096-0.6212197647316559j),(-1.0073199541602453-0.5164317495706361j),(0.30776052590266556-0.5318491615138452j)
0.64,(0.3145139836992295-0.5371625045560261j),(-0.038365474238001164-0.8461821287829188j),(-0.46821707303331567-0.3416321840161181j),(-1.6161538117093888-0.5982121785422001j),(-1.015524900476638-0.5156348204689711j),(0.3145139836992295-0.5371625045560261j)
0.65,(0.32136078885114033-0.5427801254850184j),(-0.03625640616420179-0.8582395767815227j),(-0.4672165293930852-0.35225959513859834j),(-1.6347715187177145-0.5740089961895116j),(-1.0240860707821124-0.5146344732973862j),(0.32136078885114033-0.5427801254850184j)
0.66,(0.3283097390747257-0.548723462545766j),(-0.034336674036298837-0.8708720065676134j),(-0.4663152599459017-0.36310219852264747j),(-1.6532492119416944-0.5485469840765291j),(-1.0330196290025466-0.5134105113887729j),(0.3283097390747257-0.548723462545766j)
0.67,(0.3353699256708592-0.555013483498143j),(-0.032621849140953216-0.8841208279189037j),(-0.4655279214658404-0.37417372024179557j),(-1.6715128612302117-0.5217645063939427j),(-1.0423404041729405-0.5119401902305598j),(0.3353699256708592-0.555013483498143j)
0.68,(0.34255072707298745-0.5616706853300493j),(-0.0311290553381801-0.8980282279931995j),(-0.46487000101687587-0.38548741017644234j),(-1.689475563287461-0.49360311386172034j),(-1.0520616496582997-0.5101981535210596j),(0.34255072707298745-0.5616706853300493j)
0.6900000000000001,(0.3498618032438584-0.5687150992392803j),(-0.0298771476878906-0.9126372587708355j),(-0.46435786676342694-0.3970559987883202j),(-1.7070371051730375-0.4640093496942149j),(-1.0621947792465682-0.508156387438632j),(0.3498618032438584-0.5687150992392803j)
0.7000000000000001,(0.35731309080564067-0.5761663006109587j),(-0.028886909421379576-0.9279919357790082j),(-0.46400882243738034-0.40889165307072783j),(-1.7240837492661203-0.43293676859874264j),(-1.0727490788992793-0.505784197614907j),(0.35731309080564067-0.5761663006109587j)
0.71,(0.3649147987855568-0.5840434236853698j),(-0.028181269422501817-0.9441373476930984j),(-0.4638411652794114-0.4210059310854391j),(-1.7404882974270612-0.4003481536591015j),(-1.0837313934440074-0.5030482139078845j),(0.3649147987855568-0.5840434236853698j)
0.72,(0.3726774048576176-0.592365180579006j),(-0.02778554268894776-0.961119776283001j),(-0.46387424722047277-0.43340973439174113j),(-1.7561104957427318-0.3662179023513221j),(-1.0951457881528144-0.4999124286793859j),(0.3726774048576176-0.592365180579006j)
0.73,(0.380611651959694-0.6011498842894486j),(-0.027727696592935672-0.978986826017752j),(-0.46412853900795414-0.4461132575641556j),(-1.7707978421210446-0.3305345368174516j),(-1.1069931859949236-0.49633827486901544j),(0.380611651959694-0.6011498842894486j)
0.74,(0.3887285451631096-0.6104154752824993j),(-0.02803864615854577-0.997787562450575j),(-0.4646256969081395-0.45912593388406625j),(-1.7843868560711982-0.29330327530532707j),(-1.1192709824007085-0.4922847506899231j),(0.3887285451631096-0.6104154752824993j)
0.75,(0.3970393486681995-0.6201795512279128j),(-0.028752582026080373-1.0175726582680655j),(-0.46538863153001114-0.4724563761779486j),(-1.7967048622210107-0.254548582157875j),(-1.131972640645183-0.487708598207052j),(0.3970393486681995-0.6201795512279128j)
0.76,(0.4055555827928573-0.6304593994185108j),(-0.029907335288908436-1.038394545588243j),(-0.46644157821289656-0.4861123116627636j),(-1.8075723255415965-0.21431659411814288j),(-1.1450872724638397-0.48256454334257237j),(0.4055555827928573-0.6304593994185108j)
0.77,(0.41428902081090907-0.6412720313767659j),(-0.03154478397213028-1.060307572716069j),(-0.46781016829959343-0.5001005095492567j),(-1.816805756201855-0.17267730266444029j),(-1.158599210253705-0.47680560492146135j),(0.41428902081090907-0.6412720313767659j)
0.78,(0.4232516854821065-0.652634219123609j),(-0.033711306581977366-1.0833681630912093j),(-0.4695215004750878-0.5144267000488782j),(-1.824221175249456-0.12972635766611518j),(-1.1724875791759592-0.4703834801480176j),(0.4232516854821065-0.652634219123609j)
0.79,(0.43245584509453-0.6645625325567295j),(-0.036458288896602645-1.107634973565742j),(-0.4716042111863946-0.5290954833328221j),(-1.8296380993570753-0.08558634920329947j),(-1.186725879633379-0.46324901330834917j),(0.43245584509453-0.6645625325567295j)
0.8,(0.4419140088121233-0.677073377360519j),(-0.039842690998278245-1.1331690483974208j),(-0.47408854296900677-0.5441102269060442j),(-1.8328839649596187-0.04040742434886067j),(-1.2012815928927911-0.45535275343596504j),(0.4419140088121233-0.677073377360519j)
0.81,(0.45163892108393083-0.6901830328475614j),(-0.043927682467547344-1.1600339643975632j),(-0.47700640928750765-0.5594729497896359j),(-1.8337988714556341+0.005632893731433913j),(-1.2161158249781656-0.4466456050688021j),(0.45163892108393083-0.6901830328475614j)
0.8200000000000001,(0.4616435548264262-0.703907689112668j),(-0.04878335467192701-1.1882959614827302j),(-0.4803914542497156-0.575184191857129j),(-1.8322404829020933+0.05233079423839203j),(-1.2311830062600164-0.43707957398475417j),(0.4616435548264262-0.703907689112668j)
0.8300000000000001,(0.4719411030353286-0.7182634828653276j),(-0.05448752018063468-1.2180240513855638j),(-0.4842791052729694-0.5912428666508097j),(-1.8280888917175337+0.0994582490499404j),(-1.2464306662622004-0.42660860686432495j),(0.4719411030353286-0.7182634828653276j)
0.84,(0.48254496841793937-0.7332665312954906j),(-0.06112661051013422-1.2492900954078492j),(-0.48870661646578034-0.6076460960207675j),(-1.8212512206826044+0.1467660915066242j),(-1.2617993049133953-0.41518952015777927j),(0.48254496841793937-0.7332665312954906j)
0.85,(0.4934687505609612-0.7489329633211814j),(-0.06879668462929203-1.2821688397562612j),(-0.4937131001364197-0.6243890249914251j),(-1.8116657252804238+0.19398807287366682j),(-1.2772223825705449-0.40278300903731734j),(0.4934687505609612-0.7489329633211814j)
