t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00
0.42,(0.38958981982008517-0.08890419464982918j),(0.7803197394687089+0.5526044843139678j),(-0.10990338388684139-0.5901829380175904j),(-1.931308858004399+0.6214198681102551j),(0.4859313816101995+1.4207743091161718j),(-0.5283788199711472+0.8275403684154543j),(0.846067918624714+1.4091197498846708j),(-1.1499744620317538+0.15903212149567214j),(-0.9096240108782555-0.7631489831944964j),(0.12310460362942147+1.101431734867569j),(1.367654869541639-0.49186935265854387j),(0.2721730830166088-0.8381363719110347j),(-0.16833692609184814-0.6762369072490617j),(0.3755774595448312-1.2634434964521406j),(-0.7044559262399901-1.6377627303185498j)
0.43,(0.38559392159465183-0.10694792129409508j),(0.7882054303708177+0.5409218845191022j),(-0.11525180264965419-0.5903216535497274j),(-1.9315930308669031+0.620528798183301j),(0.49617101088288995+1.4169259205620768j),(-0.5280275089023423+0.8271786795025133j),(0.857847720820522+1.4018355273477148j),(-1.1507607286176307+0.15447632814502926j),(-0.9085904458496872-0.7650122419845246j),(0.12996679639655626+1.1001316906891607j),(1.361778062313147-0.5085078434107304j),(0.26377704672422253-0.8416594085813544j),(-0.17236459544936844-0.6761989548477321j),(0.3666688549205546-1.2666230979687017j),(-0.7085277769628439-1.6365201951106954j)
0.44,(0.3809206581377622-0.12448166626356538j),(0.7958205933153053+0.529199255259324j),(-0.120536011270007-0.5903892751546166j),(-1.931862629244399+0.6198292771753836j),(0.5063777738488381+1.4130210148817284j),(-0.5275557700950603+0.8269189236882237j),(0.8695201236601114+1.3944922179480341j),(-1.1514913648222673+0.15020089442967438j),(-0.9077065519555572-0.7666941840262216j),(0.13685750000958058+1.0988064857949784j),(1.3557867504413115-0.5247377452053921j),(0.255497885551883-0.8450340925640577j),(-0.1764089964363373-0.6761174971061804j),(0.35788944263581657-1.2696870937552003j),(-0.7126190631834215-1.6352492651044241j)
0.45,(0.3756075116117959-0.14149506699758785j),(0.8031763168776964+0.5174239421242837j),(-0.12575584334620393-0.5903917766468811j),(-1.9321242014246864+0.6193023993856154j),(0.5165563752202973+1.409053808624164j),(-0.5269753345803301+0.8267506422599797j),(0.8810916504319075+1.3870814591536023j),(-1.1521712519085052+0.14617636659142152j),(-0.9069567762221241-0.7682164180338511j),(0.14377898028275352+1.097451772833523j),(1.3496842588422293-0.5405882811208864j),(0.24732937277387157-0.8482670418478662j),(-0.18046930682501755-0.6759677885517069j),(0.3492234325653076-1.2726443548703827j),(-0.7167223803642513-1.6339539505562952j)
0.46,(0.36969187428727845-0.157983755738835j),(0.8102850511740005+0.5055818216176629j),(-0.13091055324565584-0.5903353778976678j),(-1.9323840816517963+0.6189286579767274j),(0.5267121574527628+1.405018037672161j),(-0.5262987810667215+0.8266625166674304j),(0.8925695679963814+1.379594066509588j),(-1.15280496556797+0.1423711394987195j),(-0.9063244031772861-0.7696010586959051j),(0.15073397434408484+1.0960629440017184j),(1.343472778690409-0.5560908355893537j),(0.23926559511039316-0.8513647501621534j),(-0.1845317284557583-0.6757604185804885j),(0.34065431267669194-1.2755032869435452j),(-0.720830353615284-1.6326383146547943j)
0.47000000000000003,(0.36321104854288083-0.17394935953330315j),(0.8171606078607133+0.49365730115717465j),(-0.1359988161048805-0.5902265448346472j),(-1.9326483901259917+0.6186879449750694j),(0.5368511007449719+1.4009069572422375j),(-0.5255395359403447+0.8266423685224791j),(0.9039618867860509+1.3720200336383546j),(-1.1533967759210717+0.13875145664665173j),(-0.9057915548505805-0.770870726675104j),(0.15772569063533534+1.0946351310449134j),(1.337153367418772-0.5712789543967165j),(0.23130095272757634-0.8543335869769444j),(-0.18858247189133132-0.6755074459660502j),(0.3321648490306076-1.2782718301745348j),(-0.7249356376938921-1.6313064735203322j)
0.48,(0.35620224686541974-0.189399500230313j),(0.8238181601348149+0.4816333190745629j),(-0.14101872782950242-0.5900719894420137j),(-1.9329230330037674+0.6185595512706104j),(0.5469798230389037+1.3967133418846513j),(-0.5247118732648507+0.8266771595992836j),(0.9152773608054793+1.3643485322394604j),(-1.1539506475170036+0.13528141015693596j),(-0.9053391907731839-0.7720485486083972j),(0.16475780891201666+1.0931632052568792j),(1.330725948718651-0.5861883446826812j),(0.2234301592374735-0.8571797975029163j),(-0.19260831200467038-0.6752204785737312j),(0.3237370857806661-1.2809574593337492j),(-0.7290309170048708-1.6299625962052469j)
0.49,(0.3487025918498575-0.20434779448250928j),(0.8302742427337715+0.4694913446156021j),(-0.14596780509425322-0.5898786697604854j),(-1.9332137023978497+0.6185221666169376j),(0.55710558001978+1.3924294854834014j),(-0.5238309147814304+0.8267529918342565j),(0.9265254876312765+1.3565679120896588j),(-1.1544702393337438+0.13192294077792527j),(-0.9049471079779124-0.7731581571069621j),(0.17183448024339132+1.091641777479812j),(1.3241893125397903-0.6008568749407368j),(0.21564824169806043-0.8599095026913984j),(-0.19659658797887142-0.6749106733606852j),(0.31535234517345323-1.283567183762137j),(-0.7331089056004373-1.628610904693802j)
0.5,(0.3407491161993022-0.2188138537458612j),(0.8365467519355345+0.45721137794009853j),(-0.15084298534297114-0.5896537898873041j),(-1.9335258763771968+0.6185538796312575j),(0.567236265116064+1.388047201256227j),(-0.5229126299088156+0.8268551073260649j),(0.9377165084120982+1.3486657010428977j),(-1.1549589047780537+0.12863583788460664j),(-0.9045939409992213-0.7742236907562055j),(0.17896032701247266+1.0900651981043312j),(1.3175411150903482-0.6153245750181549j),(0.20795054061323684-0.8625286992343716j),(-0.2005352033071923-0.6745887363758801j),(0.3069912275485279-1.2861075473711971j),(-0.7371623471802307-1.627255673902187j)
0.51,(0.33237876272500744-0.2328232842796618j),(0.842654945558541+0.44477195012188914j),(-0.15564062678860136-0.5894047999762352j),(-1.9338648189669985+0.618632177794395j),(0.5773804094994612+1.383557821754607j),(-0.5219738357432787+0.8269678883356305j),(0.9488614078686464+1.3406286050303202j),(-1.1554196916854789+0.1253777394786021j),(-0.9042571618732055-0.775269794115762j),(0.18614044291602472+1.0884275570694806j),(1.3107778788368927-0.6296336361159893j),(0.20033270993282598-0.8650432595644687j),(-0.2044126257930531-0.674264922760098j),(0.29863361133842325-1.2885846286429787j),(-0.7411840150913127-1.6259012316785182j)
