t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00
1.06,(0.2913925969357218+0.11844527138063138j),(0.5604113092149574+0.4029647770679521j),(1.0721994845312852-0.2059585887258452j),(2.2220549368082856+0.7800051315014751j),(0.17133362992050208+0.2648628707679254j)
1.07,(0.28864716797481904+0.10942933348384745j),(0.5512003190551866+0.3943928336319518j),(1.0783100911348509-0.20614551746906953j),(2.1817137307899075+0.7981518691316445j),(0.16600321625568917+0.25236045049598427j)
1.08,(0.28612213086592403+0.10053443982331373j),(0.5422296191853033+0.3859869456145091j),(1.0843811974168602-0.20628076186238825j),(2.1418088371884725+0.8137713413607989j),(0.1609141872007189+0.2400224736118147j)
1.09,(0.2838147640963656+0.0917762651771095j),(0.5334983709078089+0.37775835679848807j),(1.0904027992803949-0.20636979307886552j),(2.1025399283278885+0.8269882846256954j),(0.15606659188861632+0.22786130727953638j)
1.1,(0.2817216433734781+0.08317003959632323j),(0.5250048672069195+0.3697178707969484j),(1.096365199920252-0.20641884232262478j),(2.064080748131438+0.8379405091705857j),(0.15145979603403853+0.21588893854148922j)
1.11,(0.27983867962747117+0.07473049629172265j),(0.5167465947501841+0.36187580266159847j),(1.1022590759628745-0.2064348460541756j),(2.0265794783214766+0.8467745609063746j),(0.1470925116119322+0.20411694454300708j)
1.12,(0.27816116012743924+0.06647181957683426j),(0.5087202961309163+0.35424193309812924j),(1.1080755382482317-0.2064253818791728j),(1.990159693547678+0.8536418654978427j),(0.14296282822461806+0.19255646073407828j)
1.1300000000000001,(0.27668379240645075+0.058407592959544834j),(0.5009220318971922+0.34682546510357937j),(1.1138061864195552-0.20639859595479046j),(1.9549217576852642+0.8586953971991509j),(0.1390682460410292+0.18121814703243405j)
1.1400000000000001,(0.2754007506758282+0.05055074753017805j),(0.49334724196689506+0.3396349828611296j),(1.1194431566503789-0.20636312292338266j),(1.9209445258327291+0.8620868821887822j),(0.1354057101855734+0.1701121520137096j)
1.1500000000000001,(0.2743057243920952+0.0429135108493522j),(0.4859908060761143+0.33267841275554233j),(1.1249791620219984-0.20632799951425393j),(1.8882872334501102+0.8639645208663791j),(0.13197164644525647+0.15924807527342189j)
1.16,(0.27339196862324233+0.035507356592085204j),(0.478847102950476+0.32596298640568055j),(1.1304075252619992-0.20630257305771268j),(1.856991473220721+0.8644711954605669j),(0.12876199815332015+0.14863492818120008j)
1.17,(0.2726523558447033+0.028342955253953313j),(0.471910067926283+0.3194952056471128j),(1.135722203758982-0.20629640622878623j),(1.8270831797247893+0.8637431175671976j),(0.1257722640966609+0.13828109331867097j)
1.18,(0.27207942878051583+0.021430126269097093j),(0.4651732487814213+0.31328080943584774j),(1.1409178069728012-0.20631917938003472j),(1.7985745605494363+0.861908863844822j),(0.1229975372835362+0.1281942829574455j)
1.19,(0.27166545389241026+0.014777791927094028j),(0.4586298595657086+0.30732474268204524j),(1.1459896065563895-0.20638059183395088j),(1.7714659291706203+0.8590887459107496j),(0.12043254439823314+0.1183814969916325j)
1.2,(0.2714024751098576+0.008393933504973755j),(0.4522728322476162+0.30163112705868234j),(1.1509335396876663-0.20649026348687294j),(1.7457474093707874+0.8553944614240969j),(0.11807168576103205+0.1088489807892587j)
1.21,(0.2712823673882263+0.002285550050906097j),(0.4460948660199483+0.2962032338633516j),(1.155746206271956-0.20665763803057177j),(1.7214004929432873+0.8509289764472772j),(0.11590907560536647+0.09960218346799557j)
1.22,(0.271296889680897-0.003541379733414109j),(0.4400884741319122+0.29104345904069645j),(1.160424860811452-0.206891889027913j),(1.6983994420380624+0.8457865936383843j),(0.11393858247985231+0.09064571713196698j)
1.23,(0.2714377369151239-0.009081932064429279j),(0.4342460281397443+0.2861533004976872j),(1.164967399844374-0.20720182998911926j),(1.6767125349152499+0.8400531660030961j),(0.11215386958101436+0.08198331762755477j)
1.24,(0.27169659057113416-0.014332268665402142j),(0.428559799493205+0.2815333378635468j),(1.169372345929574-0.20759582948930821j),(1.6563031593629032+0.8338064213444215j),(0.11054843482314804+0.07361780738663239j)
1.25,(0.272065167479804-0.01928966295567272j),(0.42302199840121024+0.2771832148603643j),(1.1736388291908564-0.20808173225044654j),(1.637130761900262+0.8271163678482782j),(0.10911565045481543+0.0655510609253298j)
1.26,(0.27253526647642135-0.02395252145455085j),(0.4176248099468295+0.27310162445926606j),(1.1777665674387987-0.20866678698573207j),(1.6191516634262708+0.8200457562050503j),(0.1078488020369039+0.0577839735552718j)
1.27,(0.2730988125765364-0.02832040005361333j),(0.41236042744989904+0.26928629700055956j),(1.1817558458573614-0.20935758167543075j),(1.6023197534599836+0.8126505781552203j),(0.10674112660484256+0.05031643384246089j)
1.28,(0.2737478983744732-0.032394014859070425j),(0.40722108310443994+0.26573399145485743j),(1.1856074971801507-0.2101599868135649j),(1.5865870757992897+0.8049805852939339j),(0.10578584984729793+0.04314730031705097j)
1.29,(0.27447482240528775-0.03617524736068832j),(0.4021990759476683+0.26244048999625774j),(1.1893228831899578-0.21107910703713864j),(1.571904318503674+0.7970798153569486j),(0.10497622214524346+0.03627438289587464j)
1.3,(0.2752721242561431-0.03966714374403717j),(0.39728679724723+0.2594005960487573j),(1.1929038782591572-0.21211924142567998j),(1.5582212207559214+0.7889871160555426j),(0.10430555332848125+0.02969442942965094j)
