t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004
0.61,(-0.0101554229422763+0.003802439579214955j),(-1.3581598436590263e-05+7.123135356970364e-06j),(-0.0009650640454721177+0.0007457378181188262j),(1.3264275437310713e-09-7.285995237765834e-10j),(-5.150669070078132e-05+0.0007080440525802038j)
0.62,(-0.009588177334989057+0.006298441149758005j),(-1.3437004310414774e-05+1.0215099679217723e-05j),(-0.0007607458417608367+0.0009192592200762585j),(1.0763747873248269e-09-9.346984315127586e-10j),(7.462680346581138e-05+0.0007779901020938158j)
0.63,(-0.008411101798257744+0.008775549130031132j),(-1.2670576410966103e-05+1.364572643505157e-05j),(-0.00052420309649264+0.0010422434227128302j),(7.912929970886278e-10-1.0808128696423458e-09j),(0.00022768175212046457+0.0008319188394539431j)
0.64,(-0.006591498254658182+0.011090471565648054j),(-1.111812690482399e-05+1.7336275711424653e-05j),(-0.0002672926459721012+0.0011080875019362014j),(4.84723152861933e-10-1.1581602283040887e-09j),(0.00040820400303239444+0.0008625459919944905j)
0.65,(-0.004127472620616421+0.013080891922588146j),(-8.603618525008945e-06+2.1156246347914445e-05j),(-3.4910037256161673e-06+0.001112868262256869j),(1.7329466768900329e-10-1.1609848633242993e-09j),(0.000615374220252284+0.0008613072420757093j)
0.66,(-0.0010556156785146815+0.014570834172902064j),(-4.949835451738201e-06+2.4909699087760745e-05j),(0.00025268942407201785+0.001055826722983698j),(-1.2391119135095747e-10-1.0878210867998737e-09j),(0.0008464774914215684+0.0008184166673374252j)
0.67,(0.0025416803821877105+0.015378637835095903j),(4.731168188788945e-09+2.8321496697915357e-05j),(0.00048644893544562656+0.0009397334480775407j),(-3.8652918431165167e-10-9.426655998452941e-10j),(0.00109627931175414+0.0007230639891509037j)
0.68,(0.0065300366548354215+0.015327830072535364j),(6.381278075952147e-06+3.1025336221918574e-05j),(0.0006835939612948873+0.0007710758114426756j),(-5.946350839238775e-10-7.358365634811353e-10j),(0.00135632434152537+0.0005638049590165113j)
0.6900000000000001,(0.010719008890664412+0.014260998511804379j),(1.4227104232685013e-05+3.2556413931472084e-05j),(0.0008315341717309011+0.000560008977964335j),(-7.309611386351726e-10-4.842574290467861e-10j),(0.0016141935112978139+0.0003292066430180214j)
0.7000000000000001,(0.01486127503855838+0.01205648711281882j),(2.347243529045374e-05+3.235269148136345e-05j),(0.0009203190130771385+0.0003200205834833214j),(-7.834124624647635e-10-2.1090190285487678e-10j),(0.0018527809424717942+8.812563075007501e-06j)
0.71,(0.018656369909932316+0.008647349854076874j),(3.3878278169211416e-05+2.9769909129940857e-05j),(0.000943627018895896+6.72763380827932e-05j),(-7.475555033200503e-10+5.680772087134907e-11j),(0.002049684921182563-0.00040551162755631594j)
0.72,(0.021760268116500777+0.004041533597700358j),(4.497788476041197e-05+2.4116589021535845e-05j),(0.0008996031699076863-0.00018035803094457555j),(-6.286205512115754e-10+2.8972741249602823e-10j),(0.002176843737441332-0.0009178055246013782j)
0.73,(0.023801944341840117-0.0016584070100282133j),(5.6017295996965114e-05+1.4715462177729697e-05j),(0.0007914285436014332-0.0004045911441907786j),(-4.4248141389244725e-10+4.607149247054e-10j),(0.0022005961707990775-0.0015258062958342046j)
0.74,(0.024407652085806194-0.008238254971586192j),(6.590411340214572e-05+9.976985116700115e-07j),(0.0006275134858305846-0.000588202936756893j),(-2.1508940633192024e-10+5.489569468395073e-10j),(0.0020823784769524976-0.0022183430272452137j)
0.75,(0.023233116229637675-0.015360429748211106j),(7.31782430694272e-05-1.736564027230413e-05j),(0.00042121980479269594-0.000716645724246679j),(2.00123831900977e-11+5.442208762245414e-10j),(0.0017802981434369596-0.0029724428000707384j)
0.76,(0.020002792575474302-0.022560970130520663j),(7.602293644383788e-05-4.029569366926788e-05j),(0.0001900525461336026-0.0007795960232508497j),(2.261560188000058e-10+4.50122175810114e-10j),(0.0012518499328072483-0.003750380214870898j)
0.77,(0.014554183546174217-0.02925847275828477j),(7.233814467390806e-05-6.710886543567013e-05j),(-4.567870439529283e-05-0.0007722671208591398j),(3.6960831468445466e-10+2.854142637623268e-10j),(0.00045799965131904585-0.0044970194641491676j)
0.78,(0.00688379907774917-0.034777998254034076j),(5.989984491267483e-05-9.630885870210337e-05j),(-0.0002646593815896121-0.0006962866961148879j),(4.2630835211644555e-10+8.245557959054914e-11j),(-0.0006312129805617653-0.005137944281352513j)
0.79,(-0.0028101057338413547-0.03839209675194355j),(3.66264702711919e-05-0.000125398987158726j),(-0.00044668388628832666-0.0005599632838529586j),(3.8789242530708257e-10-1.1755273984995582e-10j),(-0.0020295460819435332-0.005579013010437554j)
0.8,(-0.01409418764324835-0.03937959694440437j),(9.647836398996067e-07-0.00015076097015665868j),(-0.0005748654320513047-0.0003778166760423009j),(2.6535676619630393e-10-2.7224697942306097e-10j),(-0.0037261196366218208-0.005708089090134128j)
0.81,(-0.02628311172455212-0.03710063514376632j),(-4.760950594742141e-05-0.00016766038034579628j),(-0.000637669981178004-0.00016932969146516116j),(8.883536177679032e-11-3.474989109477283e-10j),(-0.005676194409326282-0.005399745028934864j)
0.8200000000000001,(-0.03844626454950155-0.031083674586795472j),(-0.00010800752166735865-0.00017044792916104742j),(-0.0006304818010477472+4.301494474993523e-05j),(-9.740325750728427e-11-3.264885861219873e-10j),(-0.007792061601952704-0.00452367691757221j)
0.8300000000000001,(-0.04944435188763446-0.02111722407345843j),(-0.00017692576539710738-0.00015302454417251174j),(-0.0005564314136070365+0.00023623221623907375j),(-2.445202350184281e-10-2.159016932439474e-10j),(-0.009935347086949813-0.0029573516313915185j)
0.84,(-0.05799997137473423-0.007336004799623003j),(-0.00024833453082867963-0.00010962076369374095j),(-0.00042628910229276556+0.0003895786116302956j),(-3.1159151988689226e-10-4.6825840434023274e-11j),(-0.011912418753199299-0.0006030027063572832j)
0.85,(-0.06280272914466363+0.009711037054662343j),(-0.0003132026745883092-3.590204791701012e-05j),(-0.0002573452253064225+0.00048717637754944556j),(-2.780187946523606e-10+1.3113417356890395e-10j),(-0.013474864280697081+0.0025915240192963766j)
0.86,(-0.062644749618754+0.0290246131043449j),(-0.00035963274701241506+6.965153903214951e-05j),(-7.134880551478291e-05+0.0005201258987035708j),(-1.5207178298108827e-10+2.6226762177967693e-10j),(-0.014327078221452946+0.006609381034974035j)
0.87,(-0.056576927853464215+0.049163953618799903j),(-0.0003735826292260537+0.00020422799106405149j),(0.00010826473881987977+0.0004877520090853482j),(2.8001253104038247e-11+3.0125223886930347e-10j),(-0.014142755022123399+0.011341028205677148j)
0.88,(-0.044070730337067085+0.06831099579384263j),(-0.00034031222454036927+0.0003592646619358175j),(0.000259487788152793+0.00039773589754243054j),(2.0232784455046648e-10+2.2927263389305724e-10j),(-0.012591494476848649+0.016563418215694712j)
0.89,(-0.02516548844976813+0.0843944268019598j),(-0.0002466067130916989+0.0005194526639558057j),(0.0003647337631163236+0.0002650475639709197j),(3.065567609352799e-10+6.425275877152135e-11j),(-0.009375451767819539+0.021926052408528365j)
0.9,(-0.0005783227360297849+0.09527128592776953j),(-8.367861652358725e-05+0.0006625564864385804j),(0.00041323776701532024+0.00010978644052196802j),(2.9385690379768675e-10-1.396914528708708e-10j),(-0.004274645049045101+0.0269483520737272j)
0.91,(0.028246032313503217+0.09895473505219096j),(0.0001495329591611911+0.0007604359680670785j),(0.0004024584952498384-4.576412338984122e-05j),(1.5504957765735816e-10-3.0588927519248037e-10j),(0.0028023499982899438+0.031032604729994643j)
0.92,(0.05916448282466823+0.0938668278311037j),(0.0004431483855871678+0.0007815642627289095j),(0.00033822833442171703-0.0001804100262401609j),(-7.09369508038948e-11-3.599566422828554e-10j),(0.011767767234292511+0.03349579305609439j)
0.93,(0.08945530715935315+0.07908787707562442j),(0.0007738846239107702+0.000695148359128418j),(0.0002336128129662983-0.00027711712286708793j),(-3.025586404457518e-10-2.592660253771849e-10j),(0.022311001613502045+0.03362178506526839j)
0.9400000000000001,(0.11602900492364786+0.0545688740330784j),(0.0011041123807372477+0.00047666198703100117j),(0.00010666479098981192-0.0003253720201798786j),(-4.389823914527196e-10-1.694609020052428e-11j),(0.03386997426003262+0.030732758167118776j)
0.9500000000000001,(0.13571797399531504+0.021272727437286015j),(0.001383173489029151+0.00011423575296487374j),(-2.2542719311091744e-05-0.0003224452880057469j),(-3.967803722679232e-10+2.9031834256746195e-10j),(0.045625579523703844+0.024275537429812546j)
0.96,(0.1456194690812409-0.018785406409378376j),(0.0015514953951754266-0.00038502472174150264j),(-0.00013509211169702827-0.00027336559085396224j),(-1.490949223055083e-10+5.380523608437821e-10j),(0.05652601993639367+0.013915170951658618j)
