t,B00_z_0000_00,B00_z_0001_00
1.17,(1.000271402882317-0.0001327389629043845j),(0.685457082695917-2.497255297137434j)
1.18,(1.0002746298427128-0.00013133165178565346j),(0.7102954023032971-2.582077757963417j)
1.19,(1.0002777490701433-0.000129976340202186j),(0.7359834115716886-2.66925392159465j)
1.2,(1.0002807614148992-0.00012868100417202358j),(0.7624852664190324-2.758671400240033j)
1.21,(1.0002836681612928-0.00012745313706185015j),(0.7897519792489239-2.850189691449665j)
1.22,(1.000286470987975-0.00012629970060302779j),(0.8177206425937129-2.9436394909040713j)
1.23,(1.0002891719279685-0.00012522708128291153j),(0.8463140430850496-3.0388228776578945j)
1.24,(1.0002917733292087-0.000124241052210824j),(0.8754407706990552-3.135514532708033j)
1.25,(1.0002942778163264-0.0001233467404874551j),(0.9049959135468016-3.233464108949194j)
1.26,(1.0002966882543254-0.00012254860004143j),(0.9348624003935145-3.3323998051649437j)
1.27,(1.0002990077147291-0.0001218503898431j),(0.9649130120283751-3.432033112034025j)
1.28,(1.0003012394446729-0.00012125515735740028j),(0.9950130314802079-3.53206460190965j)
1.29,(1.0003033868393176-0.00012076522706548484j),(1.0250234472995714-3.632190537862381j)
1.3,(1.0003054534178597-0.00012038219385171463j),(1.0548045709954748-3.732109994772555j)
1.31,(1.0003074428033003-0.00012010692103472199j),(1.0842198871023594-3.831532129165651j)
1.32,(1.000309358706039-0.00011993954280395398j),(1.1131399290599548-3.9301832145465414j)
1.33,(1.000311204911248-0.00011987947081484141j),(1.1414459702591255-4.027813078885399j)
1.34,(1.000312985269888-0.00011992540468663654j),(1.1690333377343112-4.124200637465341j)
1.35,(1.0003147036931386-0.00012007534614702858j),(1.1958141928270425-4.219158298237771j)
1.36,(1.0003163641499249-0.0001203266165606904j),(1.22171967257352-4.312535114983735j)
1.37,(1.000317970667157-0.00012067587758131596j),(1.2467013400367795-4.404218661893096j)
1.3800000000000001,(1.0003195273322312-0.0001211191546624213j),(1.2707319439803906-4.494135689527092j)
1.3900000000000001,(1.0003210382972876-0.0001216518631613023j),(1.2938055323786233-4.582251688277301j)
1.4000000000000001,(1.000322507784685-0.0001222688367669942j),(1.315936996765761-4.668569527712779j)
1.41,(1.0003239400931203-0.00012296435797960455j),(1.3371611442029665-4.753127359131075j)
1.42,(1.0003253396038103-0.00012373219036503278j),(1.3575314015065214-4.835995967744166j)
1.43,(1.0003267107861449-0.00012456561230413723j),(1.3771182544549154-4.917275745413337j)
1.44,(1.0003280582022385-0.00012545745195321158j),(1.3960075156869476-4.997093430235562j)
1.45,(1.0003293865098242-0.00012640012313030007j),(1.4142985016494647-5.075598730559107j)
1.46,(1.000330700462968-0.0001273856618422279j),(1.4321021836200238-5.152960922089899j)
1.47,(1.0003320049101283-0.00012840576317220832j),(1.449539362337837-5.2293654803530165j)
1.48,(1.0003333047891338-0.00012945181825350672j),(1.4667389013695715-5.305010788486416j)
1.49,(1.0003346051187199-0.0001305149510694999j),(1.4838360417482326-5.380104942859798j)
1.5,(1.000335910986327-0.00013158605483621746j),(1.5009708099888526-5.45486266638119j)
1.51,(1.0003372275319429-0.0001326558277487003j),(1.5182865233634248-5.52950233122456j)
1.52,(1.0003385599278432-0.00013371480790009912j),(1.5359283901995344-5.604243088512144j)
1.53,(1.0003399133541728-0.0001347534072199821j),(1.5540421987557016-5.679302101556166j)
1.54,(1.0003412929703868-0.00013576194431663203j),(1.5727730856937563-5.754891880935232j)
1.55,(1.0003427038826527-0.00013673067615532176j),(1.5922643740879197-5.831217723305521j)
