t,B00_A_0000,B00_A_0001
0.6,(0.018464475922708824-0.011991583061494674j),(-0.13057224371478368-0.04571524761019842j)
0.61,(0.017425751659303265-0.013475040987633795j),(-0.12774567372650267-0.03806737341850133j)
0.62,(0.01623858441535303-0.014901454755689133j),(-0.12447564765230497-0.030755108539126597j)
0.63,(0.014900315128733355-0.016255776826648145j),(-0.12078631454811792-0.02380486593976398j)
0.64,(0.013409630352967113-0.01752112651232661j),(-0.11670534197363001-0.01724239907700351j)
0.65,(0.011766991806495578-0.01867882273307662j),(-0.11226401026014371-0.011092242611398233j)
0.66,(0.009975100558860465-0.019708493405559423j),(-0.10749719277160114-0.0053771244902038415j)
0.67,(0.008039384672257241-0.020588275522657903j),(-0.10244323322086483-0.0001173632238191365j)
0.68,(0.005968496231537724-0.021295119389058183j),(-0.09714371373635478+0.004669733077491559j)
0.6900000000000001,(0.0037747992902109006-0.02180520917599607j),(-0.09164311015570177+0.008970447290586714j)
0.7000000000000001,(0.0014748256286274347-0.022094509487652625j),(-0.08598833443632267+0.012775193254126927j)
0.71,(-0.0009103293701835107-0.022139443793668872j),(-0.08022816806323392+0.01607899388639016j)
0.72,(-0.003354702620325516-0.021917705228608336j),(-0.0744125947949202+0.018881875986831248j)
0.73,(-0.005827286275502419-0.021409193319110734j),(-0.06859204585455246+0.021189161008419666j)
0.74,(-0.008292015027677204-0.020597061713259784j),(-0.0628165755249086+0.023011632930953343j)
0.75,(-0.01070795524844445-0.019468852139119284j),(-0.05713498976755191+0.024365567389910376j)
0.76,(-0.013029731206733342-0.018017678969146397j),(-0.051593954646287035+0.02527261043576564j)
0.77,(-0.015208218411187845-0.016243417467291577j),(-0.04623711465579176+0.025759500643933238j)
0.78,(-0.017191525611393657-0.01415383779931503j),(-0.04110425320568069+0.02585763459719338j)
0.79,(-0.018926274934878987-0.011765617133351527j),(-0.036230528188109824+0.025602482751003363j)
0.8,(-0.02035917407945588-0.009105154732536244j),(-0.03164581452924513+0.025032870002299656j)
0.81,(-0.02143885581870283-0.00620911131239014j),(-0.027374180476805367+0.024190141890483907j)
0.8200000000000001,(-0.022117937534103887-0.003124600001452957j),(-0.02343347302344032+0.02311724631408679j)
0.8300000000000001,(-0.022355229696968397+9.106778240757245e-05j),(-0.01983523281280686+0.021857802135998902j)
0.84,(-0.02211801893520861+0.0033710992358065746j),(-0.016584666921409287+0.02045505976745084j)
0.85,(-0.021384304020675496+0.006640468039327284j),(-0.013680823181552204+0.01895092625164511j)
0.86,(-0.020144857980917807+0.009817708765135144j),(-0.011116978281897897+0.017385072555692285j)
0.87,(-0.01840498151594877+0.012817235176778302j),(-0.008881186119613664+0.015794142018876856j)
0.88,(-0.016185810666125927+0.015552129485144306j),(-0.006956960996209754+0.014211089878760031j)
0.89,(-0.01352505020028701+0.017937312308719727j),(-0.005324063809938058+0.012664676941633613j)
0.9,(-0.010477023350738761+0.0198929668477974j),(-0.003959354890605583+0.011179132190483283j)
0.91,(-0.007111958320296278+0.021348058803049574j),(-0.0028376748899181727+0.009773990016926193j)
0.92,(-0.0035144714316862873+0.022243769115977124j),(-0.0019327153373018418+0.008464098489696056j)
0.93,(0.00021874616395269877+0.022536642702629926j),(-0.0012178430467712786+0.007259786315174235j)
0.9400000000000001,(0.00398197968441513+0.02220125541264484j),(-0.0006668472610711357+0.00616716854010939j)
0.9500000000000001,(0.007664168916699687+0.021232214958745856j),(-0.00025458481406717047+0.005188565116364698j)
0.96,(0.011153053706326794+0.019645339811110142j),(4.2493881305327274e-05+0.004323002554031714j)
0.97,(0.014339586156429648+0.01747790195967781j),(0.0002459471887092686+0.0035667672014943444j)
0.98,(0.0171223800547607+0.014787872562072358j),(0.00037507423630162153+0.002913979176409448j)
0.99,(0.01941195430026803+0.011652170127649887j),(0.0004467706697496924+0.0023571584102306106j)
1.0,(0.021134538576852772+0.008163978331152184j),(0.0004754934785121959+0.0018877590192752619j)
1.01,(0.02223520949407511+0.004429247830797406j),(0.0004733273760081528+0.0014966482814365413j)
1.02,(0.02268016841885611+0.0005625559451598143j),(0.0004501276452073814+0.001174525773961302j)
1.03,(0.02245805283415028-0.0033174346914943377j),(0.0004137139509631394+0.0009122676137647447j)
1.04,(0.021580195254017557-0.007092681825224526j),(0.0003701035579935055+0.0007011921400262487j)
1.05,(0.020079832343491703-0.010650375978240416j),(0.00032376255788643085+0.0005332524245898278j)
1.06,(0.018010327116582552-0.01388721362321877j),(0.0002778596823283578+0.0004011613836248684j)
1.07,(0.015442526609998055-0.016713112473492425j),(0.00023451025143685626+0.00029845786184612015j)
1.08,(0.012461426423481048-0.019054192064281845j),(0.00019500100290132272+0.0002195236110417464j)
1.09,(0.00916234847699485-0.02085489532323871j),(0.0001599896825962929+0.00015956167263288387j)
1.1,(0.005646857168237573-0.022079185366206597j),(0.00012967612519967253+0.00011454645139856836j)
1.11,(0.0020186412719111926-0.022710811361806926j),(0.00010394396086379957+8.115492495648891e-05j)
