t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00,B00_z_0015_00,B00_z_0016_00,B00_z_0017_00,B00_z_0018_00,B00_z_0019_00
0.77,(0.8736724286562685+0.40988842244248636j),(0.4271226115060919+0.5494850097949628j),(1.3242292749765692-0.17926333112935816j),(0.5318490603179424+0.6719119143694898j),(-0.046140448029256036+0.28941859491605476j),(0.26704668926993136+0.5853875871308285j),(0.18202034978045054-0.7495934244043082j),(1.0134222830885193+0.5153951363235704j),(1.2521732285354479-0.29684082802730016j),(0.12546648972663013-0.08100996183882435j),(0.33818938800669496+0.14595996338642342j),(1.0324257661915175+0.730929881672752j),(0.773870467601194+0.6994762124980379j),(0.48136023246147813-0.5371728916928181j),(0.4846219891006258+0.530147519531761j),(0.03858697745338741+0.4217259288046663j),(0.005387682864854814+0.3782418105107008j),(0.1420720363314876+0.47291032153212414j),(1.0046412064535533+0.4448222146606969j),(1.423285861216761-0.15230730448416172j)
0.78,(0.8657096623897013+0.40612937741658267j),(0.418476490770249+0.5402831176498131j),(1.3283832791431636-0.17856639344986758j),(0.5222304883682983+0.6609531028177618j),(-0.05040597973029444+0.2770192280580322j),(0.2590971499428873+0.573844970162554j),(0.18855505653596005-0.7653331506093337j),(1.0034660549050678+0.5103881991994729j),(1.258811172000887-0.29752922191253517j),(0.12724349619834796-0.08940690584340813j),(0.33506462468043635+0.14106248822885548j),(1.0194621396823538+0.7214291386586659j),(0.7628274779962781+0.6893488590822023j),(0.4901999635671654-0.5457291714623662j),(0.4759082807192984+0.5218513022753923j),(0.032711846895487784+0.4095710136448706j),(1.602792464879422e-05+0.36600530966517103j),(0.13520587947386298+0.4616039300475259j),(0.9958415038450213+0.4410105172297064j),(1.4269499532922543-0.150783493572566j)
0.79,(0.8576051019249576+0.4022696630998412j),(0.4097777318029241+0.5308357154260249j),(1.3326710726322746-0.17761083911963813j),(0.5124883652071617+0.6498207899566294j),(-0.05450682734244136+0.26429063692117194j),(0.2511219072378534+0.5620374673956373j),(0.19512619301831555-0.7818390211144693j),(0.9933096016423721+0.5053486206020227j),(1.2657102551676471-0.29803086072716306j),(0.1292031149687358-0.09809677567463083j),(0.3320161167763989+0.1358676776084121j),(1.0062545760550727+0.7119311646197659j),(0.7516003142993539+0.6791317927609227j),(0.4992949514531085-0.5547137060869887j),(0.46713122414017455+0.513319580948323j),(0.026936614070177247+0.397093148026554j),(-0.005231331300409234+0.3534411932408275j),(0.12839631826843784+0.4499854596225164j),(0.986859890134881+0.4371608691184989j),(1.430710934865118-0.14890838305218673j)
0.8,(0.8493711484348413+0.3983050466043921j),(0.4010417951535276+0.5211486585987049j),(1.3370839401268722-0.1763898755031484j),(0.5026417439631894+0.6385207824751647j),(-0.058434814742423034+0.25124160920776123j),(0.24313549872308812+0.5499737645451419j),(0.20173168067490785-0.7991443215589373j),(0.9829695197067233+0.5002681771865458j),(1.272867198899229-0.29833306363033074j),(0.1313518673206554-0.10707577137909675j),(0.3290536112763147+0.13038050844563567j),(0.9928301785249775+0.7024286645345916j),(0.740211710735618+0.6688256405410429j),(0.508657769114531-0.5641335505871609j),(0.4583062515273554+0.5045570084246269j),(0.021271738891541166+0.3843016010527066j),(-0.010344694362149662+0.34055862891923094j),(0.12165553708910554+0.43806373898593015j),(0.9777098235154288+0.43326539272716463j),(1.4345555555160632-0.14667676062526736j)
0.81,(0.8410210113121417+0.39423198248273733j),(0.39228451085426996+0.51122893365532j),(1.3416117842492925-0.17489739884016922j),(0.49271008182619425+0.6270598936058688j),(-0.062181909170542615+0.23788191569964284j),(0.2351527214009409+0.5376636080671295j),(0.20836875139412667-0.817283429858477j),(0.9724633805774211+0.49513925109985535j),(1.2802771145672585-0.2984230453677927j),(0.13369607824315946-0.11633920098447786j),(0.3261869574135405+0.12460709281282213j),(0.9792168346546032+0.6929152104854945j),(0.7286849577247071+0.6584319755671543j),(0.518301101970603-0.5739951191257808j),(0.44944921874035887+0.4955693712421686j),(0.015727710051538585+0.37120669521969096j),(-0.015314390729303774+0.32736782162774j),(0.11499584861478275+0.42584870170048017j),(0.9684057157279169+0.4293167112884708j),(1.4384689907698844-0.14408464804217255j)
0.8200000000000001,(0.8325686026833437+0.3900476757291139j),(0.38352195685144364+0.5010845986404686j),(1.3462431447978245-0.17312810557968383j),(0.48271308141127406+0.6154458868532958j),(-0.0657402582692375+0.2242222332521337j),(0.22718853222916757+0.5251177129184502j),(0.21503386990609855-0.8362919470733198j),(0.9618095926535618+0.4899549411858412j),(1.2879334406012275-0.29828802657291226j),(0.13624183526852487-0.1258815191821681j),(0.32342604226102606+0.11855464502773358j),(0.965442980956863+0.6833853480593424j),(0.7170437020792557+0.6479533265747544j),(0.5282377215871681-0.5843041977904981j),(0.44057627947290073+0.48636354492776357j),(0.01031499399772057+0.35781971745457614j),(-0.02013082499681517+0.3138799284840126j),(0.10842962387529753+0.4133512975167797j),(0.958962823880465+0.42530805359502555j),(1.4424349086458639-0.14112943791878862j)
0.8300000000000001,(0.8240284266816494+0.3857501382464332j),(0.3747703400340095+0.490724719139037j),(1.3509652350894252-0.17107761071712502j),(0.47267053758970634+0.6036874156218022j),(-0.0691022266268611+0.2102740682725874j),(0.21925795191676967+0.5123476697343426j),(0.22172264986988788-0.8562068335533545j),(0.951027257722451+0.4847091655145151j),(1.2958278885366916-0.2979153603177293j),(0.13899494716877608-0.135696367672154j),(0.32078072493323273+0.11223144390493058j),(0.9515373708163809+0.673834687920862j),(0.7053117525967284+0.6373931785609225j),(0.5384804558362796-0.5950659565434889j),(0.43170376119388354+0.4769474435588505j),(0.005043984895780576+0.3441528308157347j),(-0.024784521356622652+0.3001069743576046j),(0.10196922409019521+0.4005834032842979j),(0.9493971357321287+0.4212333523036583j),(1.446435561364807-0.137810034415693j)
0.84,(0.8154154646867693+0.3813382376802126j),(0.36604588118418135+0.4801593005519719j),(1.3557639966186459-0.1687425713631694j),(0.4626021914845406+0.5917939593372282j),(-0.07226043175792994+0.19604968159342817j),(0.21137597289668264+0.49936585261628563j),(0.22842976277357407-0.8770665499608848j),(0.9401360234559895+0.479396753302671j),(1.3039504007547575-0.29729267468300835j),(0.14196090271470077-0.14577661662419128j),(0.31826077005577275+0.10564679065366774j),(0.9375288481797222+0.6642599807019322j),(0.6935128932154582+0.6267559642786524j),(0.5490421550793475-0.6062849600251555j),(0.4228480443339529+0.46732996422114026j),(-7.504422310096286e-05+0.3302189879798193j),(-0.02926616719844346+0.2860617691005384j),(0.0956269347658175+0.3875577346217516j),(0.9397252494716954+0.4170873340173922j),(1.4504519031557463-0.1341269947227048j)
0.85,(0.8067450578217292+0.37681173769541343j),(0.3573647050091282+0.4693992175597695j),(1.3606241730473576-0.16612081340327148j),(0.45252759307608104+0.5797757567466039j),(-0.07520777944247445+0.18156201554623463j),(0.2035574722087516+0.48618532864765296j),(0.23514883864233688-0.8989112027354341j),(0.9291559334702102+0.47401352458805673j),(1.3122891222419588-0.2964080307300015j),(0.1451448296987915-0.15611440672970137j),(0.3158757811485441+0.09881096293427805j),(0.9234461293787584+0.6546591739096773j),(0.6816707056806082+0.6160470464567356j),(0.55993565391839-0.6179651769415104j),(0.4140254460139434+0.4575209271017539j),(-0.005031988971154361+0.31603184751188046j),(-0.03356665572947644+0.27175782737766435j),(0.08941490242430197+0.3742877594469979j),(0.9299642491729221+0.41286559955302804j),(1.4544637346738623-0.13008266784611325j)
0.86,(0.7980327880520973+0.37217132896738836j),(0.34874273623176316+0.4584561416840438j),(1.3655294042760617-0.1632114587546754j),(0.4424659735928343+0.5676437371450805j),(-0.07793749833221938+0.16682462392957803j),(0.1958171298556536+0.47281977015447096j),(0.24187235740305343-0.9217826935199969j),(0.9181072765773176+0.4685563563478157j),(1.320830388785723-0.2952500948221347j),(0.14855145441955162-0.166701191349352j),(0.31363513455021497+0.09173516559512894j),(0.9093175953099834+0.6450314501206329j),(0.6698084034071751+0.6052726909277341j),(0.5711737280152425-0.6301099878183487j),(0.40525210944362244+0.44753101201446077j),(-0.009816959643374718+0.3016056937721414j),(-0.03767712751443563+0.257209291891974j),(0.08334507425052459+0.36078761434154616j),(0.9201315772368048+0.40856469304699355j),(1.4584498740145269-0.12568132681053168j)
0.87,(0.7892943592584821+0.36741865036707677j),(0.3401956025291811+0.447342467847018j),(1.3704623410127836-0.16001505040670047j),(0.432436128586857+0.555409450317713j),(-0.08044317371123487+0.15185160544284135j),(0.1881693530282223+0.4592833706067453j),(0.2485915295913378-0.9457248720112188j),(0.9070104369139952+0.46302323410382706j),(1.3295587340425943-0.2938083237669292j),(0.15218506181840122-0.1775277783015018j),(0.3115479144855224+0.08443147860968127j),(0.8951710959987497+0.6353772462763081j),(0.6579486779439068+0.5944400311014866j),(0.5827690454332837-0.6427221909690547j),(0.3965438999373419+0.43737169218603933j),(-0.014420325685890707+0.2869553611581438j),(-0.04158901084181627+0.24243086065475336j),(0.07742914086280099+0.3470720245822668j),(0.9102449052301932+0.40418215882503644j),(1.4623883536907685-0.1209292900872882j)
0.88,(0.7805454796480296+0.36255630003569006j),(0.3317385449167363+0.43607124079339843j),(1.3754047798503188-0.15653367215699368j),(0.4224563123181256+0.5430849959943798j),(-0.08271878027492693+0.136657541035036j),(0.18062820644066951+0.4455907649168187j),(0.2552961649080385-0.9707836916239027j),(0.8958857466413411+0.457413288419802j),(1.338456917860073-0.2920731607356796j),(0.15604945645234655-0.18858437088579932j),(0.3096228498436043+0.07691280271848654j),(0.8810337693364979+0.6256982544081151j),(0.6461135591433922+0.5835570244420989j),(0.5947341119123946-0.6558040065970538j),(0.3879163083045609+0.4270551661399014j),(-0.01883275850705836+0.27209616321997954j),(-0.04529406081926337+0.22743771880047955j),(0.07167848234297325+0.3331562285180065j),(0.9003220045941708+0.3997165852529487j),(1.4662566422432202-0.11583502787117461j)
