t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
0.9400000000000001,(-0.637136435868604-0.7182311064143163j),(-0.25063753896866614+0.8538643118380721j),(-1.3136005773069548-0.21269513882646895j),(0.8535132057752323+1.569639663304052j),(-0.22298302926133107+0.10430691735468688j),(0.6568962080182826+0.4957183072421914j),(-1.0363389187740522-0.040036180103025246j),(0.957172490175352-0.07595374928819987j),(1.182892706363726-2.384583786523542j),(-1.4539878944163396+0.5278976838687187j),(1.3722135183253412+0.5282113415488443j)
0.9500000000000001,(-0.6456500804623936-0.7137836622624087j),(-0.24702746501302064+0.8500012952733839j),(-1.3138816952556402-0.20647257638085542j),(0.853137111090356+1.5677254692615856j),(-0.2309632683523445+0.10564756197470733j),(0.6530447100346475+0.49072186185156635j),(-1.0354543923759922-0.034132996105329855j),(0.9462239372765452-0.07425089266160204j),(1.1855972955021885-2.384423747804096j),(-1.451674327789805+0.5299254887439633j),(1.3685574426429619+0.5267424117116621j)
0.96,(-0.6539221027191437-0.7090879799818083j),(-0.24352182439476328+0.8459608817881797j),(-1.3138631417613844-0.20012965960671636j),(0.852694721413269+1.5657717227092416j),(-0.2388616733035954+0.10706017523580186j),(0.6490731313443723+0.48575197844421025j),(-1.034282001623139-0.028255407411063835j),(0.9353744836326439-0.07261230539687967j),(1.1884779252014532-2.3843918744601185j),(-1.4492249606931487+0.5318666347931189j),(1.3647628691244151+0.5253665454466679j)
0.97,(-0.6619282499651691-0.704125668705086j),(-0.24017262503258469+0.8417157512966152j),(-1.313503095632213-0.19369392295909998j),(0.8521784768267657+1.56377305822266j),(-0.2467029704043562+0.10857165709414576j),(0.6449397672213081+0.4808019095471168j),(-1.032798206264152-0.022429709835024736j),(0.9245671179171853-0.07088698133332698j),(1.1915948439075201-2.3845390608519446j),(-1.446627576392536+0.5336896672101087j),(1.3607591472408211+0.5240788949468062j)
0.98,(-0.6696275372367355-0.698928891362438j),(-0.2369816523709106+0.8372812032403726j),(-1.3128012198263441-0.18718050847195372j),(0.851589741808985+1.5617530948666836j),(-0.2544489849877773+0.11018254480820971j),(0.6406638985081978+0.4758918874993391j),(-1.0310155888429906-0.016671600313438808j),(0.9136692715052809-0.06909764782205904j),(1.1948872665009527-2.3847915615394792j),(-1.4438928148674048+0.5353926099905334j),(1.356630666744894+0.5228606352233279j)
0.99,(-0.6769886677446207-0.693536851447894j),(-0.23394395066401952+0.8326749826125712j),(-1.311763295377616-0.18060390741820356j),(0.8509295872434915+1.5597335985448755j),(-0.26206336320678064+0.11188490092838137j),(0.6362678166343928+0.4710411714016632j),(-1.0289505549621405-0.01099477426748945j),(0.9025806740172527-0.06728832632983883j),(1.1982971470921169-2.3850799454519724j),(-1.441033076449157+0.5369762249625218j),(1.3524616457531342+0.5216980822205053j)
1.0,(-0.6839884258866623-0.6879851633063431j),(-0.231059013820057+0.8279099853222568j),(-1.31039279173323-0.17398133935675375j),(0.8501973870958297+1.5577313869287295j),(-0.26951973455383527+0.11367040785652457j),(0.6317664960368308+0.46626558467055157j),(-1.0266166980505935-0.005413949620996193j),(0.8912323320801451-0.06548906517987149j),(1.2017866079792605-2.385356185920924j),(-1.4380589627603781+0.5384379807727455j),(1.3483138942236104+0.520582829673676j)
1.01,(-0.6906116772477573-0.6823058521335329j),(-0.22833078540103563+0.8229942581944014j),(-1.3086908667537536-0.16733275213248666j),(0.8493908184135235+1.5557583294576691j),(-0.27680171186095753+0.11553036784597949j),(0.6271675941600363+0.46157751503814276j),(-1.0240247993638476+5.513319958534019e-05j),(0.879586529327725-0.06371593955180431j),(1.2053379396485135-2.3855936606800823j),(-1.4349792767148384+0.539772052886418j),(1.344226813955959+0.5195117491092426j)
1.02,(-0.696851368599863-0.6765273539760702j),(-0.225767658622835+0.8179309989699037j),(-1.3066563667131177-0.16068082187626279j),(0.8485058613260763+1.5538213473390483j),(-0.28390289129971064+0.11745570300156248j),(0.6224714514561202+0.4569859145522514j),(-1.0211828279839064+0.0053957112651634095j),(0.8676368264004817-0.06197105148172678j),(1.2089536007738872-2.3857871518654474j),(-1.431801022517492+0.5409693235872962j),(1.3402173985913852+0.5184869898446731j)
1.03,(-0.7027085279019958-0.6706745157314208j),(-0.22338247635520173+0.812718556305589j),(-1.3042858262986186-0.15405095300492092j),(0.8475367990449709+1.5519224135481506j),(-0.2908268523812052+0.11943695527956621j),(0.6176710913847795+0.4524962995763684j),(-1.0180959408192802+0.010589999144010119j),(0.8554080609456273-0.06024252986217055j),(1.2126562182172753-2.385952846015267j),(-1.428529405664477+0.5420173819776789j),(1.3362802336126614+0.5175159789885007j)
