t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00
0.23500000000000001,(0.2981199071114436+0.2847384426395483j),(0.2676637166526382+0.8122743566187914j),(0.36743125082536443+0.5511030772050013j),(-0.9688377698344413+1.6531919768048038j),(0.32868000613189136-1.0025969559797314j),(-0.16541901216907312+0.13916125607111923j),(1.0523582039102897-0.6505280922616825j),(0.5582911132810867-0.2041760157556729j),(0.41692864375434957-0.5767500882037229j),(0.20846179040471216-1.2221992825117263j),(0.7438743461626994-1.303239856815871j),(-1.2250492806111157-0.28479964940553715j),(-0.2186122526189649-0.46555054250519856j),(-1.3983932778549952-0.7559361550621938j),(-0.5167309708654055-1.0790223073626422j)
0.24,(0.3049112807422439+0.27566792406356083j),(0.2730545203267567+0.8097187228882733j),(0.3740256657776162+0.5456417399550033j),(-0.9684839251602014+1.652906237109637j),(0.32319258927254635-1.0049835133271154j),(-0.1638202697581494+0.13788457283941935j),(1.0464725431002284-0.6605559890524648j),(0.5543325971145232-0.2159386411311438j),(0.41019324666281387-0.58252401052926j),(0.2038228256561862-1.2235312738731676j),(0.7365883216271126-1.3078510841607427j),(-1.2236758739346587-0.2910459546831115j),(-0.21922013906151439-0.4665995277324885j),(-1.3963398883853613-0.7601813144916235j),(-0.5158916903896158-1.080011183321351j)
0.245,(0.31156178700595727+0.2664123838129734j),(0.27844288976591924+0.8071427831662283j),(0.38058381574286454+0.5400960439543994j),(-0.9680666988458472+1.6526613682971127j),(0.3177805152838624-1.007300462110136j),(-0.16217173768875845+0.13669072956661504j),(1.0405791819551635-0.6704020934005182j),(0.5502037533921368-0.22743445968351528j),(0.40353496532682553-0.5880966495355545j),(0.1992342127992345-1.2248259646288138j),(0.7293693817070688-1.3123605604308266j),(-1.2223071113054274-0.2971506459344364j),(-0.21986352963210085-0.46760510862091176j),(-1.394334134888683-0.7643017070426465j),(-0.5151104182589425-1.0809610304345205j)
0.25,(0.31805669975845147+0.2569806332686999j),(0.28382720999089184+0.8045469501796957j),(0.38710253424112806+0.5344671581320585j),(-0.9675874417769346+1.6524567453237924j),(0.3124429453899726-1.009549822082108j),(-0.16047269773305625+0.1355790236476688j),(1.034681560409179-0.6800678568786543j),(0.5459194872556186-0.23865903224152363j),(0.39695650378325015-0.5934732122580895j),(0.19469494535851473-1.2260842067484286j),(0.7222174446820497-1.3167704854977553j),(-1.2209448707243578-0.3031142812864021j),(-0.22054225980892-0.46856734693251845j),(-1.3923765360803462-0.7682985847183226j),(-0.5143865908136759-1.0818722379216412j)
0.255,(0.3243808980752698+0.24738223575669213j),(0.28920592284542435+0.8019315965492931j),(0.3935787078382077+0.528756339042743j),(-0.9670474992885426+1.6522917404458255j),(0.3071790032646463-1.0117335773552893j),(-0.15872241520080002+0.13454855768067858j),(1.0287829859056798-0.6895547947223639j),(0.5414953217054991-0.24960853926829152j),(0.39046018267085497-0.5986590409187023j),(0.19020402651384552-1.2273068415735742j),(0.7151323896621669-1.321083034256708j),(-1.219590955945894-0.30893749303883883j),(-0.22125613473770583-0.4694863377051782j),(-1.390467562010816-0.7721732367612144j),(-0.5137196246625823-1.0827452077624258j)
0.26,(0.33051886625163124+0.2376275065479399j),(0.29457752699625034+0.799297054789217j),(0.4000092761456871+0.522964930867109j),(-0.9664482111652735+1.65216572321895j),(0.30198777503128993-1.013853676400882j),(-0.1569201389393483+0.13359823946687777j),(1.0228866333973923-0.6988644858298149j),(0.5369473976011485-0.2602797808613283j),(0.3840479392303092-0.6036596129255831j),(0.18576046910020644-1.22849469981761j),(0.7081140565881612-1.3253003566264103j),(-1.2182470964779877-0.31462098766451607j),(-0.2220049292317303-0.47036220925258004j),(-1.3886076340656386-0.7759269896533888j),(-0.5131089166829041-1.083580354696809j)
0.265,(0.33645469380243037+0.22772751285847148j),(0.29994057793308704+0.7966436173072423j),(0.4063912318209323+0.5170943654117058j),(-0.9657909116412519+1.652078060498492j),(0.2968683092629464-1.0159120320490322j),(-0.1550651013336609+0.13272678201063506j),(1.0169955453463633-0.7079985727618521j),(0.5322924736607769-0.2706701767525286j),(0.37772132730418356-0.608480540873277j),(0.18136329560773776-1.2296486015656944j),(0.7011622462314027-1.3294245775491345j),(-1.216914947582098-0.3201655458091436j),(-0.22278838777180365-0.47119512316423234j),(-1.3867971249654407-0.7795612071164161j),(-0.51255384402036-1.0843781062249478j)
0.27,(0.3421720754622373+0.2176940738493527j),(0.3052936879686357+0.7939715364047226j),(0.4127216205670915+0.5111461621089765j),(-0.9650769294001256+1.6520281164393655j),(0.2918196169822952-1.0179105214888298j),(-0.15315651830629884+0.13193270351945455j),(1.0111126317239605-0.7169587617419987j),(0.5275479264614336-0.28077776630817386j),(0.3714815173369504-0.6131275725426817j),(0.17701153818174062-1.2307693562747826j),(0.6942767201938913-1.3334577969906989j),(-1.2155960902731915-0.3255720222913704j),(-0.22360622450627418-0.4719852743054631j),(-1.385036358765929-0.7830772901113702j),(-0.5120537640891448-1.085138902607221j)
0.275,(0.3476543111852982+0.20753976062668733j),(0.31063552623858115+0.7912810242765902j),(0.41899754113309595+0.5051219280172572j),(-0.9643075875750653+1.6520152524960734j),(0.28684067166165234-1.0198509862683078j),(-0.15119358931742452+0.13121432740397565j),(1.0052406700108736-0.725746822656455j),(0.5227317504390077-0.29060120852893223j),(0.3653292963749838-0.6176065909010497j),(0.17270423862267723-1.2318577627736282j),(0.6874572009082562-1.337402089940469j),(-1.2142920313197423-0.3308413461027854j),(-0.22445812325102843-0.47273289081741965j),(-1.3833256108578906-0.7864766768388287j),(-0.5116080145719293-1.0858631968642294j)
0.28,(0.35288430614553407+0.1972778962416178j),(0.3159648187015918+0.7885722530113558j),(0.4252161453136587+0.4990233578207779j),(-0.9634842037487646+1.6520388274227062j),(0.2819304092229709-1.021735232294444j),(-0.14917549736480157+0.13056978227797333j),(0.9993823051971118-0.7343645890540993j),(0.5178625578882281-0.3001397820498568j),(0.3592650680665596-0.6219236141019866j),(0.16844044838617053-1.2329146092627827j),(0.6807033716377563-1.3412595064113564j),(-1.213004203243732-0.33597452040791725j),(-0.22534373748949096-0.4734382341170688j),(-1.381665107967193-0.7897608427388729j),(-0.5112159134198606-1.086551454776796j)
0.28500000000000003,(0.3578445707365423+0.18692255569032407j),(0.3212803481393202+0.7858453545911089j),(0.43137463794927566+0.49285223382966203j),(-0.9626080899534399+1.6520981972729432j),(0.2770877280378401-1.0235650298331593j),(-0.14710140898379495+0.12999700195835778j),(0.9935400497820064-0.7428139581464868j),(0.5129565212496182-0.30940145915556583j),(0.3532888526618552-0.6260847954854518j),(0.1642192285830043-1.2339406733145957j),(0.6740148764762796-1.3450320714398192j),(-1.21173396432065-0.3409726225442344j),(-0.2262626903726246-0.4741015988971967j),(-1.3800550281547848-0.7929313004910877j),(-0.510876758852562-1.0872041548859663j)
0.29,(0.3625172205715956+0.17648856591402423j),(0.3265809541564023+0.7831004208915173j),(0.4374702769262249+0.4866104259799265j),(-0.9616805526708309+1.652192715400051j),(0.27231148892748624-1.025342113509319j),(-0.1449704742473708+0.12949372546517463j),(0.9877162837742092-0.7510968908078508j),(0.5080166273509442-0.3184126327423329j),(0.3474002870129499-0.6300964235777586j),(0.16003964997912334-1.2349367218732143j),(0.6673913203483439-1.3487217850858624j),(-1.2104825985794931-0.34583680402214473j),(-0.22721457471893017-0.4747233131264092j),(-1.3784955008166937-0.7959896000145616j),(-0.5105898293581326-1.0878217884930073j)
0.295,(0.36688397648364224+0.1659915057989746j),(0.3318655331804581+0.7803375036818279j),(0.4435003731765675+0.48029989183348143j),(-0.9607028928321993+1.6523217324568855j),(0.2676005151627719-1.0270681823067316j),(-0.14278182676609666+0.1290574970216049j),(0.9819132546916929-0.7592154115751024j),(0.5030458942342725-0.32718087850763367j),(0.3415986245738242-0.6339649220915741j),(0.15590079299563323-1.235903511254584j),(0.6608322690090965-1.3523306224330365j),(-1.2092513158027658-0.35056829052499594j),(-0.2281989530144468-0.47530373804913123j),(-1.3769866066840286-0.7989373284678867j),(-0.5103543836931479-1.088404859659408j)
0.3,(0.3709261645253062+0.15544770617646914j),(0.33713303846209114+0.7775566146248656j),(0.44946229067814625+0.4739226765781308j),(-0.9596764058183308+1.65248459639589j),(0.26295359246419653-1.0287448995681499j),(-0.14053458368814123+0.12868566605396492j),(0.9761330775617514-0.7671716086478295j),(0.49804754337412743-0.33571232047224897j),(0.335882735400361-0.6376968499259188j),(0.15180174770880023-1.2368417871464477j),(0.6543372490443139-1.3558605335884397j),(-1.2080412515264798-0.35516838190907557j),(-0.22921535741275167-0.4758432681856075j),(-1.3755283778229785-0.8017761102491588j),(-0.5101696608826596-1.0889538852068799j)
0.305,(0.3746284918191302+0.14487328119872303j),(0.3423824800748888+0.7747577252770346j),(0.45535344645458686+0.467480913027572j),(-0.9586023814595332+1.6526806524690965j),(0.25836946900189606-1.0303738929952702j),(-0.1382278456992746+0.12837538719170657j),(0.9703777349209995-0.7749676338882985j),(0.4930246914224224-0.34401299623131176j),(0.33025110615034403-0.6412989011661678j),(0.14774161385005183-1.2377522846083464j),(0.6479057478704024-1.359313443682716j),(-1.2068534670401543-0.35963845220361085j),(-0.2302632897349601-0.476342331331902j),(-1.3741207976348133-0.8045076069959775j),(-0.5100348802201954-1.0894693947173564j)
0.31,(0.3780287148369304+0.13427109849966337j),(0.3476129249154222+0.7719407670883169j),(0.4611713105752973+0.46097682162139575j),(-0.9574821040356378+1.6529092432281247j),(0.25384685539564333-1.031956754648733j),(-0.13586069702286807+0.12812362026741692j),(0.9646490768153729-0.7826057028214524j),(0.48798035020845987-0.3520888569543067j),(0.32470184008345937-0.6447779050840489j),(0.14371950080597615-1.2386357280716194j),(0.6415372137343975-1.362691252870056j),(-1.2056889493868168-0.3639799496107686j),(-0.2313422214697256-0.4768013885598982j),(-1.3727638008558822-0.8071335175854456j),(-0.5099492412677591-1.0899519305329928j)
0.315,(0.38114539857312785+0.12364851854132726j),(0.3528234967032462+0.7691056314022738j),(0.4669134061554682+0.45441271042508635j),(-0.9563168522759982+1.6531697085241832j),(0.24938442471484756-1.0334950409481218j),(-0.13343220541989423+0.12792713031681857j),(0.9589488208001283-0.7900880946349123j),(0.4829174267389315-0.35994576738507045j),(0.3192326570612946-0.648140826137644j),(0.13973452761832222-1.2394928313394036j),(0.6352310557139647-1.365995836328197j),(-1.2045486113630017-0.3681943965056555j),(-0.2324515937732398-0.47722093421729883j),(-1.371457273557616-0.8096555781341699j),(-0.509911923855831-1.090402047756167j)
0.32,(0.38398336594492194+0.11301601618638639j),(0.3580133759808994+0.766252169456045j),(0.4725773093560725+0.4477909751300216j),(-0.9551078993594913+1.6534613855080686j),(0.2449808124785547-1.0349902726719653j),(-0.13094142218892701+0.12778248757876942j),(0.9532785519398435-0.797417152178977j),(0.477838723197918-0.3675895058417914j),(0.313840893547339-0.6513947639713891j),(0.13578582298400002-1.2403242975866335j),(0.6289866437173981-1.3692290442584225j),(-1.203433291518751-0.3722833894363177j),(-0.23359081746923244-0.47760149592762646j),(-1.3702010531465252-0.8120755619982609j),(-0.5099220880833668-1.090820314249478j)
0.325,(0.3865474342512712+0.10238369162230462j),(0.3631818001139041+0.7633801923803486j),(0.4781606493838655+0.44111409905347276j),(-0.9538565129145168+1.6537836086301652j),(0.24063461665544728-1.0364439349577346j),(-0.12838738216614157+0.12768606749526276j),(0.9476397228084168-0.8045952819666227j),(0.4727469369468893-0.37502576421700984j),(0.3085235026069833-0.6545469534160737j),(0.13187252525508036-1.241130819360042j),(0.6228033084836223-1.372392701885563j),(-1.202343754157614-0.3762485991237413j),(-0.23475927304897143-0.47794363459022277j),(-1.3689949283642007-0.8143952797733326j),(-0.5099788743177991-1.0912073106357478j)
0.33,(0.38884241517289325+0.0917612703613381j),(0.3683280632907667+0.7604894711994815j),(0.4836611084913851+0.4343846531386045j),(-0.9525639550189974+1.654135709640446j),(0.23634439766384469-1.0378574773018454j),(-0.12576910372531433+0.12763405071142728j),(0.9420336534890681-0.8116249541735028j),(0.46764466052470444-0.38226014797761787j),(0.30327705390751997-0.657604764488841j),(0.12799378243879483-1.2419130785781602j),(0.6166803415821906-1.3754886094579946j),(-1.2012806893366486-0.38009177046185216j),(-0.23595631067126288-0.478247944380249j),(-1.3678386392873136-0.8166165792945025j),(-0.5100814031950364-1.0915636302980203j)
0.335,(0.3908731147722649+0.08115810324053514j),(0.3734515165229768+0.7575797368313192j),(0.4890764219769516+0.42760529595447533j),(-0.9512314822003785+1.6545170175884725j),(0.23210867837170268-1.039232313559657j),(-0.12308570830217425+0.12762242316900732j),(0.9364615315743381-0.8185087026379492j),(0.46253438164761157-0.3892981761648595j),(0.29809773371814346-0.660575702393188j),(0.12414875219753604-1.2426717465313162j),(0.6106169954132863-1.3785185422476407j),(-1.2002447128664189-0.3838147225175155j),(-0.23718125016245098-0.4785150527486858j),(-1.366731877327616-0.8187413456363919j),(-0.510228775619463-1.0918898793795608j)
0.34,(0.39264433349362193+0.07058316642173637j),(0.37855156764500825+0.7546506800873156j),(0.4944043781846678+0.42077877369603667j),(-0.9498603454356285+1.6549268588233936j),(0.22792594409661382-1.0405698219454729j),(-0.12034356111975664+0.12764680986261828j),(0.9309244121660879-0.8252491248609701j),(0.457418483209248-0.3961452813943306j),(0.29298134490994987-0.6634674075189653j),(0.12033660184885736-1.2434074838816367j),(0.6046124832077215-1.3814842505499711j),(-1.1992363663109973-0.3874193485305367j),(-0.23843338101641803-0.47874562042233326j),(-1.36567428523194-0.8207715011131258j),(-0.5104200727639399-1.0921866767838577j)
0.34500000000000003,(0.3941608661629593+0.060045061391574645j),(0.38362768131431824+0.7517019516725035j),(0.49964281850441883+0.41390792018413397j),(-0.9484517901512388+1.655364556993947j),(0.22379464260580728-1.0418713450325394j),(-0.11754424668359403+0.12770215483506553j),(0.9254232178755004-0.8318488820062528j),(0.4522992432806401-0.4028068098559787j),(0.28792330695593643-0.6662876554423778j),(0.1165565083654731-1.2441209406630458j),(0.5986659790269389-1.3843874596840018j),(-1.1982561169879637-0.39090761591366047j),(-0.2397119623945846-0.47894034140381103j),(-1.3646654570821979-0.8227090052783327j),(-0.5106543560698037-1.0924546541746207j)
0.35000000000000003,(0.3954275019880311+0.049552014961475016j),(0.38867937901134814+0.7487331621854942j),(0.5047896373718723+0.40699565686550576j),(-0.9470070562232237+1.6558294330484586j),(0.21971318411614887-1.0431381897530478j),(-0.11468456495989568+0.1277832152650729j),(0.9199587388230789-0.838310698900161j),(0.44717883511020345-0.40928802131410347j),(0.2829217603612223-0.6690392100946815j),(0.1128076583752583-1.2448127562812663j),(0.5927766177630096-1.3872298699922956j),(-1.1973043579684055-0.3942815662525714j),(-0.24101622312590923-0.47909994297155806j),(-1.3637049382953828-0.8245558549251448j),(-0.5109306672468676-1.0926944559757819j)
