t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B01_z_0000_00,B01_z_0000_01
1.12,(1.4908952651546021-3.2496773131188217j),(3.7937140669964116+1.7907843496457787j),(-2.423592058234278-0.8508328809483938j),(-0.9273205599719732-0.29080545742100633j),(6.962219995576796-1.9198757006441123j),(7.118299799002669-5.202746605047129j),(0.10347317879953966-0.00018865640387279989j),(0.13094291071925238+0.13217487590137222j),(1.2941619220521037+0.5404478564560002j),(-0.08825963930052089+0.03731163872571787j),(5.304473062204029-2.524802869925141j),(-2.3979039757022247+0.8851544318366675j),(-0.08441105128130894-0.3982251376447042j),(-2.734240690096632+0.7315498612447393j),(0.9117937910217722+1.030342440518332j),(0.27771473991304924+1.4040563623745637j),(-0.33559200498708763+0.46469490838767863j),(-0.08927619139850307+1.4510410933704494j),(0.6294235601666927-0.934640835672475j),(1.4612070542706341+0.05946851283720098j),(1.4908952651546021-3.2496773131188217j),(3.7937140669964116+1.7907843496457787j)
1.1300000000000001,(1.6135613325743237-3.1547994625706313j),(3.5868122282187853+1.8584122574427484j),(-2.4569148705145243-0.7798976506129705j),(-0.9453159825470204-0.26057699667696754j),(7.499066874069431-1.4957100492784292j),(8.000008376156988-5.002014110838251j),(0.10499998017049443+0.00011674638765178487j),(0.1282860468457932+0.11952319055569915j),(1.2980025234395614+0.5319452998333826j),(-0.08108879454118573+0.005787978810722835j),(5.13149838985113-2.707576866063552j),(-2.374856656000543+0.8729555445791191j),(-0.08589003804228088-0.35464933862537124j),(-2.6700489247908004+0.8487371526232879j),(0.9130148647876438+1.0078903015167315j),(0.28626862964442024+1.3524646905052966j),(-0.3112014988831261+0.45596184151883057j),(-0.07139303879740928+1.414663194641774j),(0.6470106558293526-0.9418003411670587j),(1.4464634995234869+0.05885008044377346j),(1.6135613325743237-3.1547994625706313j),(3.5868122282187853+1.8584122574427484j)
1.1400000000000001,(1.7175974726145424-3.05905517883676j),(3.3894716053168796+1.9038781393308652j),(-2.4869423184974133-0.7074830916901537j),(-0.9614157483722907-0.22976692740904162j),(7.9937370128022085-0.9408235968212765j),(8.905541425338296-4.623378718391336j),(0.10634248308147842+0.0005119638108780693j),(0.1258989011530599+0.10710745289771038j),(1.3018506418301188+0.5236634393260251j),(-0.07402358946409575-0.025228842032993182j),(4.956012120705739-2.8776004832012667j),(-2.355716631768794+0.8623025666324018j),(-0.0839154611123924-0.31276612627372125j),(-2.598145105105583+0.9561458880088621j),(0.9140526477879028+0.9868602273019796j),(0.2938580140120497+1.303662883843803j),(-0.288523143897469+0.4474211986013922j),(-0.055224917283934576+1.379779558409654j),(0.6640578289192041-0.9485793405228965j),(1.4319246858213532+0.05765464994899585j),(1.7175974726145424-3.05905517883676j),(3.3894716053168796+1.9038781393308652j)
1.1500000000000001,(1.8048977418130365-2.964772166059058j),(3.2032935545479577+1.9308202470136215j),(-2.513583193794974-0.6339043729310531j),(-0.9755901089956983-0.19855146741220722j),(8.402305402709207-0.2602345694317045j),(9.7804206679983-4.048232516788932j),(0.10750658237874818+0.0009900407717130257j),(0.12377802937838193+0.09494265743767949j),(1.3057068995952523+0.5155869841308682j),(-0.06705257721035561-0.05572950910435168j),(4.778671754732514-3.035347328644506j),(-2.340009433496653+0.8534125869070219j),(-0.07891409526712634-0.27292031290329444j),(-2.5202811253163695+1.053380548942342j),(0.914937361528001+0.9671480956868385j),(0.30059370833660304+1.2574795388809588j),(-0.26744363697536994+0.4391039811263346j),(-0.04062442782429111+1.346356132938063j),(0.6805422961519886-0.9550140130959333j),(1.4176289472256833+0.05591569212074211j),(1.8048977418130365-2.964772166059058j),(3.2032935545479577+1.9308202470136215j)
1.16,(1.8774136521968918-2.873646403439446j),(3.0291052582705915+1.9425689541819293j),(-2.536784884852312-0.5594805498980396j),(-0.9878316120268232-0.16710733589774743j),(8.68173692018857+0.5235732658119316j),(10.561259202994803-3.2789419025252644j),(0.10849869203427057+0.0015442459290994873j),(0.12191918387978591+0.08304302170226656j),(1.3095713197527612+0.5077007823986877j),(-0.060166521548466995-0.08570457509120723j),(4.600080400644252-3.1812642401865245j),(-2.3272799594808506+0.8464395618599253j),(-0.07133240066671552-0.2353567220728773j),(-2.4381228992576083+1.14036883562081j),(0.9156949663066819+0.9486583530104362j),(0.3065725243105979+1.2137572050812986j),(-0.24785739742742743+0.4310341149916438j),(-0.027457381836515915+1.3143559519787895j),(0.696445435470435-0.9611397743277503j),(1.4036103090558218+0.05366879185681166j),(1.8774136521968918-2.873646403439446j),(3.0291052582705915+1.9425689541819293j)
1.17,(1.9370358379587058-2.7868492092916664j),(2.8671558121723892+1.942071779506966j),(-2.5565328783664225-0.48452859157657j),(-0.9981544935885737-0.13560842285164842j),(8.798581503821884+1.3719555774358867j),(11.186642513281804-2.342254406935594j),(0.10932567429677384+0.002168101313653867j),(0.12031736761304251+0.07142191770663243j),(1.3134433734321072+0.4999898689485865j),(-0.053358239755709864-0.11514451827514764j),(4.420798265284081-3.315776741714795j),(-2.317096171558052+0.8414817518806803j),(-0.06161462283557585-0.20022760965864372j),(-2.3531963471856834+1.2173081525546232j),(0.9163478071997273+0.9313031600481982j),(0.31187911333913587+1.1723510000765311j),(-0.22966609699707888+0.4232295183429541j),(-0.01560162782696749+1.2837399234331952j),(0.7117525444226821-0.9669909150894346j),(1.38989849092568+0.05095107363706327j),(1.9370358379587058-2.7868492092916664j),(2.8671558121723892+1.942071779506966j)
1.18,(1.9855222062789162-2.705133581459021j),(2.717283630079616+1.9318721631060565j),(-2.5728492267970346-0.409357718450964j),(-1.00659350310459-0.10422267570575142j),(8.735868881095325+2.2358480305673774j),(11.608482137890878-1.286536358082977j),(0.10999476756129249+0.0028554067282006252j),(0.11896689189856449+0.060091804991803985j),(1.3173220274750514+0.49243951273176473j),(-0.046622438577770924-0.1440398251334797j),(4.241351067505099-3.439295031946362j),(-2.3090520140045014+0.8385885483936253j),(-0.050185659189941466-0.16760396103675376j),(-2.2668530609838555+1.2846074830405358j),(0.9169151512841645+0.9150016341886525j),(0.31658754607317396+1.1331273494002372j),(-0.21277818738950896+0.41570301863854164j),(-0.0049459721932936795+1.2544674570713679j),(0.7264525795480394-0.9726003031730425j),(1.3765189714010582+0.047800661037498596j),(1.9855222062789162-2.705133581459021j),(2.717283630079616+1.9318721631060565j)
1.19,(2.024460715314641-2.628930061496306j),(2.579050966709453+1.9141225329355833j),(-2.585790095297928-0.3342642461517773j),(-1.0132022329629533-0.0731093070767777j),(8.49600222831473+3.063930618009452j),(11.800145001831163-0.17389759198899973j),(0.1105135135902124+0.0036002589549626886j),(0.11786143735592972+0.049064165807956174j),(1.3212057923444906+0.4850352643538193j),(-0.03995554475410433-0.17238109594395495j),(4.062236409031344-3.5522195601247453j),(-2.302769892214269+0.8377665206917627j),(-0.03743885003826203-0.1374888106954453j),(-2.180253449896031+1.342830362464714j),(0.917413635004257+0.8996791765672973j),(0.32076267151234406+1.0959628402725696j),(-0.19710843476865528+0.4084631393440979j),(0.004610809597086998+1.2264969593925428j),(0.740537886106864-0.9779991449396612j),(1.3634931045076886+0.04425617541870211j),(2.024460715314641-2.628930061496306j),(2.579050966709453+1.9141225329355833j)
1.2,(2.055256043243388-2.5584278049873928j),(2.4518469513259054+1.8906167022960554j),(-2.5954425386522755-0.2595270908796183j),(-1.018051044726492-0.04241640444526258j),(8.099352380631778+3.8105933745737666j),(11.759484560794318+0.929955754404669j),(0.11088968472945912+0.004397065846935424j),(0.11699411737904292+0.03834944303880652j),(1.3250927705027216+0.4777630038118783j),(-0.033355531571763436-0.2001591717933678j),(3.883925426556691-3.654947565843609j),(-2.2979018139153893+0.8389859892456062j),(-0.023728315816473604-0.10983105751981821j),(-2.094364052265735+1.3926429231934359j),(0.9178576371336404+0.8852668741078513j),(0.3244612912916316+1.0607431794347475j),(-0.18257746789674875+0.4015147741663155j),(0.013160876474412029+1.1997862192154547j),(0.7540039261825167-0.9832168038993107j),(1.3508382785011497+0.04035627714886633j),(2.055256043243388-2.5584278049873928j),(2.4518469513259054+1.8906167022960554j)
1.21,(2.0791315429640784-2.493640601095103j),(2.3349638442223406+1.8628311400618833j),(-2.601920683648154-0.1854040484210557j),(-1.0212246954468476-0.01227899669453095j),(7.5796846516437375+4.44185407233637j),(11.506970583615628+1.9653540114548766j),(0.11113121176927299+0.005240555430767589j),(0.1163575435285675+0.027956981466966555j),(1.3289807053940073+0.470608988451129j),(-0.026821742898030024-0.2273652811644259j),(3.706864615992614-3.74787732039022j),(-2.2941306789867215+0.8421863773846487j),(-0.009365143964963435-0.08453865737971063j),(-2.009965343634213+1.4347693183649617j),(0.9182595900180999+0.8717009675724068j),(0.3277331784348423+1.0273622456981246j),(-0.16911134442146042+0.3948597644605414j),(0.02078814558204173+1.1742927037667543j),(0.7668490118194481-0.9882806720928787j),(1.3385681077651057+0.03613925120580231j),(2.0791315429640784-2.493640601095103j),(2.3349638442223406+1.8628311400618833j)
