t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B01_A_0000
0.31,(-4.828993599494969e-07-2.6845286451030597e-06j),(-2.368534854652084e-12-7.108416921786281e-12j),(-1.330629891292721e-11-8.021901417209219e-12j),(-7.777937391691835e-08-8.43239595853857e-07j),(7.881420963310328e-16+1.1309025573716153e-16j),(2.7125175170120727e-14+3.04131025828397e-15j),(1.703077761577729e-11-2.437145978926344e-10j),(-3.272273414477702e-15-2.588805340435163e-15j),(-5.304826934339897e-16+1.7852536082380994e-16j),(-8.151287107614619e-08+2.5569779643549596e-08j),(-4.5649855761050895e-07-2.656876160209344e-06j)
0.32,(-8.192241549418435e-07-2.1470355526107084e-06j),(-2.8335744893735372e-12-6.535527615351568e-12j),(-1.3308805295138043e-11-5.657893648751239e-12j),(-2.8251615987444273e-07-9.554727520772145e-07j),(6.716523415136846e-16+6.062320895894644e-16j),(1.88043524298727e-14+5.177888088874365e-15j),(1.1868021007903157e-11-2.1822854340294576e-10j),(-1.706212547757291e-15-1.710432945340533e-15j),(-4.027936090057557e-16+2.5152502054529777e-17j),(-7.367390754498413e-08+4.7104566156560353e-08j),(-7.917849137043003e-07-2.128110905512816e-06j)
0.33,(-1.0055677363666901e-06-1.6626650031532617e-06j),(-3.1974703425475537e-12-5.9750769584936835e-12j),(-1.2982107710953804e-11-3.5508382147883576e-12j),(-5.374125341651683e-07-1.0307993848044086e-06j),(2.8044894988173786e-16+1.0008127651124005e-15j),(1.2780386124666246e-14+5.829096045646416e-15j),(7.638834209582393e-12-1.944069177654882e-10j),(-8.565380721549941e-16-1.1115307224159765e-15j),(-2.8691519698189954e-16-5.978409754122058e-17j),(-6.073109533070467e-08+6.559069040866283e-08j),(-9.788274182814288e-07-1.6511577425410215e-06j)
0.34,(-1.082668071184747e-06-1.2436810049600875e-06j),(-3.474390991318633e-12-5.436641823570232e-12j),(-1.2409031664617688e-11-1.7156544706729823e-12j),(-8.369386826400471e-07-1.0536011689048277e-06j),(-3.1242229764983125e-16+1.1633479699310826e-15j),(8.47854477258098e-15+5.666154810569509e-15j),(4.3403476437642214e-12-1.7223174346323315e-10j),(-4.0549470435506386e-16-7.103876859485255e-16j),(-1.903752279481865e-16-9.871944723028639e-17j),(-4.387673214055987e-08+8.001448848996151e-08j),(-1.0577914529975344e-06-1.2382134242259834e-06j)
0.35000000000000003,(-1.0837924992729317e-06-8.929045926613806e-07j),(-3.677288499643332e-12-4.926563295076677e-12j),(-1.166223815491963e-11-1.5165575786793353e-13j),(-1.1712369384361788e-06-1.008862952926538e-06j),(-9.797531063833368e-16+1.0082613911951622e-15j),(5.449083942374339e-15+5.098819280531387e-15j),(1.9282422184174566e-12-1.5169920961257735e-10j),(-1.7332476376492284e-16-4.461466989677737e-16j),(-1.1506589897609928e-16-1.0852033562570735e-16j),(-2.44121121141583e-08+8.977761221882267e-08j),(-1.0614787428730166e-06-8.921550927039904e-07j)
0.36,(-1.0350023006953267e-06-6.07287449300312e-07j),(-3.818190091290379e-12-4.4485864593882436e-12j),(-1.0802269719368672e-11+1.153364336693404e-12j),(-1.5262099127763758e-06-8.83485663450419e-07j),(-1.5676869227267727e-15+5.140840630455157e-16j),(3.3480632026579986e-15+4.369463133002286e-15j),(3.9665881385425033e-13-1.328164269632023e-10j),(-5.921117354235542e-17-2.748972570692554e-16j),(-5.970555655203803e-17-1.013353914665344e-16j),(-3.629056206152219e-09+9.466338626786298e-08j),(-1.0155923511961063e-06-6.100634443759364e-07j)
0.37,(-9.55964774397644e-07-3.8051290280873346e-07j),(-3.90772699577153e-12-4.004532629846463e-12j),(-9.87821528188128e-12+2.2187796033530902e-12j),(-1.8839326976140182e-06-6.673471932719928e-07j),(-1.924677607924699e-15-2.7384402512535665e-16j),(1.916743958604605e-15+3.615643588646419e-15j),(-2.866008395571692e-13-1.1556890046336461e-10j),(-7.2108858052923e-18-1.657344901403803e-16j),(-2.1477135643707104e-17-8.553990791857211e-17j),(1.728236255642299e-08+9.477556958597002e-08j),(-9.395388257826519e-07-3.8578742574974443e-07j)
0.38,(-8.609920514375974e-07-2.0479215716590047e-07j),(-3.955118021999227e-12-3.594804006722445e-12j),(-8.92861906961731e-12+3.0679771847106682e-12j),(-2.223354325853157e-06-3.5428056901992197e-07j),(-1.926650693469047e-15-1.2517228691223031e-15j),(9.631093879801434e-16+2.9101803298594173e-15j),(-1.7696990905419312e-13-9.992484375449855e-11j),(1.3273783460068824e-17-9.736400350380791e-17j),(2.9621530829871613e-18-6.662525422927645e-17j),(3.7292751065608365e-08+9.046601038245469e-08j),(-8.474517043733579e-07-2.1171422803441041e-07j)
0.39,(-7.601057679740011e-07-7.203236805922962e-08j),(-3.968242283877379e-12-3.2187886360796803e-12j),(-7.982720851375194e-12+3.72598989467271e-12j),(-2.521227170085989e-06+5.7142223726764974e-08j),(-1.4953122623436748e-15-2.2730760223126686e-15j),(3.462886436224757e-16+2.286891383706054e-15j),(6.529693220575044e-13-8.583944894451824e-11j),(1.86491865607135e-17-5.537722869572431e-17j),(1.689604381877253e-17-4.79652367277874e-17j),(5.556404687385355e-08+8.226116736926402e-08j),(-7.492395444673381e-07-7.99204054899773e-08j)
0.4,(-6.600151253030855e-07+2.5459630875506677e-08j),(-3.953749165305298e-12-2.8751806095308605e-12j),(-7.061852649427832e-12+4.2177955039841484e-12j),(-2.7531972947157584e-06+5.630726044062206e-07j),(-6.085368883639764e-16-3.1681649415681345e-15j),(-3.603320753851202e-17+1.7568982248913696e-15j),(2.1184362721585694e-12-7.325813774791005e-11j),(1.746697145130695e-17-3.0181075233049253e-17j),(2.3245830384546683e-17-3.1438513383331345e-17j),(7.145736669074423e-08+7.079479834030646e-08j),(-6.515482212807149e-07+1.7134163393543722e-08j)
0.41000000000000003,(-5.649557316702624e-07+9.460021968334727e-08j),(-3.917186769291092e-12-2.562227916785784e-12j),(-6.180841800864431e-12+4.5671704164840036e-12j),(-2.8949825715640467e-06+1.1541156843621405e-06j),(6.967008975379609e-16-3.763785271081841e-15j),(-2.574934476250426e-16+1.3187797617647256e-15j),(4.126437867933279e-12-6.211893869919222e-11j),(1.3998805518289555e-17-1.5484209723187825e-17j),(2.4445006319264876e-17-1.791134661837577e-17j),(8.452413983457329e-08+5.675120395142605e-08j),(-5.585860461809174e-07+8.623376403697715e-08j)
0.42,(-4.773744501187913e-07+1.4137012288905565e-07j),(-3.863135937028601e-12-2.277920246253617e-12j),(-5.349324938276981e-12+4.795982937581665e-12j),(-2.923567594070398e-06+1.8153274504559579e-06j),(2.327436658598065e-15-3.901124258695623e-15j),(-3.706336444249363e-16+9.64760770666846e-16j),(6.578970026709957e-12-5.235414003687528e-11j),(1.0234608700664393e-17-7.221538508500036e-18j),(2.2419814990785228e-17-7.597641411183731e-18j),(9.448640952876933e-08+4.082094097188485e-08j),(-4.7279736938464903e-07+1.3324910607237522e-07j)
0.43,(-3.984672781015905e-07+1.70792897199358e-07j),(-3.795341381591899e-12-2.020128089497048e-12j),(-4.572919415234785e-12+4.923820196830169e-12j),(-2.81835338581977e-06+2.5264585475187865e-06j),(4.14204574808894e-15-3.4503645929674654e-15j),(-4.126212950079038e-16+6.843769253287148e-16j),(9.3756103454515e-12-4.389136679011802e-11j),(6.985958705998997e-18-2.806891793032513e-18j),(1.8627354622020316e-17-3.179344695668138e-19j),(1.0121140047563202e-07+2.3669073323248285e-08j),(-3.953916862403175e-07+1.631147987960875e-07j)
