t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B01_z_0000_00
0.4,(-0.4965917317486252-0.0930050707239259j),(0.8406526670782288+0.24582659117922467j),(4.078032597260319-1.9880551141312015j),(-0.5489977067290656+0.022154991399701434j),(0.07428820407176348-0.5901543011161602j),(-0.4239204046048311+0.40177635742505735j),(-0.4787702584250486+0.3815109229874088j),(0.6674810813967648-0.5478654117210486j),(1.12818358779163+0.37828988378672146j),(-0.26656989999173786-0.5131052570532194j),(0.7481676457889229-3.3939812340302304j),(-0.4965917317486252-0.0930050707239259j)
0.41000000000000003,(-0.4885257370628331-0.11289129679047236j),(0.8415219791012071+0.26917981487984755j),(3.6697322744367247-2.399563349073405j),(-0.5498461576991049+0.0005717026935877095j),(0.10403628493984847-0.5656460283104586j),(-0.4503315344303611+0.3928340451752317j),(-0.5031508528561+0.37028872600179435j),(0.6696987660996034-0.5194866015484729j),(1.1429426224337211+0.3693350724985591j),(-0.23415894658461173-0.50926640600848j),(0.4703150867584266-3.260262934073466j),(-0.4885257370628331-0.11289129679047236j)
0.42,(-0.4788952202641542-0.13225457511812905j),(0.8427035676506943+0.2920364933128372j),(3.2282924587985358-2.707336726358249j),(-0.549083006711357-0.021013838953335105j),(0.13326002087593952-0.5397908243380903j),(-0.4758089401462653+0.38276797539040736j),(-0.5265118392583853+0.3581192643088439j),(0.6725724522180946-0.4904590618796091j),(1.157767952656841+0.3587617120837214j),(-0.20147912930985157-0.503906286378262j),(0.23291114130377474-3.1187841200780424j),(-0.4788952202641542-0.13225457511812905j)
0.43,(-0.46773108501905636-0.15099805070446812j),(0.8442549819369334+0.31435283931126073j),(2.781200597319931-2.91844544527799j),(-0.546710013141007-0.04251648338965042j),(0.16178790080087643-0.512526340056681j),(-0.5003079846148931+0.37166320223016j),(-0.5488232416515719+0.34508053210978895j),(0.6759691503748181-0.4608004371052681j),(1.1725563268228834+0.34656136210483096j),(-0.16864212539965853-0.49693187753125573j),(0.030641411759833512-2.9746458514163865j),(-0.46773108501905636-0.15099805070446812j)
0.44,(-0.4550702546339889-0.16902435061010176j),(0.8462364207148806+0.33608482500984743j),(2.3487360080446797-3.045823937881361j),(-0.5427326801753083-0.06385085846570399j),(0.1894412832243452-0.4838076498529313j),(-0.5237913759781802+0.3596016522848811j),(-0.5700608444724432+0.33124673911881863j),(0.6797598833196884-0.43052947769266375j),(1.1871975592143733+0.33273624380722755j),(-0.1357727958778825-0.48825576896713835j),(-0.14133600501421706-2.8313553293673204j),(-0.4550702546339889-0.16902435061010176j)
0.45,(-0.4409560466014487-0.1862356710064089j),(0.8487101580569514+0.3571878632905828j),(1.9440307777320034-3.104659842951982j),(-0.5371603421040623-0.08493114948936929j),(0.21603607562772756-0.45360887219409607j),(-0.5462284049385371+0.3466617546261692j),(-0.5902054942722107+0.3166881533793058j),(0.6838203240860157-0.399666978597618j),(1.201575625729055+0.3173003891751837j),(-0.10300921179962905-0.4777980343511754j),(-0.287303177562432-2.6912658023018383j),(-0.4409560466014487-0.1862356710064089j)
0.46,(-0.42543858442118204-0.20253393792115695j),(0.8517399330658714+0.37761644306740133j),(1.5742769087954995-3.1099020099545647j),(-0.5300063103535695-0.1056708940729632j),(0.24138478166729052-0.42192459592325726j),(-0.567594207945488+0.3329181785419601j),(-0.6092424417593933+0.3014710248989928j),(0.6880314616225065-0.3682365644496162j),(1.2155699864112544+0.30028068953380616j),(-0.0705024178721451-0.465488236662195j),(-0.4109796004169577-2.555906037252958j),(-0.42543858442118204-0.20253393792115695j)
0.47000000000000003,(-0.4085752385426444-0.21782105232630297j),(0.8553903022845515+0.3973237240089763j),(1.2422919294174335-3.0748793136017785j),(-0.5212880774563696-0.1259828004385075j),(0.2652988950452558-0.3887710365061911j),(-0.5878690644440736+0.31844166594559853j),(-0.6271607277078862+0.28565757860200086j),(0.6922802926435153-0.3362653175671941j),(1.2290571262594447+0.2817177991182332j),(-0.0384158925777693-0.4512675299348558j),(-0.515561330136205-2.4262216630303057j),(-0.4085752385426444-0.21782105232630297j)
0.48,(-0.3904310863393679-0.2319992300602503j),(0.8597259526423412+0.4162610979703485j),(0.9479750802064218-3.010748754888813j),(-0.5110275776747815-0.14577859760749567j),(0.28759160197087225-0.35418684672475875j),(-0.6070377339110575+0.3032989460441324j),(-0.6439526146639449+0.269306066042562j),(0.6964605334924031-0.30378424409388743j),(1.241912296540845+0.2616668483050498j),(-0.006924667423032495-0.43509081246208653j),(-0.6037775043412851-2.3027495106323648j),(-0.3904310863393679-0.2319992300602503j)
0.49,(-0.3710793788706994-0.2449714466364895j),(0.8648109718919036+0.43437772612717424j),(0.6894614000382788-2.9264543352834305j),(-0.49925150241102473-0.1649689263025805j),(0.30808073655505824-0.31823351075144823j),(-0.6250888364255816+0.2875527206357528j),(-0.659613065098795+0.2524708663717517j),(0.7004733434622183-0.2708285766739513j),(1.2540114289998352+0.24019792254726435j),(0.02378592589252519-0.41692887501735193j),(-0.6779509308207652-2.1857424471751683j),(-0.3710793788706994-0.2449714466364895j)
