t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B01_A_0000
1.57,(0.18651211541182441-0.16462919755615385j),(-0.006784935179935253-0.002850854648517632j),(-0.006742589613024895+0.18235222277882712j),(-0.08076274909169465+0.1983563312383026j),(-5.457777387194797e-05+8.084040047253964e-05j),(2.0943037646274734-1.4546027309127392j),(-1.5015511967185111+1.4334229742355444j),(-0.01383050246286251-0.005314820157853691j),(-0.0017757316588341817+0.0013456212711551025j),(-0.0036119603105234177+0.0018146254576328243j),(-0.17578510523433422-0.3246748606732944j),(0.7469669881558746+0.5271245677289667j)
1.58,(-0.03229999251009832-0.2828595921024499j),(-0.006606732918299606+0.0012088611135040433j),(0.09531851037312461+0.12871880050960366j),(0.09023588590758067+0.23594154627178957j),(-3.17744678602113e-05+0.00012050746960577197j),(0.3791525036499862-2.4400195604793247j),(0.012543666771844597+2.022758668491155j),(-0.016526978770519254+0.0045267754166706696j),(-0.0012362883100221465+0.0017923927991307714j),(-0.0023568311516146603+0.00294783112942487j),(-0.30813012288358366-0.11786473288709j),(0.8850080084907608-0.17124345052081616j)
1.59,(-0.28618468207279574-0.16441206267133043j),(-0.004473878851854602+0.004279974073290465j),(0.13628261609581804+0.03722803075442283j),(0.26805681664062797+0.12689296183923668j),(1.601919778235964e-05+0.00015766558646876784j),(-1.4592432520074543-1.9010345251239558j),(1.4458079467971878+1.3467840007305498j),(-0.012315208024372611+0.015546429566007065j),(-0.000611342073472563+0.002061772488796108j),(-0.0009224758591221847+0.0034133103898935525j),(-0.27988236485353174+0.09770357771873647j),(0.4798607703043909-0.7443366657155099j)
1.6,(-0.3557040481692357+0.14562380585231713j),(-0.0013009071114073122+0.005631025643155735j),(0.11562520727963597-0.047815671555185034j),(0.32739455920753485-0.11144436996916758j),(9.306681350271289e-05+0.0001776860780507448j),(-2.317606424823206-0.25058333266889465j),(1.9310516312724775-0.1251616257821131j),(-0.000888901207584755+0.022920597350803613j),(4.7336166600493555e-05+0.002146595043552745j),(0.0004262900296303383+0.003315474106513274j),(-0.13813415461564085+0.22937519747572618j),(-0.2027838872276071-0.8430370464982635j)
1.61,(-0.12995566327667968+0.42757474992065303j),(0.0018518827852353047+0.005142049018840026j),(0.05603553223721907-0.09600088355181813j),(0.18084390346343918-0.35688233173397577j),(0.00019554238476356898+0.00016003973154323433j),(-1.7372774883971656+1.4651890579848155j),(1.211260970362587-1.4641403810087104j),(0.014692168162987395+0.02201063645676406j),(0.0006912540692558309+0.0020525803411577583j),(0.001552424071410221+0.002805808708681147j),(0.034403035880768956+0.2404711368092777j),(-0.7325684655641238-0.42350466765832223j)
1.62,(0.2801099870128033+0.43434632549650964j),(0.004111759609356068+0.003229446774092439j),(-0.011147680593209936-0.09831044233239145j),(-0.13815797185778234-0.43753541576509974j),(0.0003058877819997527+8.2482850317967e-05j),(-0.1366325132368461+2.216485665269774j),(-0.23178086481849858-1.8566217296944478j),(0.02845113864628827+0.010709949168423123j),(0.0012775122388184405+0.0017960783848287394j),(0.0024039550455159844+0.002006459995755031j),(0.1612695080280373+0.15135535781922274j),(-0.7892184086455761+0.23423015704632794j)
1.6300000000000001,(0.5871056695676408+0.08635906716897551j),(0.005006158469524809+0.0006251311329398149j),(-0.05970561309087245-0.06480885859814142j),(-0.46001087144201824-0.2455073349448143j),(0.00038913622579424907-6.996626150228745e-05j),(1.4786237516911989+1.5948787239418398j),(-1.491993699025321-1.0891640668875004j),(0.03357297390596757-0.00878685962869584j),(0.0017702502866920266+0.0014017159124339752j),(0.0029481118346430185+0.0009952191521891618j),(0.20108473405666166+0.01781694192526731j),(-0.3598035817716147+0.7130177788102707j)
1.6400000000000001,(0.5200379436848548-0.43176666027226285j),(0.004513239556828955-0.0018911463683673724j),(-0.07677176364430625-0.015988247113160232j),(-0.5636210551461486+0.164287378443476j),(0.00039506895738086436-0.00029207093943944416j),(2.1345320426896035+0.028112173733844226j),(-1.7969210702433585+0.33875980039551534j),(0.025477960564930742-0.02990635905618465j),(0.0021414394618234525+0.0008999891450073278j),(0.0031304272941016366-0.00015891589970551344j),(0.15565472084022847-0.09906610897793267j),(0.2650089241772547+0.7259292419315847j)
1.6500000000000001,(0.037893826531814945-0.7626502360225975j),(0.0029712340836491155-0.0037133857441812293j),(-0.0640137570652322+0.027400968546129112j),(-0.32213454641194905+0.5701862675544374j),(0.0002697069830028898-0.0005452712013555584j),(1.4659557493613242-1.503548630064093j),(-0.9737468346541573+1.5313438635686427j),(0.004539967363946096-0.04378320598347659j),(0.002371024769635661+0.0003251402763879824j),(0.0028833434789261344-0.0013464683931328754j),(0.05934364532654134-0.15786891752682228j),(0.6868587497832298+0.29111661425880586j)
1.6600000000000001,(-0.595430427585075-0.6145396279159625j),(0.0009076292706766355-0.004529164549877795j),(-0.03316945265274544+0.051910117915078886j),(0.18467557675604215+0.6999947028742792j),(-2.2952684527834515e-05-0.0007509373346169256j),(-0.08277426327456916-2.068467541437754j),(0.4521586812132016+1.7478506513005487j),(-0.023035435938896842-0.042925849758441166j),(0.0024466266976898715-0.000286704523841374j),(0.002175444077683333-0.0023960644755102152j),(-0.041609301863710396-0.1482583668577903j),(0.6557334574008742-0.294072621388938j)
1.67,(-0.9512573987239855+0.009955664861976687j),(-0.001139760204542016-0.004328272914118247j),(0.0008936330588346147+0.054215112827284605j),(0.6801127602771909+0.40848272634773636j),(-0.00047233677282105987-0.0007972588358269787j),(-1.5425103606434722-1.3426312731478691j),(1.5830675846792817+0.8573645829419967j),(-0.046973894394321675-0.024922498392333455j),(0.0023630911664702325-0.0008988463160195338j),(0.001066468259245036-0.003101718644571978j),(-0.1094345554114374-0.08772666404426756j),(0.22010574077385936-0.6550753568787506j)
1.68,(-0.7192431438896765+0.7641425611937316j),(-0.0027562923775171513-0.00332867590759431j),(0.026313216611159845+0.039448719411805014j),(0.8393301612207527-0.197839937082423j),(-0.000993576565603167-0.0005653754850468239j),(-2.0140392937363476+0.20312499607380197j),(1.703933236918984-0.5780126191119968j),(-0.05690830876829621+0.005643760264072043j),(0.002121986968269792-0.0014748519669271786j),(-0.00026950794615973584-0.003288576100943989j),(-0.12700476726031087-0.008456547576625392j),(-0.320166608737859-0.5811767714767534j)
1.69,(0.051226786180933126+1.1474571620630805j),(-0.0037137940597787465-0.0018651372063023855j),(0.03749495655266662+0.016951895489191807j),(0.4988119018858092-0.7851757927316567j),(-0.0014120682973536556+2.2848511646820833e-05j),(-1.216641061494645+1.5970465469554485j),(0.7313508434871323-1.6470541407600532j),(-0.0469667206966875+0.038248533439202516j),(0.0017315977147850348-0.0019787932596780832j),(-0.0015723372621641806-0.002884874839780499j),(-0.09917616984525615+0.058128791839415876j),(-0.6185293262041875-0.14940942611105817j)
1.7,(0.9287201275872985+0.8326133225342072j),(-0.003968961641934809-0.00028316455974767706j),(0.035138511546346854-0.004204893415072669j),(-0.20670341734329312-0.9748306568825308j),(-0.0014761385691839442+0.0009373868539533489j),(0.33976732139350585+1.965917227261014j),(-0.7223506293448044-1.6581402970583032j),(-0.018861432674990887+0.06031619326433763j),(0.0012072905394665066-0.0023755194524035165j),(-0.002567300890218082-0.0019629116411037204j),(-0.04553357161804975+0.09260988516651483j),(-0.5046321483472441+0.34209926931687507j)
1.71,(1.341084609796379-0.08191699883586426j),(-0.0036187660080740374+0.0011362930218939697j),(0.02401845291475721-0.018193328039540716j),(-0.8844162585067774-0.5856623915883294j),(-0.0009201406561420873+0.001965758063668919j),(1.6676526826206035+1.0789267073363078j),(-1.7218194449131214-0.5858390220431754j),(0.018105833531567108+0.06242184463264397j),(0.0005725200911499525-0.00263079932306515j),(-0.0030499810743612943-0.000727829851642797j),(0.01042115629963996+0.09139496550184874j),(-0.0813674044088273+0.5780524459056369j)
1.72,(0.946570652308806-1.078892096869859j),(-0.0028392066167276858+0.002212226401899793j),(0.010069891433523015-0.023288777800190227j),(-1.1014273549572071+0.21690608303068468j),(0.00039991289258881665+0.0026695320192322972j),(1.9171084094465907-0.4993568356160444j),(-1.6012159081625679+0.8908474006500483j),(0.05039679558328787+0.04253246630703293j),(-0.0001396346712364587-0.002712618919533052j),(-0.002948341669491882+0.0005421478966284525j),(0.050547536150485274+0.06371210542714814j),(0.35897204541566397+0.4281876506247919j)
1.73,(-0.10400982287828345-1.5165274106837816j),(-0.0018286306811299488+0.002865743696001817j),(-0.0019272270449607607-0.021024815817794265j),(-0.6616395389587191+0.9789584993991381j),(0.0023045029869577715+0.002444862668773852j),(0.9191574518363297-1.7531121545334591j),(-0.40957781981920294+1.803442789081702j),(0.06565826778970596+0.007298738956704723j),(-0.0008848674960172348-0.0025934481821696855j),(-0.0023382196613938727+0.0015790763539341559j),(0.06677488234282951+0.024856264854124267j),(0.534501060480717+0.01783288945984918j)
1.74,(-1.2067548207453802-1.0441418763122594j),(-0.0007668995490824134+0.003100975977394592j),(-0.009448408208361273-0.01454908805646854j),(0.23426707728202856+1.2148224845472413j),(0.0041066245269639114+0.0007733557873034942j),(-0.6879362862861657-1.8580344073069308j),(1.087861485821043+1.520728781478125j),(0.05790672185907873-0.030345553945942856j),(-0.0016064198801909483-0.0022545142634597j),(-0.0014094718320772186+0.002199368755972494j),(0.06086483234986527-0.01070215468545721j),(0.35357263287226653-0.37029266618611034j)
1.75,(-1.6552539057035305+0.1288078384116353j),(0.00020697953113150004+0.002977657163385921j),(-0.012170238308245996-0.0070540440683838895j),(1.0690684042607088+0.7196757481154843j),(0.004635065056596287-0.002324165149962636j),(-1.849274184691342-0.7255920180409204j),(1.8839678815319303+0.1902360107785569j),(0.030153963171325286-0.056368970719876635j),(-0.00223547673303038-0.0016916801214759084j),(-0.0004003986459052461+0.00234338423450067j),(0.04084920814196922-0.0338001912800502j),(-0.039920053529598994-0.48876396628802743j)
1.76,(-1.1011841588693037+1.3107291102082752j),(0.0010016160650555708+0.00258452336483762j),(-0.011222702358786026-0.0007961045794668818j),(1.309023408699181-0.26313618878351175j),(0.0026884256970953853-0.005817277532615248j),(-1.7755719310184097+0.909841973356395j),(1.4002572741185961-1.3146771003005921j),(-0.006763167895959245-0.06140325387542972j),(-0.0026942898387824644-0.0009227123121372141j),(0.0004731468589375269+0.002071933986463559j),(0.016482278614577156-0.04183205168456563j),(-0.37599727159404134-0.28210933343457906j)
1.77,(0.17590759085069196+1.740740208824181j),(0.001570074316980824+0.0020182887187319854j),(-0.008277033048922062+0.00319645258514511j),(0.7518051476708478-1.151767293979646j),(-0.002041181101909754-0.0076100668221839585j),(-0.4855024345534039+1.947439314066374j),(-0.0844530045494658-1.949461648733707j),(-0.03869809506050674-0.04453685911700325j),(-0.0029032102043639557+5.463980397655134e-06j),(0.0010696156372251616+0.0015277961668480329j),(-0.004367749939783106-0.03740771331047155j),(-0.44171757808465345+0.09119342484535438j)
1.78,(1.3961768645721426+1.0926923320120576j),(0.0019013677616403568+0.001369749180414842j),(-0.00484179527788847+0.004912636151956728j),(-0.30639011161271856-1.3742313358391707j),(-0.007986746388333939-0.0053758641158126366j),(1.1658729071473801+1.6525155540640706j),(-1.566896609736274-1.219324486403554j),(-0.05407199459406988-0.013467196764423817j),(-0.0027925081674349374+0.0010115665864468357j),(0.0013415835989257852+0.0008818992152451776j),(-0.017469215772787178-0.02578114217366117j),(-0.2147003126521177+0.3763823298910221j)
1.79,(1.7621287390500147-0.2662930545729387j),(0.002010817504949974+0.00071582082636293j),(-0.0019082662906937727+0.00492825779181681j),(-1.2204351208888957-0.7479192920435638j),(-0.011562953511604593+0.0016835038764175657j),(2.03272402997994+0.1866741513286826j),(-1.9783467845529938+0.42413318328801786j),(-0.04849709427732942+0.019020892392999478j),(-0.0023184381569851947+0.001979659771024494j),(0.0013248913740016223+0.00028386687563902567j),(-0.022202692227170563-0.012354709131345313j),(0.13580454138522294+0.3941626160287098j)
1.8,(1.0002886153301607-1.4700767303979523j),(0.0019308283058024791+0.00011617316324006102j),(9.40030986542864e-05+0.003989269714879909j),(-1.3970265425973203+0.36623670146073223j),(-0.008737788458766405+0.01104695165777372j),(1.4680270223753698-1.4507497075336597j),(-0.9548788550934546+1.8311920429066213j),(-0.02613741925946289+0.0405902807700144j),(-0.001481727033112143+0.002766823183200108j),(0.0011076323901730476-0.00016885380705080992j),(-0.020419381425063207-0.0010554936076409794j),(0.37199157530215976+0.1518436249052402j)
1.81,(-0.4124391649743017-1.713361668848745j),(0.001703387047136569-0.00038739549598105626j),(0.0011573249889412504+0.0027344103240426747j),(-0.6966651394058226+1.2664193513908126j),(0.0018010590865877507+0.016768427051368693j),(-0.17978876285112833-2.082891857283984j),(0.8316526700131889+1.9408407567169172j),(0.002655955461789483+0.04435828363976986j),(-0.00034430666191293213+0.0032209948219473843j),(0.0007938333991647798-0.00043930488089204654j),(-0.014982840494864046+0.006222199185717082j),(0.34675778306592464-0.173973687313371j)
1.82,(-1.5324034251069238-0.8167910288836087j),(0.0013741246347077512-0.0007699049785434909j),(0.0015006661456574252+0.001577703545050272j),(0.44395825309735676+1.3637119864959932j),(0.01574058135281642+0.012451884623387269j),(-1.7501296409062237-1.1996506879485926j),(2.082090490556916+0.5851069050768627j),(0.026159603212275662+0.031193014910559175j),(0.0009614186585953338+0.003209179804038215j),(0.00047385374040261546-0.0005408732198142679j),(-0.008578979602496636+0.009350772654529087j),(0.09367458359387454-0.3634929198952859j)
1.83,(-1.5893774000028715+0.6107089159648658j),(0.000987873363428393-0.0010212996162922519j),(0.00140437211310674+0.000710142768129702j),(1.2812640325445503+0.5896542175507963j),(0.023517303531320984-0.0033744082807146596j),(-2.0683665666698774+0.6152823672765813j),(1.800670532188467-1.2975113061313301j),(0.036211077282669216+0.008491670417788155j),(0.0022372310488429914+0.002652706176673642j),(0.00020782430544456217-0.0005173580940732427j),(-0.0030564563739513607+0.009294333555761506j),(-0.2061995445853723-0.299971295841327j)
1.84,(-0.5474195237167979+1.5701626813325193j),(0.0005853877210913415-0.0011440004165930039j),(0.001109251187528614+0.00016187466140602988j),(1.2654826146292368-0.5372361678547084j),(0.015823682300723892-0.02310403396155903j),(-0.8273121004326314+2.0380115784575352j),(0.0958871248854899-2.2802587222734143j),(0.031068400315678233-0.01367013659547817j),(0.003242487009527675+0.0015621490105663318j),(2.2486881677578956e-05-0.000422072795914425j),(0.000720083342951702+0.007399950922998763j),(-0.3515618626756757-0.04003049031149158j)
1.85,(0.8391545723799892+1.3844941580563692j),(0.0002010396458199666-0.001150270499961277j),(0.0007772100200811093-0.00012365366060776737j),(0.4275287629863893-1.2577853339677318j),(-0.007875154592338786-0.03194671528243836j),(1.1088671325193986+1.9545150045805715j),(-1.7944373489382477-1.5203488984052966j),(0.015175903362420879-0.027006757634671946j),(0.003736987181762732+6.139731988032398e-05j),(-8.239799329546208e-05-0.0003020736696745719j),(0.0026781613457886526+0.004881732491984544j),(-0.2540569647469236+0.23313878011233763j)
1.86,(1.5585955881853797+0.21007148261055536j),(-0.0001386589073105315-0.0010593247747794049j),(0.0004930499625904664-0.00023085825565658538j),(-0.6366038499343554-1.102608670945808j),(-0.03432372392349693-0.017623026368738953j),(2.276294065286792+0.3391970896952976j),(-2.3747040003931392+0.5110674208279238j),(-0.003632718406827178-0.028058012320636278j),(0.00353749228680217-0.0016103453191326155j),(-0.00012333665122477727-0.00018996148983577241j),(0.003209714977616389+0.0025660807303206274j),(0.009475662377232174+0.3367911745335248j)
1.87,(1.0963301239359704-1.0608713140777286j),(-0.00041577795953738167-0.0008945650007233286j),(0.0002853958276431521-0.00023703969862427286j),(-1.190282021359137-0.22377097131972462j),(-0.041797174411830174+0.017223037405601355j),(1.707170203047472-1.633878047290571j),(-1.070334892176211+2.2754556399138997j),(-0.017863509761056075-0.01869492333430454j),(0.002575681290637133-0.0031264896519643433j),(-0.00012262261885074947-0.00010251472696516533j),(0.002863061529053521+0.0008557338699572402j),(0.25549781526195975+0.2090542444117918j)
1.8800000000000001,(-0.1643886513127864-1.4697653073891137j),(-0.0006210143113876347-0.0006808621030870903j),(0.00015068465596797508-0.00019812527283367338j),(-0.8857892833435668+0.7249647680705763j),(-0.0159929459700193+0.050504973545421473j),(-0.26222029277027015-2.418704234813961j),(1.2118788007944237+2.311097574141586j),(-0.023238942448604392-0.00432920345862942j),(0.0009406723475621648-0.00413093263551875j),(-0.00010080134502084582-4.380786210449107e-05j),(0.0021331653053001526-0.0001757435026278945j),(0.3196302414127346-0.05538092046303662j)
1.8900000000000001,(-1.2321956218453785-0.7332935396401468j),(-0.0007531967243521388-0.00044214035886791427j),(7.201408603382998e-05-0.00014769554885113955j),(-0.00309332705194193+1.0760527521087169j),(0.03365049226108777+0.052255312961418776j),(-2.1491364800543526-1.3006588233367258j),(2.679455901093474+0.4394377358902297j),(-0.019660642768095312+0.008941382814038824j),(-0.001109921793717076-0.004316164602880923j),(-7.285042853325452e-05-1.0082199051012038e-05j),(0.0013641229531854509-0.0006463470149876583j),(0.16480600001488682-0.27394710516188003j)
1.9000000000000001,(-1.2848030162861497+0.5343318356869202j),(-0.0008184201628982727-0.00019928451319253018j),(3.065974466734266e-05-0.00010212274180530159j),(0.7824405818743343+0.6348411276464954j),(0.07256858942264863+0.00852764370270897j),(-2.4195947059649163+0.957616083027307j),(2.0450188825275037-1.9613208663102186j),(-0.010275645863100324+0.01680848866056522j),(-0.0031795879308820466-0.0035028115468334338j),(-4.746114338128401e-05+5.675264550341241e-06j),(0.0007379222838865277-0.0007434239616714112j),(-0.09830209546415228-0.30034960347183653j)
1.9100000000000001,(-0.3196231056607327+1.3143824587444972j),(-0.0008289328186067278+3.178340909487998e-05j),(1.138109279194487e-05-6.697842614264486e-05j),(0.9185205393545607-0.20516826849372927j),(0.062153008852822114-0.05966069027292738j),(-0.7244820733957783+2.6066547471858903j),(-0.3599798881012224-2.9450697007032174j),(0.0005048855491556837+0.01790841621907804j),(-0.004799556597535832-0.0016974851624996425j),(-2.8205807558262718e-05+1.052548168429699e-05j),(0.0003110193886128577-0.0006432501441553719j),(-0.28905739504573-0.12098820733697863j)
1.92,(0.8548748508084807+1.0036950685334693j),(-0.0008019882400816472+0.00024180042856506033j),(3.7418086712153998e-06-4.228286131905217e-05j),(0.3751020153024262-0.7941942577664173j),(-0.0074943825505337704-0.10170576570514757j),(1.715564910930283+2.244208079811396j),(-2.7047233424412602-1.5536291738462003j),(0.008946521526358445+0.013529933190860476j),(-0.005515956971702248+0.0008883827586114975j),(-1.5386364871288373e-05+9.947780223687414e-06j),(6.505708120086921e-05-0.000473948343306677j),(-0.27902652307994236+0.1388738060598435j)
1.93,(1.285078730239418-0.10725296768090842j),(-0.0007584972546357318+0.00043021033326627134j),(1.4743111184573024e-06-2.5922330383111294e-05j),(-0.3756188102842358-0.7291819281938818j),(-0.09851599595862093-0.07080126782972503j),(2.9642236019004295-0.016843301270038857j),(-3.028095058788383+1.29873343318109j),(0.013122240555386414+0.006401151598538415j),(-0.0049692283217452615+0.0038634616639754067j),(-7.739008961778094e-06+7.439066173675403e-06j),(-4.926785931878052e-05-0.00030987877127090096j),(-0.07714627932145876+0.30125529478944335j)
1.94,(0.6469254213911071-1.089296841162203j),(-0.0007216004333714329+0.0006074107906372144j),(1.2413865632892488e-06-1.5464977824166157e-05j),(-0.756276444124441-0.1318347181477786j),(-0.14094476758232244+0.03490233512291631j),(1.8743113843733328-2.505420090599751j),(-0.8369673735235117+3.398686788932812j),(0.01303018519336304-0.0006897339488578175j),(-0.002942809997781656+0.006708431622082188j),(-3.613242469285098e-06+4.821912308049542e-06j),(-8.357016368506687e-05-0.00018281042123408027j),(0.17769594943465608+0.255546058375546j)
1.95,(-0.5070158693047708-1.1439761795170702j),(-0.0007145648935047027+0.0007979381182314101j),(1.4870513986740589e-06-8.906413737056458e-06j),(-0.5256699371369506+0.4935093088598123j),(-0.07978124359953835+0.1557916282200733j),(-0.9140803187656434-3.1971781950726985j),(2.350953549946369+2.912855801072037j),(0.009975169497703306-0.005853234133797754j),(0.0006301103108480822+0.008822342575252036j),(-1.5896721156959167e-06+2.7998722509568415e-06j),(-7.806301715128492e-05-9.792496245083381e-05j),(0.3107942505013088+0.03273403876777473j)
1.96,(-1.2184251677132028-0.24775237485198592j),(-0.00075792920028346+0.0010441778488680406j),(1.6124579587983018e-06-4.833239715267762e-06j),(0.0757517285417125+0.676115541677615j),(0.07639704331641678+0.1984961127826104j),(-3.3140823721070065-1.3038970301106254j),(4.0325534761353525-0.09567841738046678j),(0.005694335632760219-0.008414556217456313j),(0.005677118333056638+0.009527916874952875j),(-6.805592877739822e-07+1.473977648021934e-06j),(-5.836766319188156e-05-4.772840681186778e-05j),(0.22961350745732526-0.21528930444585667j)
1.97,(-0.9093520811658018+0.8483871972995739j),(-0.0008651092949258413+0.0014108685697798876j),(1.4747282611161477e-06-2.338975088864184e-06j),(0.5567434237335293+0.32654653228416153j),(0.24211073342085027+0.09659336420551957j),(-3.3032483805034034+1.9713949258041663j),(2.611242998470057-3.5210041298066974j),(0.0016413658251891497-0.008694171069190853j),(0.011965103555532893+0.008022885389161852j),(-2.9838981057051e-07+7.021387871915412e-07j),(-3.7864412828396416e-05-2.1279933954809507e-05j),(-0.012845034958119617-0.3177376824593878j)
1.98,(0.16000247370345522+1.242313704646853j),(-0.0010362216212810565+0.0019895924537037734j),(1.1208197516763644e-06-8.741594892856942e-07j),(0.5680595423839011-0.2380404121400808j),(0.293554506427661-0.13276191663243458j),(-0.5258679836306002+4.159799858112008j),(-1.24898331173658-4.642020912733715j),(-0.0013676233839569202-0.007527914697760146j),(0.018981963612941414+0.003313684214139208j),(-1.3950498197535162e-07+2.965423267387276e-07j),(-2.1799774699118928e-05-8.920570125763808e-06j),(-0.25205764725736957-0.20077629786303436j)
1.99,(1.1153354899824803+0.6079734300943436j),(-0.0012496857965347257+0.002900910444463613j),(6.629399505619871e-07-1.087978028606608e-07j),(0.14613535058817673-0.5728718998742808j),(0.14254404640910828-0.37502853095891125j),(3.2239356732237168+3.298589752056215j),(-4.8654676485726185-2.1522639318831303j),(-0.0031560415972268297-0.0057965939716710145j),(0.02568270331293132-0.005768370642423855j),(-6.761699654401495e-08+1.0456243951533761e-07j),(-1.1023831289722269e-05-3.849069017026594e-06j),(-0.32195295788408235+0.06019414812493771j)
2.0,(1.1737273898641405-0.5509796446576777j),(-0.0014517964549943688+0.004292978563738878j),(2.2531601025194655e-07+1.7147213336129782e-07j),(-0.3544167966311349-0.4472590409542382j),(-0.1941372431356292-0.46332086222946056j),(5.09620454604951-0.4821680648712521j),(-5.311610115990801+2.6595379861554225j),(-0.003972257489394988-0.00412734998217407j),(0.030157742718073803-0.02033247221203981j),(-3.014082192425856e-08+2.514915312912305e-08j),(-4.570097957165406e-06-2.0016224914212278e-06j),(-0.16845564693073042+0.2882552131546247j)
