t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B01_A_0000
0.31,(0.6074821987162723+0.31481576104895376j),(-0.0012655923786201663-0.005587482344025188j),(4.115516132057859e-08+3.37474283199198e-08j),(-0.022705945606580957-0.9323757666333197j),(0.004513756385550093-0.002811552885386948j),(0.6476631380858568+0.7122818261421537j),(-1.0962631996704513-0.5081259697595463j),(-0.0004992048794260666-0.0010566972256511775j),(0.002328500537801071+0.0002041578840960331j),(0.008152933455627537-0.006406977157121952j),(-1.7012402914206526e-09+2.2009543342632537e-09j),(0.21846190690726722-0.2352571628631945j)
0.32,(0.6607041482204417-0.3436465124639715j),(-0.004754304960303276-0.005216441353793852j),(1.2938385121841004e-08+3.777209322168027e-08j),(-0.8064948942855061-0.5085489950714982j),(0.002323272602246702-0.00687145073853797j),(0.981345518937502-0.11440301049151214j),(-1.0704216579112074+0.598322292538265j),(-0.0012398992072467114-0.0009595121384080803j),(0.0025020837327388284-0.00085901107442679j),(0.0020298377896833704-0.014117341815860178j),(-4.302101408105675e-09+3.701321943917019e-10j),(-0.034626589013208614-0.31517033028659613j)
0.33,(0.10254390417642589-0.8013995965055657j),(-0.008064087312132807-0.0026799702621982243j),(-9.261425599441262e-09+2.9591460147585784e-08j),(-0.8878177091952968+0.4044891984555239j),(-0.0036104413291141372-0.00925800407786207j),(0.4916419973344157-0.8914919065955171j),(-0.14334091299595675+1.23901016492483j),(-0.002053138444532484-0.0003756574395391293j),(0.0021974549420203274-0.0019623422847894756j),(-0.01179528411899368-0.01570094984122543j),(-5.628095830988586e-09-4.436036412060304e-09j),(-0.2586402686438198-0.17821304114497433j)
0.34,(-0.6515703261928327-0.5826768132140833j),(-0.009856066775591404+0.0018188747385717023j),(-2.141137041368708e-08+1.3469271782418604e-08j),(-0.14787380977112746+0.988811170421652j),(-0.012006067245110639-0.006437451700987456j),(-0.454371788096873-0.9487877763985674j),(0.93859975544368+0.8562913806323209j),(-0.0026332854817994198+0.0008171835942511286j),(0.0014438954041388445-0.0028946806755541735j),(-0.026731008552888142-0.0032129499206753898j),(-2.839026840227608e-09-1.21000155898274e-08j),(-0.30203175368489177+0.07868438337587891j)
0.35000000000000003,(-0.9161561126237614+0.2257437881351158j),(-0.009039106320594596+0.007263694700406919j),(-2.151137985019481e-08-4.496934583824699e-09j),(0.770851203506307+0.6779872955863333j),(-0.018174423559012127+0.004091100773093291j),(-1.0716952955768926-0.1898190245738909j),(1.2676832001932932-0.2646201976439254j),(-0.002556586034601221+0.002554119493507844j),(0.00035817244562823887-0.0034881898291020657j),(-0.027982390000606046+0.02365304749395768j),(7.816389889815347e-09-2.0621668991835077e-08j),(-0.13746975925827287+0.279097513636624j)
0.36,(-0.3551602612116905+0.9525422157013703j),(-0.005241158710415212+0.01208504099319553j),(-1.0751338132051848e-08-1.751748613416984e-08j),(1.0159557924543148-0.2894230110285596j),(-0.014961540507996396+0.020458142688489465j),(-0.8076213089147217+0.7842239339160308j),(0.540425677547359-1.2038325521496174j),(-0.00139530047015404+0.004489039492079189j),(-0.0008902023912350783-0.0036490558141314454j),(-0.0018659703727245194+0.04937578810538487j),(3.033126881617382e-08-2.5025786831291e-08j),(0.12132791899685355+0.2864637411860314j)
0.37,(0.6307706020162909+0.8932373367251385j),(0.0009605701514910723+0.014667908449755528j),(6.007186793898366e-09-1.9936598450082986e-08j),(0.3170185882727039-1.0422431393599179j),(0.003024762554886852+0.03410557466425351j),(0.1648592518399673+1.1506865442284682j),(-0.6647475352364514-1.166929266202385j),(0.0011027101596011554+0.005971362727758678j),(-0.002120537594178771-0.003365994448040947j),(0.04730254855727876+0.045979248184559195j),(6.75698917440581e-08-1.6213243648496715e-08j),(0.29700359597213866+0.09575787016982179j)
0.38,(1.1743489804834575-0.0160315974789893j),(0.008152632970101893+0.013905692059046204j),(2.0831450483389343e-08-9.410873949540242e-09j),(-0.7250361059306343-0.8609701899094521j),(0.03316319130004643+0.03168202966414659j),(1.0560929806488237+0.5634713202378251j),(-1.3547508101759203-0.15952015278129572j),(0.004814629624721314+0.006132364813701054j),(-0.0031773153564433037-0.0026984160849409804j),(0.0869332845034076-0.006021004654443947j),(1.1889260547266769e-07+2.0066503731529265e-08j),(0.2683005702092506-0.16313293492968692j)
0.39,(0.7019259212564866-1.045890032177188j),(0.014494764755930561+0.009585822915148444j),(2.4658762490283577e-08+1.1143167825022723e-08j),(-1.1563442682396583+0.13919911360890735j),(0.06079998299987585+0.002705157235449642j),(1.109059158433448-0.527637509803959j),(-0.9487292775494641+1.004893749947867j),(0.00908487204211695+0.00408800788981508j),(-0.003953169730332257-0.0017512942949823196j),(0.06987404486142824-0.08990033308885997j),(1.7630418150140426e-07+1.0397065659044115e-07j),(0.052512837762513274-0.31255861175535754j)
0.4,(-0.488132440078098-1.2575434191744699j),(0.018261650140746453+0.0024779698160222827j),(1.05605921580627e-08+3.2591507781664526e-08j),(-0.5421050607754072+1.0775756365661322j),(0.06261873810964246-0.04971296328478043j),(0.24532593838551847-1.2307567925517664j),(0.23622998055551758+1.3758223075245302j),(0.012662348177813755-0.000761180609760095j),(-0.00439590271611826-0.0006462657259212676j),(-0.026188115584170356-0.14477330081077872j),(2.1833652179953543e-07+2.62186406256226e-07j),(-0.20459504920991217-0.24719698826733125j)
0.41000000000000003,(-1.3994977927882646-0.34968467114880875j),(0.0183246945339092-0.005875766043323271j),(-2.2060526358173287e-08+4.041955866415242e-08j),(0.612249730778968+1.0894737077309j),(0.01935189281042384-0.10213162864490871j),(-0.8506323891412554-0.9521516345085522j),(1.2476013676912625+0.6475369505686748j),(0.01377767513931644-0.00835843339954081j),(-0.004501575719012598+0.0005028925123750252j),(-0.1597599358707357-0.09900977042426153j),(2.0027755820669097e-07+5.294387415900934e-07j),(-0.3257726205030997-0.007120843789839828j)
0.42,(-1.1735768951897514+0.9975007346419883j),(0.014442315865668768-0.013565163399601999j),(-6.310892620655291e-08+1.8032814821085298e-08j),(1.2895092482361452+0.11395163372159778j),(-0.06674049248228438-0.11586874368084579j),(-1.2891783499906964+0.10379400933024652j),(1.2773877133716252-0.599251028968935j),(0.010429577723048433-0.017577584437886963j),(-0.0042999092976392685+0.0016051208609240558j),(-0.22819603001356525+0.06529672020543151j),(3.8812831045563345e-08+9.54017751397499e-07j),(-0.22265168490146167+0.2460916613073319j)
0.43,(0.12493435297966927+1.6372113634452385j),(0.0073125862064633475-0.01878081664702443j),(-8.829209210826799e-08-4.716246079880189e-08j),(0.8592915599447815-1.0284701813936412j),(-0.160393885702586-0.05679762466658083j),(-0.7064462991518329+1.0969361629281162j),(0.3070355746576007-1.3783686378295168j),(0.0009942242956764353-0.025865382058160347j),(-0.003837645685261899+0.002596994756866753j),(-0.13220991306348487+0.26510172033698554j),(-4.109010360975151e-07+1.6142539228673705e-06j),(0.04103473790404248+0.3364605959989j)
0.44,(1.4813971488050257+0.9272500897324819j),(-0.0015864334637115366-0.020234263004509267j),(-5.742158775582262e-08-1.5507112980125615e-07j),(-0.3551397140061313-1.340083455444398j),(-0.19992333118902267+0.0767582285103682j),(0.44063186113255837+1.2350300926956397j),(-0.8969155650861181-1.0874814484823367j),(-0.014753429710115461-0.02920124698569126j),(-0.0031652312224738307+0.003439177053751909j),(0.12963242728904534+0.3415809121536416j),(-1.3848824407767801e-06+2.659722562431982e-06j),(0.2878474365646576+0.19404302381084906j)
0.45,(1.7322762655634858-0.6696214256485115j),(-0.010320253109334787-0.01746151736388584j),(8.528261169073498e-08-2.822055923889318e-07j),(-1.3386604121292727-0.5106494745614991j),(-0.12711299496150635+0.23427075044117682j),(1.248328155256827+0.40873746067205174j),(-1.403626716321719+0.03349504346231602j),(-0.03434991257979812-0.022811830643190364j),(-0.002328797375393458+0.004109435196682023j),(0.41230397198231805+0.16789489697432672j),(-3.236830853687358e-06+4.398041236346917e-06j),(0.34425016253041496-0.09252014567349187j)
0.46,(0.5464736161973316-1.8931379331828087j),(-0.016923739187677516-0.010954719985034415j),(4.1014775406430167e-07-3.697188276564227e-07j),(-1.2412008775227465+0.804925394003277j),(0.06873953234763977+0.32070821747377165j),(1.0886832486545857-0.7325762734133671j),(-0.8397800641002916+1.1151959322726273j),(-0.05167698843691019-0.003028204155810995j),(-0.0013675428697041522+0.0045944897837787565j),(0.4868518517223139-0.22396949330183816j),(-6.432238378896332e-06+7.455440807912684e-06j),(0.16068018107010024-0.3299052392327819j)
0.47000000000000003,(-1.2343636183414963-1.6830767995407783j),(-0.019858060254635025-0.0020906651667401016j),(1.0039054414247855e-06-3.1029301461829984e-07j),(-0.09613859836336762+1.5231892658117125j),(0.3178156768208117+0.24127095526637815j),(0.09468454486262823-1.3046472551935924j),(0.34691312384847967+1.3423021228626522j),(-0.05735950174649919+0.029840146495121966j),(-0.0003151660214610373+0.004884582474409796j),(0.20326023803035587-0.6040715394437081j),(-1.1444026499089653e-05+1.303003472696646e-05j),(-0.14779121800144238-0.3486062941349232j)
0.48,(-2.2061679979048465-0.06861918396057398j),(-0.01839889550741826+0.0071582598500310604j),(1.981280027353603e-06+6.627029961662765e-08j),(1.1949432365181787+1.0237807910766177j),(0.4788768137671839-0.03048140220893128j),(-0.9617619547369548-0.8775605388761831j),(1.2550453979829663+0.5639736718458109j),(-0.04150740986167052+0.06870029492845271j),(0.0007969251625929112+0.004970519292415026j),(-0.3514927052372535-0.6614630675706973j),(-1.843739156191603e-05+2.322242294616469e-05j),(-0.3721066084484561-0.12187284984407135j)
