t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00
0.36,(1.2056311993561901+1.1462083144412265j),(0.3938772461769571+0.7951794314653619j),(0.32672024183281395+0.983548538553045j),(0.9198107000958018+0.19230819294367035j),(0.6160520332483522+0.8406858215356949j),(0.08294492861120749+0.6787177045502629j),(0.48572109536687563+0.927899523790192j),(1.1635203311818456+0.08652883612435407j),(0.3117366396472952+0.919494995949959j),(0.1542034849568125+0.6271065649301083j),(1.380924911041878+0.4680583359083243j),(0.4718009883688525+0.8217956346878303j),(-0.745455319253533+0.2092342648637232j),(0.322345448858042+0.6101009733648999j),(0.22343733208041178+0.9229770021497169j)
0.37,(1.1973802416653978+1.1298921341484351j),(0.3878631785903781+0.7862505153495639j),(0.32301482840093243+0.9709869431061185j),(0.9172152092133702+0.19212241958141488j),(0.609762637316194+0.8314092338484985j),(0.07749405312805827+0.6695869496605003j),(0.48046171446194635+0.9167041531965427j),(1.1624304086346546+0.0854691746577347j),(0.30732689087481924+0.908064149762781j),(0.14800197955246733+0.6191642702585136j),(1.3755018107385655+0.4632479348937671j),(0.4657469462779109+0.8126330681118529j),(-0.7443885435352235+0.2024024080022307j),(0.31559691232403814+0.6038065387759483j),(0.21970349364397868+0.9112264778642798j)
0.38,(1.1898067501471314+1.1141343568449187j),(0.38194172614080274+0.7777885588697064j),(0.31931672162634883+0.9590652321086433j),(0.9146991306949255+0.191994734516462j),(0.6036728641319842+0.8226104336378549j),(0.07203368417516787+0.6608385985122286j),(0.47532569376014827+0.9060857541647188j),(1.1613992012390666+0.08433989708350544j),(0.30293663797153164+0.8972139782138192j),(0.1418340106670702+0.6115678330061856j),(1.3704229527412004+0.45835502790237853j),(0.4598201516735601+0.8039530635718837j),(-0.7434400870022553+0.1956478602694509j),(0.3089324931450964+0.5978410334523442j),(0.21593249982128002+0.9000592377966228j)
0.39,(1.1828433860750793+1.0989013732862936j),(0.3761015812018253+0.7697593843633946j),(0.3156204020588712+0.9477351032552218j),(0.9122563995063135+0.19192359090871083j),(0.5977617811918958+0.8142572729643069j),(0.06656425656814226+0.6524408340113793j),(0.4702977017087998+0.8960027310752412j),(1.1604235452098604+0.08314653792613964j),(0.2985599186283736+0.8869007176021384j),(0.1356963855014497+0.604288495961257j),(1.3656628900134549+0.45339267838118524j),(0.45400598780055107+0.7957213003726273j),(-0.7425987400225915+0.18896615694233793j),(0.30234344314384926+0.5921790241666799j),(0.21212353902797224+0.8894305127853508j)
0.4,(1.1764257190534246+1.084160555990354j),(0.37033166059931016+0.762129116351369j),(0.3119199980614287+0.9369495284500368j),(0.9098807988768169+0.19190704478696144j),(0.5920089790118519+0.8063179428193447j),(0.061086137607309535+0.6443619966215667j),(0.465362648122579+0.886414382811485j),(1.1595000814233878+0.08189474120313893j),(0.2941905732114155+0.8770815372722023j),(0.1295860583458657+0.5972974598645712j),(1.361195978056731+0.44837341818697746j),(0.44829015349003165+0.7879038183490881j),(-0.7418538269102256+0.18235220050167988j),(0.29582131635958364+0.5867948089262818j),(0.2082753266232887+0.8792964947600719j)
0.41000000000000003,(1.1704919373910032+1.069880377977058j),(0.36462110421600663+0.7548641525255922j),(0.30820932237063553+0.9266626469857885j),(0.9075659717368898+0.19194277481732872j),(0.5863945282946292+0.7987609558508569j),(0.05559966870244507+0.6365705765352423j),(0.4605056629943315+0.8772808330543699j),(1.1586252966656363+0.08059025488007814j),(0.28982227395577187+0.8677144606030367j),(0.12350015651983047+0.5905658865886271j),(1.356996488209706+0.44330935308927866j),(0.4426586470693069+0.7804669873568769j),(-0.7411952143199465+0.1758003187676288j),(0.2893579777690644+0.5816624288458724j),(0.20438616306069324+0.8696142567030539j)
0.42,(1.1649826069898088+1.056030511987178j),(0.35895927801440786+0.7479311454356458j),(0.30448191007075953+0.916829678991064j),(0.9053054321605544+0.192028102975103j),(0.5808989472040316+0.7915551365121081j),(0.05010520450531733+0.6290352158182466j),(0.45571208366396415+0.8685629752030825j),(1.1577955638914557+0.07923892457087181j),(0.2854485558100678+0.8587583029590479j),(0.1174360056576037+0.5840649110866776j),(1.3530387157327255+0.43821225750134707j),(0.43709775680217144+0.7733774869899765j),(-0.7406133188568972+0.169304321916048j),(0.2829456138618148+0.5767556871454932j),(0.20045398989873625+0.8603416901283063j)
0.43,(1.159840475445733+1.042581911824792j),(0.35333578147283606+0.7412969946478516j),(0.3007310584237817+0.9074068579625929j),(0.9030925771144882+0.19216001586868595j),(0.575503178572149+0.7846696185018414j),(0.0446031496257145+0.6217247203061722j),(0.45096745019803997+0.8602224312024467j),(1.1570071810682812+0.07784668616721083j),(0.28106284921303626+0.8501726257959702j),(0.11139115431066748+0.5777656619851282j),(1.349297083053796+0.4330936572077707j),(0.43159405779720383+0.7666022962900395j),(-0.7400991141680248+0.16285755834045282j),(0.27657674508899416+0.5720481753135781j),(0.19647644423090377+0.8514374592710383j)
0.44,(1.1550103181828912+1.0295068769006872j),(0.3477404594190153+0.7349288491306155j),(0.2969498689417255+0.898351381271529j),(0.9009206988105323+0.19233518647460632j),(0.5701885768788716+0.7780738493233208j),(0.039093992977940126+0.6146080809794731j),(0.44625750884998056+0.8522215235790942j),(1.1562564081958684+0.07641955713155586j),(0.276658515043335+0.8419177061476991j),(0.10536339781767866+0.5716392906415538j),(1.345746238365879+0.4279648990798639j),(0.42613441532163626+0.7601086931907778j),(-0.739644137737677+0.15645296933158673j),(0.2702442401813552+0.5675133064313884j),(0.192450912016373+0.8428609712056796j)
0.45,(1.1504388235155834+1.016779100627362j),(0.34216341822265656+0.7287941195897488j),(0.29313129202251076+0.8896213775789269j),(0.8987829979467562+0.1925499960553625j),(0.564936904834815+0.7717376017511439j),(0.0335783397784584+0.6076545044856142j),(0.44156822346577956+0.8445232599969474j),(1.155539502116012+0.07496362624360692j),(0.2722288819348412+0.8339545207319623j),(0.09935080137104638+0.5656570084336242j),(1.3423611495930237+0.42283720699905875j),(0.42070599444252177+0.7538642634135845j),(-0.7392404975654967+0.15008314255422858j),(0.2639413323025629+0.5631243556062461j),(0.1883745807166683+0.8345723611150025j)
