t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
1.1300000000000001,(1.0002574179930166-0.00013871495830881372j),(1.688958844242397+1.7730906888895022j),(0.3620767387008394-0.8467739934805841j),(0.46899967369613954-0.44167749706570136j),(-0.4323495724563105-1.028770411227786j),(3.4145967094089147+1.81953508251129j),(-1.1277950012561446+0.2893251943993514j),(-1.2394128848861925+0.9486849281006247j),(-0.7998832734284842+0.9547126430266425j),(1.0002574179930166-0.00013871495830881372j)
1.1400000000000001,(1.0002610744058213-0.0001371870653250969j),(1.6255433795949359+1.7458463145574799j),(0.3709426329933264-0.8677646880074827j),(0.47621096335287577-0.45293719769107543j),(-0.44557773262493733-1.0533260115319225j),(3.2939019651106074+1.871499555087672j),(-1.1187513712192938+0.2931506394398571j),(-1.2054499054204024+0.9478213883738484j),(-0.778376554215754+0.9393191674074246j),(1.0002610744058213-0.0001371870653250969j)
1.1500000000000001,(1.0002646247609723-0.00013567559639988014j),(1.5666708870673653+1.718079748228823j),(0.37988368460186556-0.8888311140598575j),(0.48351916937997436-0.46404662904781163j),(-0.4594926707653323-1.0778218773128772j),(3.175496307511081+1.9135363787345094j),(-1.1098401947978498+0.2965677150733331j),(-1.173011556804926+0.9457780426520804j),(-0.7582345822767065+0.9240067523566274j),(1.0002646247609723-0.00013567559639988014j)
1.16,(1.0002680678112508-0.0001341898690653073j),(1.5120665407709004+1.6900831121944686j),(0.38888251230930626-0.9099510520576527j),(0.49091016703404444-0.4749927290287821j),(-0.47409715490269916-1.1022105059412657j),(3.0603106655461585+1.9464531131992873j),(-1.1010835296422679+0.2995954530254571j),(-1.142092201169354+0.9427096739713651j),(-0.7393879871435947+0.9088315668396469j),(1.0002680678112508-0.0001341898690653073j)
1.17,(1.000271402882317-0.0001327389629043845j),(1.461456574983199+1.66209914605606j),(0.3979206429157833-0.9311018044551924j),(0.49836935219573264-0.4857631171834919j),(-0.4893907704834131-1.1264426813942954j),(2.9490952038466305+1.971112596639792j),(-1.092501015739337+0.30225386056265585j),(-1.1126743883113366+0.9387596353797938j),(-0.7217687141433988+0.8938420339422205j),(1.000271402882317-0.0001327389629043845j)
1.18,(1.0002746298427128-0.00013133165178565346j),(1.4145731056722908+1.6343272030914424j),(0.4069785886551989-0.9522603244598903j),(0.5058817409279763-0.49634617428588956j),(-0.5053697419563217-1.1504677978493418j),(2.8424256004448045+1.9883992564033268j),(-1.0841098846768167+0.30456363417324117j),(-1.0847309349186405+0.9340597163666368j),(-0.7053104273005542+0.8790795159960679j),(1.0002746298427128-0.00013133165178565346j)
1.19,(1.0002777490701433-0.000129976340202186j),(1.3711575446806108+1.6069289123037547j),(0.41603594654986825-0.9734033618147623j),(0.5134320779061237-0.5067311200164623j),(-0.5220267958288438-1.1742342348500452j),(2.7407154067171184+1.999190318708322j),(-1.0759249973003693+0.3065458918351788j),(-1.0582267902357017+0.9287302456331342j),(-0.6899488122491925+0.8645789591974594j),(1.0002777490701433-0.000129976340202186j)
1.2,(1.0002807614148992-0.00012868100417202358j),(1.3309628828474198+1.5800333854113757j),(0.42507152045002267-0.9945076251822993j),(0.5210049529150864-0.5169080877214075j),(-0.5393510735909898-1.1976897811034133j),(2.6442327870260556+2.0043326207498136j),(-1.067958905388332+0.308221926161166j),(-1.0331206857975255+0.9228803747771815j),(-0.6756217945554457+0.8503694937990445j),(1.0002807614148992-0.00012868100417202358j)
1.21,(1.0002836681612928-0.00012745313706185015j),(1.2937550850000934+1.553741910101273j),(0.43406346600022794-1.0155499603240055j),(0.5285849243976333-0.526868195232091j),(-0.5573281025244055-1.2207821021617287j),(2.55311980742922+2.0046252231666326j),(-1.060221933063712+0.3096129799280633j),(-1.0093665747815033+0.9166084951382758j),(-0.6622696872321953+0.836474988086737j),(1.0002836681612928-0.00012745313706185015j)
1.22,(1.000286470987975-0.00012629970060302779j),(1.2593138032133433+1.5281321144300422j),(0.4429894582037617-1.0365075429273727j),(0.536156648832722-0.5366036107764778j),(-0.5759398316753248-1.2434592453941593j),(2.4674125361457313+2.000807521094079j),(-1.052722273866772+0.31074004480272166j),(-0.9869148720531729+0.9100027476510804j),(-0.6498352796201764+0.8229145559834065j),(1.000286470987975-0.00012629970060302779j)
1.23,(1.0002891719279685-0.00012522708128291153j),(1.2274325790176708+1.503261616212841j),(0.45182688063322696-1.0573580846006596j),(0.5437050145316764-0.5461076130894849j),(-0.5951647391529606-1.2656701738417455j),(2.3870607076028776+1.9935521980774062j),(-1.0454660996986405+0.3116236834772578j),(-0.9657135095442191+0.903141592717931j),(-0.6382638782688066+0.8097030193332422j),(1.0002891719279685-0.00012522708128291153j)
1.24,(1.0002917733292087-0.000124241052210824j),(1.1979186725880062+1.4791711891644521j),(0.4605530346800761-1.0780800502460248j),(0.5512152782713412-0.555374644928852j),(-0.6149780154221359-1.2873653188670173j),(2.3119460276179655+1.9834621998829178j),(-1.0384576781915957+0.3122838749256231j),(-0.94570882361583+0.8960944136105256j),(-0.627503309014492+0.796851326790884j),(1.0002917733292087-0.000124241052210824j)
1.25,(1.0002942778163264-0.0001233467404874551j),(1.170592628415242+1.4558874874719863j),(0.4691453665700767-1.0986528847432389j),(0.5586732030450471-0.5644003593236875j),(-0.635351825418357-1.3084971400511363j),(2.2418985427891016+1.9710708539986201j),(-1.0316994954428544+0.3127398820872236j),(-0.9268462918989496+0.888922132637536j),(-0.6175038881444632+0.7843669318346103j),(1.0002942778163264-0.0001233467404874551j)
1.26,(1.0002966882543254-0.00012254860004143j),(1.1452876628416062+1.4334253748039312j),(0.47758170922201837-1.1190572466384996j),(0.5660651951113979-0.5731816580199535j),(-0.6562556501778638-1.3290206796499722j),(2.1767107890157504+1.9568443015922563j),(-1.02519238144689+0.3130101409664436j),(-0.9090711370818365+0.8816778242363364j),(-0.6082183693596015+0.7722541328005633j),(1.0002966882543254-0.00012254860004143j)
1.27,(1.0002990077147291-0.0001218503898431j),(1.1218489389532675+1.411789904349144j),(0.48584053542111744-1.1392752463435807j),(0.5733784384634271-0.5817167217356537j),(-0.677656706322028-1.348894098179192j),(2.1161496584945088+1.9411855067850308j),(-1.0189356359609647+0.3131121699010192j),(-0.8923288144952928+0.8744073132858542j),(-0.5996018722111952+0.7605143780435865j),(1.0002990077147291-0.0001218503898431j)
1.28,(1.0003012394446729-0.00012125515735740028j),(1.1001327782571522+1.3909779947027492j),(0.49390121824536803-1.1592906862160048j),(0.5806010248308637-0.5900050319927937j),(-0.6995204392643722-1.3680791774234826j),(2.0599660815457304+1.9244392335086127j),(-1.0129271529273303+0.31306249758779886j),(-0.8765653993344632+0.8671497503499354j),(-0.5916117967793906+0.7491465394099195j),(1.0003012394446729-0.00012125515735740028j)
1.29,(1.0003033868393176-0.00012076522706548484j),(1.080005845809775+1.3709798432546099j),(0.5017442942503413-1.1790892998156606j),(0.5877220773685418-0.5980473844474897j),(-0.7218110835359008-1.3865417773990998j),(2.007902717575334+1.9068975109159767j),(-1.0071635419441716+0.312876608351461j),(-0.8617278881132686+0.8599381583214518j),(-0.5842077285769739+0.7381471571904169j),(1.0003033868393176-0.00012076522706548484j)
1.3,(1.0003054534178597-0.00012038219385171463j),(1.0613443354845047+1.3517801148697184j),(0.5093517246110323-1.1986589876200153j),(0.5947318662748456-0.6058458937882446j),(-0.7444922812765568-1.4042522345557045j),(1.9596999004745146+1.8888052301101241j),(-1.001640245619225+0.312568903090198j),(-0.8477644275928677+0.8527999471292884j),(-0.577351336990646+0.7275106596364295j),(1.0003054534178597-0.00012038219385171463j)
1.31,(1.0003074428033003-0.00012010692103472199j),(1.0440331743628202+1.3333589395325696j),(0.5167071492594616-1.2179900465297133j),(0.6016219147239004-0.613403990410154j),(-0.7675277478446276-1.4211856897645074j),(1.9151001004538895+1.8703656201850394j),(-0.9963516519508054+0.31215267432267263j),(-0.8346244830451867+0.8457573948763429j),(-0.5710062700016815+0.7172295599848156j),(1.0003074428033003-0.00012010692103472199j)
1.32,(1.000309358706039-0.00011993954280395398j),(1.0279652593726833+1.3156927485498804j),(0.5237961290593748-1.2370753906081082j),(0.6083850936804245-0.6207264091951268j),(-0.7908819717704696-1.4373223363539638j),(1.8738511579939046+1.851745437387414j),(-0.9912912011583378+0.31164009378393887j),(-0.8222589563658879+0.8388280950754252j),(-0.5651380474471066+0.7072946337699525j),(1.000309358706039-0.00011993954280395398j)
1.33,(1.000311204911248-0.00011987947081484141j),(1.0130407348944461+1.2987549750427627j),(0.5306063712331641-1.255910760669858j),(0.6150157043913637-0.6278191708315366j),(-0.8145209350267787-1.4526475805402335j),(1.8357085253815535+1.8330797678669748j),(-0.9864514866275264+0.31104221106669544j),(-0.8106202632767368+0.8320253706130841j),(-0.5597139546798239+0.6976950790115702j),(1.000311204911248-0.00011987947081484141j)
1.34,(1.000312985269888-0.00011992540468663654j),(0.9991663167955624+1.2825166409059345j),(0.5371279336019176-1.2744949205616203j),(0.6215095476066813-0.634689556188593j),(-0.8384128388793904-1.4671521089504853j),(1.8004367239763883+1.8144763939973638j),(-0.9818243498443051+0.3103689618714778j),(-0.7996623776779305+0.8253586557622121j),(-0.5547029381505268+0.6884186616671241j),(1.000312985269888-0.00011992540468663654j)
1.35,(1.0003147036931386-0.00012007534614702858j),(0.9862546659809409+1.2669468492100135j),(0.5433534037100418-1.2928298382575232j),(0.6278639788648676-0.6413460743198416j),(-0.8625288204621914-1.4808318604282538j),(1.7678101955964296+1.7960197093952974j),(-0.9774009693678329+0.30962918450954846j),(-0.7893408501376609+0.818833848037401j),(-0.5500755041556431+0.6794518485332028j),(1.0003147036931386-0.00012007534614702858j)
1.36,(1.0003163641499249-0.0001203266165606904j),(0.9742238128471485+1.2520131981817155j),(0.5492780495660041-1.3109208502182739j),(0.6340779494778521-0.6477984247065075j),(-0.8868436456930856-1.4936879018078004j),(1.7376136972351461+1.7777741914579057j),(-0.9731719440377555+0.30883064339072414j),(-0.7796128065417678+0.8124536319886467j),(-0.545803621764603+0.6707799295771404j),(1.0003163641499249-0.0001203266165606904j)
1.37,(1.000317970667157-0.00012067587758131596j),(0.9629966328392979+1.2376821304032266j),(0.5548999395179247-1.3287768078295936j),(0.6401520331557473-0.6540574543658709j),(-0.9113363651840168-1.5057262097160307j),(1.7096423614448264+1.7597874551720714j),(-0.9691273707268727+0.30798005832155473j),(-0.7704369320677888+0.8062177771976274j),(-0.5418606307480242+0.6623871314810263j),(1.000317970667157-0.00012067587758131596j)
1.3800000000000001,(1.0003195273322312-0.0001211191546624213j),(0.9525003724976067+1.223919228702077j),(0.5602200296685006-1.3464102051369804j),(0.6460884385148312-0.6601351104445115j),(-0.9359909213314547-1.5169573625835517j),(1.6837015209906383+1.7420929204342506j),(-0.9652569170395158+0.30708313853441743j),(-0.7617734448883029+0.8001234128079109j),(-0.5382211551684094+0.6542567239880179j),(1.0003195273322312-0.0001211191546624213j)
1.3900000000000001,(1.0003210382972876-0.0001216518631613023j),(0.9426662248430433+1.2106894683267233j),(0.5652422181850296-1.363837287523051j),(0.6518910080035302-0.6660443888937905j),(-0.9607966967099614-1.5273961488169259j),(1.6596063760501085+1.7247121290301977j),(-0.9615498894207744+0.3061446204632074j),(-0.7535840633391899+0.7941652809116193j),(-0.5348610231599916+0.6463711204566429j),(1.0003210382972876-0.0001216518631613023j)
1.4000000000000001,(1.000322507784685-0.0001222688367669942j),(0.933428952607751+1.1979574333893657j),(0.5699733668415674-1.3810781414241404j),(0.6575652040527031-0.6717992797886037j),(-0.9857489961140573-1.537061098423083j),(1.6371815652040784+1.707656748224142j),(-0.9579952971845822+0.30516830837507875j),(-0.7458319696991633+0.7883359710506423j),(-0.5317571933085985+0.6387119738534336j),(1.000322507784685-0.0001222688367669942j)
1.41,(1.0003239400931203-0.00012296435797960455j),(0.9247265576038086+1.1856875041756922j),(0.5744232911053817-1.3981567656474636j),(0.6631180835012274-0.6774147098037283j),(-1.0108494569729503-1.5459739462336137j),(1.6162606874410155+1.6909302966997994j),(-0.9545819129918913+0.3041571170592818j),(-0.7384817732071751+0.7826261379864778j),(-0.5288876879407701+0.6312602692480106j),(1.0003239400931203-0.00012296435797960455j)
1.42,(1.0003253396038103-0.00012373219036503278j),(0.9164999943956632+1.1738440207427419j),(0.5786047210143488-1.415101125321771j),(0.6685582615599502-0.6829064823085121j),(-1.0361063852649202-1.5541590352307202j),(1.5966858109917426+1.6745296261895046j),(-0.9512983303159397+0.30311311586316075j),(-0.7314994744838125+0.7770247047616488j),(-0.526231533539564+0.6239964137176319j),(1.0003253396038103-0.00012373219036503278j)
1.43,(1.0003267107861449-0.00012456561230413723j),(0.9086929263610128+1.1623914272253042j),(0.5825332359547285-1.4319431899858077j),(0.6738958667522065-0.6882912154834738j),(-1.061535016353486-1.561642668335681j),(1.578306995620302+1.6584461890982771j),(-0.9481330184220188+0.3020375734517028j),(-0.7248524331119577+0.7715190529269249j),(-0.5237687084189055+0.6169003244199676j),(1.0003267107861449-0.00012456561230413723j)
1.44,(1.0003280582022385-0.00012545745195321158j),(0.9012515221650728+1.1512944004255998j),(0.586227177213972-1.4487189577826762j),(0.6791424884044964-0.6935862788045151j),(-1.087157702237678-1.5684524164176847j),(1.560981847631996+1.6426671191744877j),(-0.9450743753661014+0.3009310027507531j),(-0.7185093397620511+0.7660952016494135j),(-0.5214800977060893+0.6099515154531004j),(1.0003280582022385-0.00012545745195321158j)
1.45,(1.0003293865098242-0.00012640012313030007j),(0.8941242906144327+1.1405179655508018j),(0.5897075428314442-1.4654684681772858j),(0.6843111183553094-0.6988097281841428j),(-1.1130040284519163-1.574616389268796j),(1.5445751209746286+1.627176149063531j),(-0.9421107794820217+0.299793205615339j),(-0.7124401939106414+0.7607379772522527j),(-0.5193474556008525+0.6031291839900822j),(1.0003293865098242-0.00012640012313030007j)
1.46,(1.000330700462968-0.0001273856618422279j),(0.887261951785625+1.130027601371323j),(0.5929978697890448-1.4822358060417333j),(0.6894160886036296-0.7039802400061203j),(-1.1391108651854605-1.5801624749369425j),(1.528958373105427+1.6119543855740137j),(-0.9392306397822655+0.29862331684369736j),(-0.706616287891081+0.7554311745708845j),(-0.5173533747977193+0.5964122960513772j),(1.000330700462968-0.0001273856618422279j)
1.47,(1.0003320049101283-0.00012840576317220832j),(0.8806173422315586+1.1197893365850689j),(0.5961241089693045-1.4990691003536254j),(0.6944730066328785-0.7091170442412452j),(-1.1655223580558705-1.5851175511891777j),(1.514009680525991+1.5969809607867207j),(-0.9364224456444221+0.29741984723477444j),(-0.7010101977270349+0.7501577113463102j),(-0.5154812628750504+0.5897796721618722j),(1.0003320049101283-0.00012840576317220832j)
1.48,(1.0003333047891338-0.00012945181825350672j),(0.8741453519518693+1.1097698387763257j),(0.5991144985638045-1.5160205211199667j),(0.6994986901235667-0.7142398567878897j),(-1.1922898643241346-1.5895066710712273j),(1.499613415850168+1.5822335747947625j),(-0.9336748160954277+0.2961807254622625j),(-0.6955957809290596+0.7448997767140176j),(-0.5137153253690618+0.5832100730295324j),(1.0003333047891338-0.00012945181825350672j)
1.49,(1.0003346051187199-0.0001305149510694999j),(0.8678028906703038+1.0999364970413232j),(0.6019994417501505-1.533146278470486j),(0.7045111027123268-0.7193688111412291j),(-1.219471840156682-1.5933522226148031j),(1.4856600858068092+1.5676889438933266j),(-0.9309765489403036+0.29490333861160895j),(-0.6903481811792415+0.7396389746894365j),(-0.5120405551641699+0.5766822852801029j),(1.0003346051187199-0.0001305149510694999j)
1.5,(1.000335910986327-0.00013158605483621746j),(0.8615488807958797+1.0902574991055103j),(0.604811394487976-1.5505066281568494j),(0.7095292923705975-0.7245243894589657j),(-1.2471336838100588-1.5966730607959556j),(1.4720462275692483+1.5533231664294616j),(-0.9283166699124613+0.29358457129767684j),(-0.6852438395874709+0.7343564633973428j),(-0.5104427277431386+0.5701752071864128j),(1.000335910986327-0.00013158605483621746j)
1.51,(1.0003372275319429-0.0001326558277487003j),(0.8553442742597549+1.0807019035706198j),(0.607584769235701-1.5681658879474263j),(0.7145733338677599-0.7297273530575941j),(-1.2753475383346797-1.599483607935616j),(1.4586743591552358+1.5391120172483557j),(-0.9256844819501017+0.2922208433494382j),(-0.6802605119752041+0.7290330906437947j),(-0.5089084017529019+0.5636679342419383j),(1.0003372275319429-0.0001326558277487003j)
1.52,(1.0003385599278432-0.00013371480790009912j),(0.8491520902237456+1.0712397077934344j),(0.6103558602862912-1.5861924696221135j),(0.7196642766560502-0.7349986723403463j),(-1.3041920555652196-1.60179291692304j),(1.445452978289142+1.5250311806924728j),(-0.9230696146289729+0.2908081461136455j),(-0.6753772914295451+0.7236495262849285j),(-0.5074249242563184+0.5571398443464901j),(1.0003385599278432-0.00013371480790009912j)
1.53,(1.0003399133541728-0.0001347534072199821j),(0.8429374704582356+1.061841911803686j),(0.6131627962913929-1.6046589314507036j),(0.7248240993730851-0.7403594561241813j),(-1.333752120786284-1.6036036899979538j),(1.432296603016672+1.511056431374492j),(-0.9204620737069749+0.28934207749104807j),(-0.670574635174146+0.7181863917071936j),(-0.5059804399586141+0.5505706822975283j),(1.0003399133541728-0.0001347534072199821j)
1.54,(1.0003412929703868-0.00013576194431663203j),(0.8366677489972452+1.052480578606682j),(0.6160455254200519-1.6236420561850577j),(0.7300756720072192-0.7458308802967362j),(-1.3641185345271796-1.6049112444139653j),(1.4191258464808263+1.4971637713993229j),(-0.9178522906619421+0.2878178758754209j),(-0.6658343946265988+0.7126243865982913j),(-0.5045639036222809+0.5439406432140691j),(1.0003412929703868-0.00013576194431663203j)
1.55,(1.0003427038826527-0.00013673067615532176j),(0.8303125325078983+1.043128891178006j),(0.6190458385128524-1.6432229597143448j),(0.7354427266156766-0.7514341156932342j),(-1.395387644435475-1.6057024151985189j),(1.4058675175876227+1.4833295322962634j),(-0.9152311720315548+0.28623045321633134j),(-0.6611398473581815+0.7069444130572738j),(-0.5031650948183672+0.5372304544619292j),(1.0003427038826527-0.00013673067615532176j)
1.56,(1.0003441511074038-0.0001376498285539781j),(0.8238437876721489+1.0337612064340675j),(0.6222074355768554-1.6634872356281252j),(0.7409498373294557-0.7571902550362076j),(-1.4276609160831568-1.605954384512809j),(1.3924547388008066+1.4695304495806232j),(-0.9125901482948341+0.28457442746994777j),(-0.6564757295449429+0.7011276969662023j),(-0.5017746341081327+0.530421455599693j),(1.0003441511074038-0.0001376498285539781j)
1.57,(1.0003456395313006-0.00013850962552814985j),(0.8172359317819254+1.0243531064448268j),(0.625576041052895-1.684525141007404j),(0.7466224102257343-0.7631202387259267j),(-1.461044426841304-1.6056334269124466j),(1.3788270720018367+1.4557437175374857j),(-0.9099212219691901+0.28284415473702035j),(-0.6518282674032801+0.6951559064250025j),(-0.500383999709619+0.5234956758248934j),(1.0003456395313006-0.00013850962552814985j)
1.58,(1.0003471738679455-0.00013930031757294458j),(0.8104659227057042+1.0148814471356913j),(0.6291995735055576-1.7064318288198788j),(0.7524866835004873-0.7692447792051572j),(-1.4956482615849438-1.6046935602637882j),(1.364930643233683+1.4419470314557175j),(-0.907217014536627+0.28103376141216174j),(-0.6471852060423958+0.689011266936541j),(-0.498985543681326+0.5164359083700476j),(1.0003471738679455-0.00013930031757294458j)
1.59,(1.0003487586117574-0.00014001220902033743j),(0.8035133444046141+1.0053244046974277j),(0.6331283757676058-1.7293076323294236j),(0.7585697382331295-0.7755842835470244j),(-1.5315857829280892-1.6030750933749724j),(1.350718257215266+1.428118624091699j),(-0.9044708117585835+0.27913717668254284j),(-0.6425358341439618+0.6826766729216954j),(-0.4975725066520503+0.5092257812789995j),(1.0003487586117574-0.00014001220902033743j)
1.6,(1.0003503979894885-0.000140635684664075j),(0.7963604842674168+0.9956615198802429j),(0.6374155121439025-1.7532584069321442j),(0.7648995199020966-0.7821587738281824j),(-1.5689727419239767-1.600703063804979j),(1.3361494927689577+1.4142373025728776j),(-0.9016766068921122+0.2771481657160661j),(-0.6378710028989135+0.6761357950459042j),(-0.4961390301437595+0.5018498239860014j),(1.0003503979894885-0.000140635684664075j)
1.61,(1.0003520959099197-0.0001411612358885907j),(0.7889923987018411+0.9858737402870508j),(0.6421171400734567-1.778395934783981j),(0.7715048706855242-0.78898780475025j),(-1.607926187714472-1.5974855631380382j),(1.321190770747121+1.4002824912360052j),(-0.8988291412817746+0.2750603638681927j),(-0.6331831376945561+0.6693731827513094j),(-0.4946801655742843+0.4942935291235964j),(1.0003520959099197-0.0001411612358885907j)
1.62,(1.0003538559123326-0.0001415794865816865j),(0.7813969636678462+0.9759434606993811j),(0.6472929646894453-1.8048383974568598j),(0.7784155724637001-0.7960903778597402j),(-1.6485631265514353-1.5933119526538382j),(1.3058153866742657+1.386234285022417j),(-0.8959239417728477+0.2728673122123979j),(-0.62846624115284+0.6623743613143799j),(-0.49319187908902384+0.486543409000987j),(1.0003538559123326-0.0001415794865816865j)
1.6300000000000001,(1.0003556811144028-0.00014188121914515719j),(0.7735649071665549+0.9658545613676902j),(0.6530067860319752-1.8327109216033195j),(0.7856624003280662-0.803484851589856j),(-1.6909988721106513-1.588050980273088j),(1.2900035011355868+1.372073517025873j),(-0.8929573543732148+0.2705624946615975j),(-0.6237158862721159+0.6551259226903164j),(-0.491671051455433+0.47858704622237225j),(1.0003556811144028-0.00014188121914515719j)
1.6400000000000001,(1.0003575741602027-0.0001420574009386892j),(0.7654898211037551+0.9555924440785935j),(0.6593271502802835-1.8621462021503474j),(0.7932771862925632-0.8111888462060108j),(-1.7353450203846104-1.5815488204878492j),(1.273742081933524+1.3577818426256087j),(-0.8899265735846456+0.2681393768971598j),(-0.6189291986176386+0.647615609365149j),(-0.4901154723595949+0.47041313795474515j),(1.0003575741602027-0.0001420574009386892j)
1.6500000000000001,(1.00035953716904-0.0001420992115091522j),(0.7571681504226394+0.9451440656795519j),(0.6663281182982119-1.8932852067753325j),(0.8012928927935118-0.8192191425804645j),(-1.7817069741807152-1.573627073348365j),(1.2570247931902752+1.343341841370634j),(-0.8868296668298953+0.2655914472590796j),(-0.6141048267366468+0.6398323904167365j),(-0.48852382856864063+0.46201153340664697j),(1.00035953716904-0.0001420992115091522j)
1.6600000000000001,(1.0003615716858834-0.00014199807095711565j),(0.7485991579372291+0.9344979686036468j),(0.6740901670377555-1.9262779641880075j),(0.8097436954495042-0.827591573549857j),(-1.830180935143031-1.5640807771722436j),(1.239851827879343+1.328737136456381j),(-0.8836655934208855+0.2629122596768506j),(-0.609242900236454+0.6317665289891696j),(-0.4868956855633102+0.45337326414293827j),(1.0003615716858834-0.00014199807095711565j)
1.67,(1.000363678634155-0.00014174566977956848j),(0.7397848638830854+0.9236443078016043j),(0.6827012419117263-1.9612844368367433j),(0.8186650744275096-0.8363209064228685j),(-1.88085027638752-1.5526765131558942j),(1.2222296817004503+1.313952530306707j),(-0.8804342175456825+0.26009547863730725j),(-0.6043449752515003+0.6234096404131761j),(-0.4852314623979709+0.4444905669350511j),(1.000363678634155-0.00014174566977956848j)
1.68,(1.000365858271674-0.0001413340005016603j),(0.7307299598201502+0.9125748733645772j),(0.69225798109001-1.9984754757746037j),(0.8280939136191433-0.8454207150041759j),(-1.9337812078621182-1.5391507090822634j),(1.2041708677401584+1.2989741535049522j),(-0.8771363147983059+0.25713492609548877j),(-0.5994139673293273+0.6147547402592726j),(-0.48353239970672246+0.4353568989304234j),(1.000365858271674-0.0001413340005016603j)
1.69,(1.0003681101505502-0.00014075539136902977j),(0.7214416971564745+0.9012831080190093j),(0.7028671357075427-2.038033851143575j),(0.8380686066643654-0.8549032392863597j),(-1.989017651504793-1.5232082841526797j),(1.185693572948746+1.283789623171233j),(-0.8737735718355124+0.25402463014007687j),(-0.5944540720764384+0.6057962816910201j),(-0.48180052093918074+0.4259669450175899j),(1.0003681101505502-0.00014075539136902977j)
1.7,(1.0003704330818157-0.00014000254231643427j),(0.7119297511922713+0.8897641186034291j),(0.7146472130298885-2.0801553454922517j),(0.8486291686602367-0.8647792307351309j),(-2.04657525684105-1.5045218174653257j),(1.1668212590693705+1.2683882059211151j),(-0.8703485788182025+0.25075887512919j),(-0.5894706742128564+0.5965301815922711j),(-0.4800385870732298+0.41631661736308523j),(1.0003704330818157-0.00014000254231643427j)
1.71,(1.0003728251055717-0.0001390685633578307j),(0.7022060621916256+0.8780146806042457j),(0.7277303724132558-2.12504988815448j),(0.8598173521501098-0.8750577808578219j),(-2.1064345130722297-1.482731467886693j),(1.1475822122293473+1.252760979817621j),(-0.8668648143811347+0.24733225291854816j),(-0.5844702459785253+0.586953835073187j),(-0.47825004520952386+0.40640304720102427j),(1.0003728251055717-0.0001390685633578307j)
1.72,(1.0003752834674033-0.00013794701546142858j),(0.6922846555548599+0.8660332348396579j),(0.7422646059360894-2.172942696136507j),(0.8716767656929709-0.8857461305044948j),(-2.168532954650112-1.4574459209399262j),(1.128009046892715+1.2369009892870153j),(-0.8633266229719562+0.2437397147155956j),(-0.5794602361054095+0.5770661181123458j),(-0.4764389715990126+0.3962245690637721j),(1.0003752834674033-0.00013794701546142858j)
1.73,(1.00037780460178-0.0001366319538757774j),(0.6821814436696472+0.8538198754412211j),(0.7584162360920591-2.224075368997454j),(0.8842529929515588-0.8968494571108342j),(-2.232756517685822-1.428244685222526j),(1.108138171223483+1.2208033868364658j),(-0.8597391845074431+0.23997662301344339j),(-0.574448950806849+0.5668673782627162j),(-0.4746100097858752+0.3857806977501004j),(1.00037780460178-0.0001366319538757774j)
1.74,(1.0003803841231085-0.000135117973771318j),(0.6719140124470828+0.8413763283921718j),(0.7763727607060266-2.278706860252001j),(0.8975937097982053-0.9083706368600737j),(-2.298930187850833-1.394682101125314j),(1.0880092220668431+1.2044655555980215j),(-0.8561084764091411+0.23603880299061392j),(-0.5694454284322749+0.5563594135329122j),(-0.4727683046601542+0.3750720984330489j),(1.0003803841231085-0.000135117973771318j)
1.75,(1.0003830168250496-0.00013340025794604104j),(0.6615013958863811+0.828705920037905j),(0.7963460684154969-2.3371142135798744j),(0.9117487964048298-0.9203099785282162j),(-2.366808189123245-1.356293450284336j),(1.0676644786723952+1.1878872072189697j),(-0.8524412281997492+0.23192259270937293j),(-0.5644593095842202+0.5455454397464456j),(-0.470919433304023+0.36410055041064593j),(1.0003830168250496-0.00013340025794604104j)
1.76,(1.0003856966886286-0.00013147462623002164j),(0.650963842248458+0.8158135351816413j),(0.8185760338950684-2.399592905799905j),(0.9267704406430584-0.9326649255970344j),(-2.4360640970045817-1.3126035548608534j),(1.0471482649185224+1.1710704503951108j),(-0.848744868962701+0.2276248914092842j),(-0.5595007045910598+0.5344300468745637j),(-0.4690693335807831+0.35286890509589525j),(1.0003856966886286-0.00013147462623002164j)
1.77,(1.0003884168995862-0.00012933758610177457j),(0.6403225755481083+0.8027055646092139j),(0.8433344764906202-2.4664565769685702j),(0.9427132283564061-0.9454297230915939j),(-2.506281416238672-1.263138218937827j),(1.026506350120914+1.154019826355628j),(-0.8450274680873234+0.2231432051752788j),(-0.5545800602706396+0.523019145026333j),(-0.46722423145508324+0.34138103892524996j),(1.0003884168995862-0.00012933758610177457j)
1.78,(1.0003911698753118-0.000126986383914987j),(0.6295995560948175+0.7893898421406963j),(0.8709294234409937-2.538035847864019j),(0.959634215163335-0.9585950455477239j),(-2.5769453329967282-1.207438776510491j),(1.0057853585053418+1.1367423087969717j),(-0.841297669837394+0.21847568926207087j),(-0.5497080279067226+0.5113199009565332j),(-0.46539056804615175+0.3296418019344958j),(1.0003911698753118-0.000126986383914987j)
