t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
0.8300000000000001,(1.0001263902854711-0.00015540651411808217j),(4.356078488334325-0.024582884958027573j),(0.1729723545586502-0.3295999977416719j),(0.33547994336079695-0.1074924550205382j),(-0.27493568631487275-0.4068937335006337j),(3.2199025891770443-1.894965256968175j),(-1.3093092222785165-0.00492220494133911j),(-2.164225025454922-0.12002090039089804j),(-2.1214741273851394+0.7996245051311335j),(1.0001263902854711-0.00015540651411808217j)
0.84,(1.000130283755005-0.00015622512985219406j),(4.352942752913+0.11131025260335224j),(0.17661702306747945-0.3419732330810984j),(0.3371564752587072-0.11650705575249351j),(-0.27553159859015364-0.42208218355583216j),(3.333012041689266-1.8524270226842878j),(-1.3092718532760765+0.007051545455876697j),(-2.1695612162351425-0.06294650771405146j),(-2.074927933126905+0.8448287788533468j),(1.000130283755005-0.00015622512985219406j)
0.85,(1.000134279388605-0.00015696210321258783j),(4.339590089106055+0.24988608685445637j),(0.18042144188358256-0.35472271203737477j),(0.33899168309539823-0.12577375621548742j),(-0.2762857770852632-0.43768398396586067j),(3.448413429218933-1.8004298851562224j),(-1.30880380897359+0.019200658946408142j),(-2.1715718004407063-0.004611681710934089j),(-2.0259816193251186+0.8870307872989003j),(1.000134279388605-0.00015696210321258783j)
0.86,(1.000138372342631-0.00015761241308824502j),(4.31547338832459+0.3900292433877523j),(0.1843906071498761-0.36784799514575334j),(0.3409920458943883-0.13528488922444143j),(-0.27721164371796436-0.4537019392834958j),(3.565091008772682-1.7382733715932908j),(-1.3078839025921243+0.031494295627657376j),(-2.170054300778832+0.05465849661442509j),(-1.9749565029768648+0.9260094427550928j),(1.000138372342631-0.00015761241308824502j)
0.87,(1.000142557154976-0.00015817133115841598j),(4.280199093907922+0.5305187337409284j),(0.18852934602935756-0.3813481074291165j),(0.3431638377508466-0.14503207688183872j),(-0.27832328610942386-0.4701382621349292j),(3.681867070322768-1.6653678281722726j),(-1.3064935285950516+0.0438989276602334j),(-2.1648476814040163+0.11450387093418243j),(-1.9221983878129583+0.9615898087394423j),(1.000142557154976-0.00015817133115841598j)
0.88,(1.0001468277669117-0.00015863448494323154j),(4.233551694406095+0.6700509025363034j),(0.1928422825807501-0.3952215454235146j),(0.3455130828900076-0.15500626543155258j),(-0.279635467355157-0.48699454300094763j),(3.7974177544006023-1.5812692291271533j),(-1.304617049546502+0.056378618829995314j),(-2.1558393685846884+0.1745358365252239j),(-1.8680692187117167+0.9936460287416308j),(1.0001468277669117-0.00015863448494323154j)
0.89,(1.0001511775517815-0.00015899791980097627j),(4.1755151692116526+0.8072670010116473j),(0.19733380260444444-0.4094662800503002j),(0.34804550967295544-0.16519775995039734j),(-0.2811636328255197-0.5042717127480258j),(3.9102972634023994-1.4857115270736732j),(-1.3022421488252827+0.06889536340799673j),(-2.1429709763635203+0.2343455360200308j),(-1.812938471397429+1.0221024966281786j),(1.0001511775517815-0.00015899791980097627j)
0.9,(1.0001555993505027-0.00015925815891947647j),(4.106288033854224+0.940789162745775j),(0.20200801759116382-0.4240797551866374j),(0.35076650370375545-0.17559625857468403j),(-0.2829239133970406-0.521969997563724j),(4.018969007786753-1.3786357549644217j),(-1.2993601386153157+0.08140947965430735j),(-2.12624233856179+0.2935133236962174j),(-1.757174691900967+1.0469332979711945j),(1.0001555993505027-0.00015925815891947647j)
0.91,(1.0001600855137072-0.00015941226033608933j),(4.0262926314320255+1.0692575842871888j),(0.20686872788402913-0.4390588818932834j),(0.3536810602245461-0.18619088601851522j),(-0.2849331244277715-0.5400888660182344j),(4.121845779698939-1.2602102906716501j),(-1.2959662133431913+0.09388005120631528j),(-2.1057135317440783+0.3516190861928669j),(-1.701137566182637+1.068160055400549j),(1.0001600855137072-0.00015941226033608933j)
0.92,(1.0001646279502248-0.0001594578700278233j),(3.936175344584964+1.1913725233261125j),(0.21191938513181963-0.4544000283613513j),(0.35679373602374126-0.19697022621127122j),(-0.2872087596986422-0.5586269680429226j),(4.2173338026123455-1.1308429916933964j),(-1.2920596399453215+0.10626540762388285j),(-2.0815046915384112+0.4082529225245668j),(-1.6451708393000783+1.0858483969825983j),(1.0001646279502248-0.0001594578700278233j)
