t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
1.11,(-6.520369161806179e-07+1.5113601416408929e-06j),(3.4337073010432586e-05-2.134779008819348e-05j),(2.4260629893994805e-06-1.294371155892839e-06j),(-0.0007944253573368314+0.0018201440545979463j),(-0.0069609797255263325-0.001926973036234326j),(-9.275094274072369e-07+1.0123601695445226e-06j)
1.12,(1.6026698152231318e-07+1.2135664880379923e-06j),(1.5889930880049875e-05-2.527954461055432e-05j),(1.0544934590847672e-06-2.127816620252396e-06j),(0.000431482740419696+0.0019418029815852246j),(-0.006270724422304472+0.0012519053054548678j),(-2.1495266229323825e-07+9.972837253680565e-07j)
1.1300000000000001,(5.58763095120074e-07+7.176807265219022e-07j),(2.524470828473128e-06-2.1834436557318752e-05j),(-3.1294645938016874e-07-2.0272196551654527e-06j),(0.0014894288504232235+0.001322371852046343j),(-0.004443626356827613+0.0034864392873435895j),(2.3016834222406083e-07+7.2166210959111e-07j)
1.1400000000000001,(6.252820589375827e-07+2.555807689949041e-07j),(-5.122188106196534e-06-1.530134322137503e-05j),(-1.2191010244464126e-06-1.2865413149747691e-06j),(0.0019830065340981588+0.00020760643064743367j),(-0.002104855225209949+0.004512203203434063j),(4.113753724176878e-07+3.8322824707540887e-07j)
1.1500000000000001,(4.977951256584295e-07-6.184861213378644e-08j),(-8.079724290505547e-06-8.626201796967532e-06j),(-1.4968686649242202e-06-3.2768372370943174e-07j),(0.0017388411035897783-0.000979180839984758j),(0.00014499607426912762+0.004379531459030506j),(4.0458956058575837e-07+1.0222958978222114e-07j)
1.16,(3.021579630753715e-07-2.1802220177884402e-07j),(-7.968626048389086e-06-3.3449140735361537e-06j),(-1.2349762290520907e-06+4.821039282891319e-07j),(0.0008606360959507117-0.0018021535224518686j),(0.0018561893773450303+0.00337461274045525j),(3.006199981650764e-07-7.511377506865932e-08j)
1.17,(1.2173228008549353e-07-2.4875656060647773e-07j),(-6.3107322039172795e-06+8.676496307722592e-08j),(-6.675962176644959e-07+9.34024630492535e-07j),(-0.0003221439495966999-0.0019724191078884412j),(0.002794512949251318+0.0019046610101845782j),(1.7212029407788613e-07-1.5294456899866393e-07j)
1.18,(-4.988345801762675e-09-2.0599098234903853e-07j),(-4.21489578156005e-06+1.8567249409354232e-06j),(-5.237810135187996e-08+9.939414405881827e-07j),(-0.0013839171208772383-0.001443933562232544j),(0.002943037921396666+0.0003818631174019101j),(6.257245207482071e-08-1.5945175494986746e-07j)
1.19,(-7.247140584524318e-08-1.3532963775826314e-07j),(-2.327374261802612e-06+2.4238160195025978e-06j),(4.177258049043214e-07+7.562828876760847e-07j),(-0.001957878900094954-0.0004165737642964685j),(0.0024549869729645376-0.0008667816984477947j),(-1.0785791637648199e-08-1.2715330081776487e-07j)
1.2,(-9.297002011620635e-08-6.694450135434979e-08j),(-9.214459799477964e-07+2.2725901010938005e-06j),(6.51784565819448e-07+3.7312991765036187e-07j),(-0.0018593211918268894+0.0007467072113235473j),(0.0015802795552129715-0.0016491740069354047j),(-4.822243742362295e-08-8.212809280858387e-08j)
1.21,(-8.425804858640554e-08-1.5491988402941173e-08j),(-2.965208696437311e-08+1.79075673938619e-06j),(6.537990246723318e-07-9.691483309487187e-09j),(-0.0011375624724672818+0.0016522821202213764j),(0.0005889279457617646-0.0019160933928928016j),(-5.8533348753859585e-08-4.0588883482728265e-08j)
1.22,(-6.226227977177703e-08+1.5707779677714677e-08j),(4.37349550907559e-07+1.234468231465538e-06j),(4.897633578048086e-07-2.920802127588778e-07j),(-4.5534614445000374e-05+0.002008350338446837j),(-0.0002907323367283293-0.0017362070080369767j),(-5.2481080350975445e-08-9.87017866716599e-09j)
1.23,(-3.805048729571236e-08+2.967901119406932e-08j),(6.073617996566222e-07+7.425274416651146e-07j),(2.4853943193134007e-07-4.317960649206858e-07j),(0.0010549969810138885+0.0017135877827206408j),(-0.0009090682109530225-0.0012522112481612568j),(-3.916749714823248e-08+8.797970698496418e-09j)
1.24,(-1.7662866123654235e-08+3.1793018410105505e-08j),(5.994740578545728e-07+3.6942148868816083e-07j),(1.0438181958604907e-08-4.359959339430055e-07j),(0.0018154969066774647+0.0008774899498565178j),(-0.001205926766879578-0.0006327237562864248j),(-2.4739937018303116e-08+1.7436019441297625e-08j)
1.25,(-3.295778756973809e-09+2.7299350921418872e-08j),(5.04350952210182e-07+1.190440477567616e-07j),(-1.7042770114967178e-07-3.4247048677680755e-07j),(0.002008507740363682-0.00022718423310512912j),(-0.0011998741161745442-3.143420911035593e-05j),(-1.2509777665323055e-08+1.917337202831912e-08j)
1.26,(5.205888160440733e-09+2.0199665645196535e-08j),(3.8138743847781237e-07-2.9067112629058694e-08j),(-2.704587496112758e-07-1.997607661238142e-07j),(0.0015892958471382555-0.0012581428377382844j),(-0.000964155182193705+0.00043972800118283667j),(-3.686125891329414e-09+1.69804531402468e-08j)
