t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.8200000000000001,(0.5897840612317798-0.4446397623017547j),(0.1130626005683998-0.3625448194489051j),(0.7766493820499162-0.2950693288390862j),(0.5878469292945838+0.011866413067770724j),(0.025839178025764426+0.006319241582769805j),(0.5897840612317798-0.4446397623017547j)
0.8300000000000001,(0.600029522652426-0.4500667526650691j),(0.12198885520006075-0.3737821363254448j),(0.7838456298684766-0.2968924012162283j),(0.5875045451033676+0.01212172889649481j),(0.025825797288970772-0.005302300370450042j),(0.600029522652426-0.4500667526650691j)
0.84,(0.6104807935604699-0.455798096544903j),(0.13113214124543163-0.3852717176924439j),(0.791195570208582-0.2988779459850954j),(0.5871535175254473+0.012194482709088097j),(0.02610875447663038-0.017196348902731463j),(0.6104807935604699-0.455798096544903j)
0.85,(0.6211444677178959-0.46183257810345674j),(0.14049063801868297-0.39701534780495656j),(0.7987017878333497-0.3010196094358542j),(0.5867991162998621+0.012091117027193685j),(0.026695848288384293-0.02934746230327675j),(0.6211444677178959-0.46183257810345674j)
0.86,(0.6320266220152502-0.46816843284279197j),(0.15006208382691832-0.4090146046186851j),(0.8063663080421618-0.3033106269096119j),(0.5864465951284433+0.011818803894198248j),(0.027595468046633972-0.04173929026828527j),(0.6320266220152502-0.46816843284279197j)
0.87,(0.6431327549836022-0.4748033956426263j),(0.15984374881777505-0.4212708842108276j),(0.8141905539756759-0.30574388167682937j),(0.5861011470668515+0.011385417854939968j),(0.028816576418746142-0.05435465014968885j),(0.6431327549836022-0.4748033956426263j)
0.88,(0.654467722522785-0.4817347512413066j),(0.1698324011642139-0.43378542354404676j),(0.8221753043227901-0.3083119676158923j),(0.5857678586800216+0.010799505715267804j),(0.030368613898197793-0.06717561374940842j),(0.654467722522785-0.4817347512413066j)
0.89,(0.6660356709951321-0.4889593872014774j),(0.18002426694261534-0.44655932131392484j),(0.830320652049692-0.3110072555758991j),(0.5854516636197934+0.01007025315857606j),(0.03226132160748492-0.08018360182013594j),(0.6660356709951321-0.4889593872014774j)
0.9,(0.6778399678768318-0.496473849416699j),(0.19041498501350246-0.45959355729850254j),(0.8386259648015223-0.31382196325915274j),(0.5851572962807658+0.009207448299049773j),(0.03450448699919902-0.09335948242109908j),(0.6778399678768318-0.496473849416699j)
0.91,(0.689883130206534-0.5042744002234779j),(0.20099955726257-0.4728890091860713j),(0.8470898476494346-0.31674822840175815j),(0.5848892462089336+0.008221442281355764j),(0.03710762518536713-0.10668366888822846j),(0.689883130206534-0.5042744002234779j)
0.92,(0.7021667511234573-0.512357079182757j),(0.21177229509644574-0.48644646636742395j),(0.8557101088687894-0.31977818496496396j),(0.5846517139375284+0.007123107110118659j),(0.040079615770706234-0.12013621356778349j),(0.7021667511234573-0.512357079182757j)
0.93,(0.7146914248453072-0.5207177665837028j),(0.22272676335283664-0.5002666405875553j),(0.8644837294368118-0.3229040419757395j),(0.5844485688795716+0.005923790851731626j),(0.04342832016490305-0.13369689424606512j),(0.7146914248453072-0.5207177665837028j)
0.9400000000000001,(0.7274566704999287-0.5293522496985216j),(0.23385572254269166-0.5143501732006042j),(0.8734068369291584-0.326118164573098j),(0.5842833098961058+0.0046352704095124755j),(0.04716020689462986-0.14734529152088358j),(0.7274566704999287-0.5293522496985216j)
0.9500000000000001,(0.7404608552935185-0.5382562917778969j),(0.24515107006446057-0.5286976386701134j),(0.8824746844733442-0.3294131567279723j),(0.5841590291162571+0.003269702088646534j),(0.051280011847045025-0.16106085692681318j),(0.7404608552935185-0.5382562917778969j)
0.96,(0.7537011175719777-0.5474257037207807j),(0.25660378143058166-0.5433095447508153j),(0.8916816353820517-0.33278194501059066j),(0.5840783795381632+0.0018395701875928477j),(0.055790457015649754-0.17482297291907004j),(0.7537011175719777-0.5474257037207807j)
0.97,(0.7671732904095012-0.5568564182780344j),(0.26820385140140607-0.5581863285974547j),(0.9010211540400878-0.3362178626822841j),(0.5840435468849224+0.0003576338707300229j),(0.06069204554798643-0.1886110064637773j),(0.7671732904095012-0.5568564182780344j)
0.98,(0.7808718264385679-0.5665445665559952j),(0.2799402357396616-0.5733283492997355j),(0.9104858035548216-0.33971473329115853j),(0.5840562261280644-0.0011631274071598405j),(0.06598294359514854-0.20240435846360047j),(0.7808718264385679-0.5665445665559952j)
0.99,(0.7947897247162852-0.5764865564729296j),(0.29180079374907497-0.5887358767814035j),(0.920067250601127-0.3432669528560547j),(0.5841176030236014-0.002709569640588671j),(0.07165895158150945-0.2161825114869562j),(0.7947897247162852-0.5764865564729296j)
1.0,(0.8089184605014546-0.5866791526890749j),(0.3037722318970878-0.6044090772246079j),(0.9297562777986126-0.34686956963424065j),(0.5842283409335225-0.004268440882410494j),(0.07771355965163251-0.22992507711647603j),(0.8089184605014546-0.5866791526890749j)
1.01,(0.8232479188923371-0.5971195573809408j),(0.3158400488557139-0.6203479951904048j),(0.9395428038521745-0.35051836038915507j),(0.5843885731296771-0.005826438419165674j),(0.08413807546854339-0.24361184376932257j),(0.8232479188923371-0.5971195573809408j)
1.02,(0.8377663333442227-0.6078054910651515j),(0.3279884823979707-0.6365525326285243j),(0.9494159115681841-0.3542099020092955j),(0.5845979006983885-0.007370266204119333j),(0.09092180824219528-0.25722282589713513j),(0.8377663333442227-0.6078054910651515j)
1.03,(0.8524602301457878-0.6187352725001392j),(0.34020045873054927-0.6530224249821808j),(0.9593638837302643-0.35794163728214495j),(0.5848553960838936-0.008886692236577894j),(0.09805228962021731-0.2707383133617545j),(0.8524602301457878-0.6187352725001392j)
1.04,(0.8673143799811565-0.6299078965103629j),(0.35245754501454574-0.6697572145987284j),(0.9693742466835-0.36171193360187454j),(0.585159612229083-0.010362605581793811j),(0.10551551251063791-0.28413892105854893j),(0.8673143799811565-0.6299078965103629j)
1.05,(0.8823117577379757-0.6413231083936132j),(0.36473990601323925-0.6867562216567594j),(0.9794338213377521-0.36552013339014516j),(0.5855085971884846-0.011785072708676396j),(0.11329617076216855-0.29740563820052507j),(0.8823117577379757-0.6413231083936132j)
1.06,(0.8974335117386191-0.6529814733950984j),(0.377026265998024-0.704018512817637j),(0.9895287811637397-0.36936659503887403j),(0.5858999140088245-0.01314139284204021j),(0.12137788512251946-0.3105198759300913j),(0.8974335117386191-0.6529814733950984j)
1.07,(0.9126589435702016-0.6648844395708676j),(0.3892938772308424-0.7215428678076485j),(0.99964471662444-0.3732527232447757j),(0.5863306656043238-0.014419152058121425j),(0.1297434071571961-0.3234635148552143j),(0.9126589435702016-0.6648844395708676j)
1.08,(0.9279654996685185-0.6770343922275738j),(0.40151849651503585-0.7393277441396499j),(1.0097667053641595-0.3771809876994829j),(0.5867975242726353-0.015606275821450095j),(0.13837479439141018-0.3362189503662998j),(0.9279654996685185-0.6770343922275738j)
1.09,(0.9433287757713589-0.6894346980259708j),(0.4136743714584349-0.7573712401942021j),(1.0198793873734477-0.3811549292265238j),(0.5872967654326208-0.016691079697213715j),(0.1472535575694101-0.3487691389346209j),(0.9433287757713589-0.6894346980259708j)
1.1,(0.9587225352985649-0.7020897367825658j),(0.42573423821516476-0.7756710569040853j),(1.029967044264849-0.38517915261685143j),(0.5878243051024206-0.017662317985801115j),(0.15636078034376524-0.3610976435106864j),(0.9587225352985649-0.7020897367825658j)
1.11,(0.9741187426414857-0.7150049190083227j),(0.4376693325586173-0.7942244583270989j),(1.040013681736649-0.38925930560602007j),(0.5883757405807466-0.018509230045183348j),(0.1656772169914641-0.37318868041625386j),(0.9741187426414857-0.7150049190083227j)
1.12,(0.9894876122554901-0.7281866872951182j),(0.4494494161798987-0.8130282314544287j),(1.0500031142731465-0.3934020436554647j),(0.5889463937466338-0.019221584088045248j),(0.17518337372638274-0.38502716846082347j),(0.9894876122554901-0.7281866872951182j)
1.1300000000000001,(1.0047976743490028-0.7416424998090755j),(0.46104282009634806-0.832078645689437j),(1.059919051133005-0.3976149804433858j),(0.5895313563539415-0.01978971826387585j),(0.1848595776156684-0.39659877866080373j),(1.0047976743490028-0.7416424998090755j)
1.1400000000000001,(1.020015857854267-0.7553807943816837j),(0.47241650698610466-0.8513714125475035j),(1.0697451827134692-0.4019066242322782j),(0.5901255366686838-0.02020457886225523j),(0.194686040691238-0.4078899876602612j),(1.020015857854267-0.7553807943816837j)
1.1500000000000001,(1.0351075912519985-0.7694109320102311j),(0.4835361541302164-0.8709016462734169j),(1.0794652664473117-0.40628630055403026j),(0.5907237067670239-0.020457755490712028j),(0.204642922463499-0.41888813326336544j),(1.0351075912519985-0.7694109320102311j)
1.16,(1.0500369217067769-0.7837431189900762j),(0.49436625843719245-0.8906638262489898j),(1.0890632114896268-0.41076406193322534j),(0.5913205498407171-0.020541513139493383j),(0.21471039387875948-0.42958147151620085j),(1.0500369217067769-0.7837431189900762j)
1.17,(1.0647666528540878-0.7983883074018077j),(0.5048702647410969-0.9106517622683153j),(1.0985231615795068-0.41535058564772837j),(0.5919107068067688-0.02044882101969141j),(0.22486870525268005-0.4399592351615694j),(1.0647666528540878-0.7983883074018077j)
1.18,(1.0792585014634763-0.813358074260959j),(0.5150107181997536-0.9308585639871956j),(1.1078295756120864-0.4200570607959541j),(0.5924888215650244-0.02017337813151878j),(0.23509826007581286-0.450011693350955j),(1.0792585014634763-0.813358074260959j)
1.19,(1.093473273083729-0.8286644802980181j),(0.5247494411729806-0.9512766160999881j),(1.1169673056229534-0.4248950661955257j),(0.5930495842753905-0.019709635535792518j),(0.2453796945622329-0.4597302111038239j),(1.093473273083729-0.8286644802980181j)
1.2,(1.1073710566514436-0.8443199100583066j),(0.534047734433164-0.9718975610515276j),(1.1259216720616494-0.4298764408721135j),(0.5935877720542282-0.019052815321688305j),(0.25569396257187904-0.46910730746038953j),(1.1073710566514436-0.8443199100583066j)
1.21,(1.120911437908076-0.8603368957779318j),(0.5428666019561941-0.992712291341398j),(1.1346785364053176-0.43501314910431943j),(0.5940982865409931-0.01819892629034645j),(0.2660224252044765-0.4781367113577229j),(1.120911437908076-0.8603368957779318j)
1.22,(1.1340537313145502-0.8767279282817807j),(0.5511669978675984-1.0137109537071445j),(1.1432243713284838-0.44031714216575246j),(0.5945761878445548-0.01714477639555791j),(0.2763469445428464-0.48681341464631267j),(1.1340537313145502-0.8767279282817807j)
1.23,(1.1467572299674296-0.8935052589375949j),(0.5589100933882617-1.034882967664456j),(1.151546328791298-0.4458002190447514j),(0.5950167244458202-0.015887982001903576j),(0.28664997888558097-0.49513372011532564j),(1.1467572299674296-0.8935052589375949j)
1.24,(1.1589814727962329-0.9106806974585391j),(0.5660575608522377-1.056217061016674j),(1.1596323065278458-0.4514738885223885j),(0.595415358708063-0.014426974037085519j),(0.29691467907693814-0.5030952845110718j),(1.1589814727962329-0.9106806974585391j)
1.25,(1.1706865280475856-0.9282654110449893j),(0.5725718710757328-1.077701325003345j),(1.1674710135007118-0.45734923504797487j),(0.5957677877272191-0.012761001128605065j),(0.3071249839068372-0.51069715525092j),(1.1706865280475856-0.9282654110449893j)
1.26,(1.1818332917298209-0.9462697309628272j),(0.578416599565436-1.0993232917189217j),(1.1750520349317841-0.4634367908666166j),(0.5960699593397483-0.010890129825359815j),(0.3172657128852228-0.5179397999824128j),(1.1818332917298209-0.9462697309628272j)
1.27,(1.1923837992953294-0.9647029731384066j),(0.5835567362935319-1.121070036281047j),(1.1823658975179165-0.4697464168243206j),(0.5963180831937077-0.008815242012180523j),(0.3273226548286183-0.5248251283498864j),(1.1923837992953294-0.9647029731384066j)
1.28,(1.2023015483754176-0.983573279678591j),(0.587958993066497-1.1429283059499307j),(1.189404135391528-0.47628719420219184j),(0.5965086368776764-0.006538029629975495j),(0.3372826507189495-0.5313565054412737j),(1.2023015483754176-0.983573279678591j)
1.29,(1.211551829857435-1.0028874883696361j),(0.5915921019073783-1.1648846779882907j),(1.196159357290687-0.4830673298124384j),(0.596638367190271-0.00406098681622824j),(0.34713366940378215-0.5375387565522763j),(1.211551829857435-1.0028874883696361j)
1.3,(1.2201020640162408-1.0226510371468578j),(0.5944270973893977-1.186925747504062j),(1.2026253152635276-0.49009407642541947j),(0.5967042867184895-0.0013873995804114586j),(0.3568648748496272-0.5433781630759894j),(1.2201020640162408-1.0226510371468578j)
1.31,(1.2279221377993295-1.0428679102398308j),(0.5964375755336838-1.2090383458426524j),(1.2087969750532979-0.49737367038992697j),(0.5967036659743327+0.0014786668731927482j),(0.36646668383239894-0.5488824494976023j),(1.2279221377993295-1.0428679102398308j)
1.32,(1.2349847387417645-1.0635406321747158j),(0.5975999217436567-1.231209789307802j),(1.2146705881004989-0.5049112880595423j),(0.596634021414603+0.004532383066350435j),(0.37593081314749693-0.5540607616405053j),(1.2349847387417645-1.0635406321747158j)
1.33,(1.241265680385177-1.0846703150548052j),(0.5978935003155582-1.2534281571149757j),(1.2202437648672848-0.512711022348574j),(0.5964930997371551+0.007768172307171338j),(0.3852503156414981-0.5589236364669062j),(1.241265680385177-1.0846703150548052j)
1.34,(1.2467442135320383-1.1062567635520606j),(0.5973007983536436-1.275682596552193j),(1.2255155489479248-0.5207758804146404j),(0.5962788589070677+0.011179729791002091j),(0.394419604602397-0.5634829638785851j),(1.2467442135320383-1.1062567635520606j)
1.35,(1.2514033172233594-1.128298640847599j),(0.5958075174348616-1.2979636523811662j),(1.2304864911903863-0.5291078031056441j),(0.5959894464173815+0.014760043648832866j),(0.4034344662892214-0.5677519410881128j),(1.2514033172233594-1.128298640847599j)
1.36,(1.2552299630274841-1.1507936973912685j),(0.5934026071056244-1.3202636166026331j),(1.2351587228311867-0.5377077064219404j),(0.5956231753305916+0.018501417855978933j),(0.4122920606276465-0.571745020235241j),(1.2552299630274841-1.1507936973912685j)
1.37,(1.2582153461102081-1.1737390628554698j),(0.5900782352342956-1.3425768938829885j),(1.2395360264518351-0.5465755448366759j),(0.5951784986786234+0.0223954969194538j),(0.4209909103387277-0.5754778500056559j),(1.2582153461102081-1.1737390628554698j)
1.3800000000000001,(1.260355076657287-1.19713160009331j),(0.585829691356868-1.364900377243136j),(1.243623903412854-0.5557103958966372j),(0.5946539828204479+0.026433292267780222j),(0.4295308789959934-0.5789672120693922j),(1.260355076657287-1.19713160009331j)
1.3900000000000001,(1.2616493255659798-1.2209683183416407j),(0.5806552203973521-1.3872338280898502j),(1.2474296363216542-0.565110565102209j),(0.5940482803678752+0.03060521027185224j),(0.43791313871537174-0.5822309531943072j),(1.2616493255659798-1.2209683183416407j)
1.4000000000000001,(1.2621029189269855-1.245246841409109j),(0.5745557854657666-1.4095802543624412j),(1.25096234505219-0.5747737096486282j),(0.5933601032916695+0.03490108182983836j),(0.4461401283670511-0.585287913907361j),(1.2621029189269855-1.245246841409109j)
1.41,(1.2617253766822956-1.2699659252326407j),(0.5675347597739723-1.4319462805007082j),(1.254233034863817-0.5846969792135898j),(0.5925881968123935+0.03931019345300439j),(0.45421550335379757-0.5881578545748949j),(1.2617253766822956-1.2699659252326407j)
1.42,(1.2605308919521234-1.2951260180478625j),(0.5595975489965331-1.454342503128805j),(1.2572546352670704-0.594877171610362j),(0.591731314663803+0.04382131979277857j),(0.46214407812309843-0.5908613797550252j),(1.2605308919521234-1.2951260180478625j)
1.43,(1.2585382488433015-1.32072985556873j),(0.5507511465719401-1.4767838267942528j),(1.2600420284551004-0.6053109008030876j),(0.5907881962918256+0.04842275755248124j),(0.4699317626687563-0.5934198616433458j),(1.2585382488433015-1.32072985556873j)
1.44,(1.2557706780350015-1.3467830830675864j),(0.5410036254225901-1.499289774787587j),(1.262612066357434-0.6159947745133307j),(0.5897575465197612+0.05310236072996595j),(0.4775854943305897-0.5958553633901571j),(1.2557706780350015-1.3467830830675864j)
1.45,(1.2522556510251446-1.37329489613495j),(0.5303635703088471-1.5218847709671859j),(1.2649835756705141-0.626925578444288j),(0.5886380181710213+0.057847577140079244j),(0.4851131662193118-0.5981905630162504j),(1.2522556510251446-1.37329489613495j)
1.46,(1.2480246155427295-1.4002786922068482j),(0.5188394554709629-1.5445983895840665j),(1.267177350567038-0.6381004640196197j),(0.5874281980950723+0.06264548616841632j),(0.4925235535792912-0.6004486785974956j),(1.2480246155427295-1.4002786922068482j)
1.47,(1.2431126762129288-1.4277527256867781j),(0.5064389723111885-1.5674655712906544j),(1.2692161331707654-0.6495171364833047j),(0.5861265969908669+0.0674828377103786j),(0.4998262393575525-0.6026533953285681j),(1.2431126762129288-1.4277527256867781j)
1.48,(1.2375582260285116-1.4557407606509813j),(0.49316831159783575-1.5905268047661039j),(1.271124582290756-0.6611740402378287j),(0.5847316433654566+0.07234609225204315j),(0.5070315401766458-0.6048287950152116j),(1.2375582260285116-1.4557407606509813j)
